"symbol"
"SLC35C2"
"ILVBL"
"TMEM104"
"MFSD10"
"SLC22A18"
"BVES"
"IQCG"
"GTDC1"
"IQCA1"
"KRBA1"
"TMEM241"
"MFSD9"
"CCDC115"
"MFSD13A"
"CIR1"
"CCDC65"
"GAS8"
"C18orf21"
"C1orf43"
"C1orf131"
"TCTE1"
"ARMT1"
"C7orf50"
"KRBOX4"
"MFSD14B"
"TMCO3"
"C2orf50"
"CENPJ"
"C4orf19"
"C2CD6"
"N6AMT1"
"MFSD14A"
"NEPRO"
"C4orf3"
"BMT2"
"IQCD"
"C15orf48"
"CCDC103"
"MFSD3"
"ADAL"
"FUT10"
"MFSD4B"
"MFSD4A"
"C1orf127"
"B3GNTL1"
"C2orf73"
"C14orf28"
"MFSD5"
"C11orf54"
"TRMT12"
"KRBA2"
"NDUFA4L2"
"TMEM262"
"C2orf88"
"NDUFA4"
"FUT11"
"KRBOX5"
"EFCAB2"
"STK19"
"TMEM88B"
"C6orf226"
"KRBOX1"
"TMEM199"
"C17orf49"
"SMIM6"
"TMEM249"
