cell_line,arc1,arc2,arc3,arc4
ACH-000828,161.68570531607233,261.9435284239148,39.89195987956567,124.66315690968275
ACH-000117,144.80664541745313,261.7862829043818,45.71510061491051,100.86719469276028
ACH-000017,150.99312264534595,256.305851373077,58.60130681214157,92.96186014885605
ACH-000276,91.38697761858187,324.4417254259698,120.17089001820537,71.09017161304808
ACH-000554,156.62326469889774,264.97512249817754,53.797660146459286,93.32929002129575
ACH-000818,154.12033881227617,295.23269148710557,5.831843775799985,124.36120271184556
ACH-000856,57.9449595322961,312.74539788190964,112.0187190608835,114.0446684901565
ACH-000223,127.3399991185372,296.7479323384164,123.06294039238723,13.249031215948945
ACH-000019,132.17522340457003,273.8236006557908,34.07053984992549,111.38482043430331
ACH-000330,138.61479171056564,273.7441817903322,30.90840379581724,111.16121385275447
ACH-000643,119.47788297485104,218.91188136081027,141.6127209863246,81.49580999438619
ACH-000573,25.546343833011278,285.23249292106306,144.03770174004936,114.01169062182574
ACH-000711,96.46673954528532,268.62224843004384,114.14439437083846,49.25948567988822
ACH-000248,151.60130767868205,275.8065248071371,58.62972931233745,77.90331148512767
ACH-000783,142.15300454981707,292.4921179073796,20.414370384014365,128.96714629600928
ACH-000857,134.38035299466353,210.62848170371194,154.6472313079324,88.29334516189031
ACH-002499,66.48919575960286,303.88238295365494,125.69674817738193,78.40512058064976
ACH-000759,161.1759023455553,267.7120792820309,51.84566459938026,96.64177695873401
ACH-000196,84.23111721989576,263.39926815717155,84.78431675811278,89.76108521844266
ACH-000910,146.47976920220836,277.39823888326606,24.21713442263339,125.75026828590647
ACH-000258,87.25836469865077,270.2624420675559,76.42593795320691,119.06784556597363
ACH-000691,96.27399029350609,257.0198733594235,74.48124277121875,98.12838694708361
ACH-000147,142.52127272694872,284.0768014637798,20.599039604808848,115.80233296952078
ACH-000930,59.521888414925044,284.0054832760653,103.71145104896954,94.92092552666968
ACH-000374,92.55457106708042,300.3067432919607,124.45722349073209,49.85870102020201
ACH-000148,24.374933037975147,285.1983198487893,178.3348732861041,145.20303434044095
ACH-001705,129.88826342224564,236.02355647872747,134.20620457395194,59.95654832679118
ACH-000668,140.43087367856214,298.60528235709944,125.63834911184308,4.636582099794113
ACH-000876,151.5881951615564,257.50034588574266,58.382445402317984,92.24504595510419
ACH-000699,30.599868371876365,291.5862030796502,141.3105811698114,109.27737020062084
ACH-000044,147.64751319619128,300.76288638601307,46.756454810441234,159.24884287268816
ACH-002921,159.34082552260858,299.81758895621556,1.234400336578268,127.23624100803794
ACH-001396,160.68605989723838,215.5255606083384,84.52096747170349,137.36821355411493
ACH-000352,135.3964122820073,297.3664460882315,24.924151569550137,111.30201881298147
ACH-001419,141.13221977209525,217.03769970449827,109.25763334104091,87.31490131498815
ACH-001390,111.81466775995233,192.75901188279587,153.1061699581515,120.11366330319603
ACH-001389,8.985096352467714,283.40328302703114,159.2475340767786,140.19748782887206
ACH-001683,161.53874640635615,254.91599917199625,55.4855130500654,106.26860212527446
ACH-000536,123.26205866325772,289.6251630656793,96.25593330468878,33.81844678839911
ACH-000568,158.47308964321587,238.95388631867283,63.33759351527294,142.7693728171039
ACH-000111,77.3559622281496,289.2489182396426,100.53956848941544,71.94971665336222
ACH-001819,136.0245616389551,272.67433968410137,36.07754728591681,102.82951375781334
ACH-000212,39.706058750847056,275.0207312717972,138.05399865320177,101.98543882493533
ACH-000621,18.137763846103127,298.2793994521633,145.34872606689947,137.78024452414058
ACH-000849,122.77136660207847,291.4876349002641,109.43912849534108,22.928079910870615
ACH-000028,132.05234233092665,277.3216732596964,32.07755509097938,110.6134766921034
ACH-000277,160.70066949861183,287.9441624750194,13.859731538922622,124.20315842892215
ACH-001394,111.65759009918035,217.96305538617477,148.90210416614482,88.54657480337582
ACH-000721,60.927966720085934,237.19876413842957,139.2227545428755,141.65771574172882
ACH-000902,132.5036680260071,278.19486847958456,33.95798145191947,126.7021179834606
ACH-000097,146.35323383581323,297.4901310284001,16.132468976010294,113.1501195574626
ACH-000927,144.46875052079054,274.78418176776114,26.629847291627538,117.85016737313227
ACH-002399,136.61227739784127,271.89145450001683,147.50704866602914,33.025758190348576
ACH-001391,57.01166866025998,238.12481376834364,157.8970957570477,126.461627178091
ACH-000768,48.6092975386153,280.2485042651245,140.0709524004901,92.19239297380959
ACH-000288,5.376793163769382,291.3201676033978,156.00465433317208,134.0906388613623
ACH-001662,194.52038805252022,131.18665162623122,177.7348373753466,209.68706100316564
ACH-000934,123.68783262673998,306.6868323870574,50.697765776202914,88.65607944665436
