"symbol","entrez","mapped"
"RPS20","6224",TRUE
"CSDE1","7812",TRUE
"UBE3C","9690",TRUE
"REV3L","5980",TRUE
"TENM1","10178",TRUE
"PAX7","5081",TRUE
"MASP2","10747",TRUE
"IYD","389434",TRUE
"FAM76A","199870",TRUE
"TRAF3IP3","80342",TRUE
"POMT2","29954",TRUE
"VTA1","51534",TRUE
"MLXIPL","51085",TRUE
"BAZ1B","9031",TRUE
"RANBP9","10048",TRUE
"ETV7","51513",TRUE
"SPRTN","83932",TRUE
"METTL13","51603",TRUE
"DYRK4","8798",TRUE
"ZNF207","7756",TRUE
"UQCRC1","7384",TRUE
"STARD3NL","83930",TRUE
"CD9","928",TRUE
"HHATL","57467",TRUE
"NCAPD2","9918",TRUE
"IFFO1","25900",TRUE
"GIPR","2696",TRUE
"PHF7","51533",TRUE
"SEMA3G","56920",TRUE
"NISCH","11188",TRUE
"STAB1","23166",TRUE
"FUZ","80199",TRUE
"IDS","3423",TRUE
"PRSS3","5646",TRUE
"ZNF200","7752",TRUE
"CD4","920",TRUE
"LRRC23","10233",TRUE
"BTK","695",TRUE
"HFE","3077",TRUE
"SCMH1","22955",TRUE
"FYN","2534",TRUE
"HIVEP2","3097",TRUE
"ELOA","6924",TRUE
"LYPLA2","11313",TRUE
"CLCN6","1185",TRUE
"MRC2","9902",TRUE
"TSPAN9","10867",TRUE
"BTBD7","55727",TRUE
"APBA3","9546",TRUE
"MKS1","54903",TRUE
"ABHD5","51099",TRUE
"ANOS1","3730",TRUE
"AKAP8L","26993",TRUE
"MBTD1","54799",TRUE
"UTP18","51096",TRUE
"RNF216","54476",TRUE
"TTC19","54902",TRUE
"PTBP1","5725",TRUE
"DPF1","8193",TRUE
"SYT7","9066",TRUE
"LARS2","23395",TRUE
"PIK3C2A","5286",TRUE
"PLAUR","5329",TRUE
"ANLN","54443",TRUE
"WIZ","58525",TRUE
"RABGAP1","23637",TRUE
"DCN","1634",TRUE
"QPCTL","54814",TRUE
"PPP5C","5536",TRUE
"CEP68","23177",TRUE
"MAP4K3","8491",TRUE
"ZBTB32","27033",TRUE
"LDAF1","57146",TRUE
"GABRA3","2556",TRUE
"BRCA1","672",TRUE
"ERCC1","2067",TRUE
"CD22","933",TRUE
"SEMA3B","7869",TRUE
"MBTPS2","51360",TRUE
"PRICKLE3","4007",TRUE
"LTF","4057",TRUE
"EXTL3","2137",TRUE
"ELOVL5","60481",TRUE
"ALOX5","240",TRUE
"CALCOCO1","57658",TRUE
"UBR7","55148",TRUE
"MAP4K5","11183",TRUE
"EHD3","30845",TRUE
"PSMC4","5704",TRUE
"MAN2B2","23324",TRUE
"CLDN11","5010",TRUE
"SLC25A39","51629",TRUE
"MVP","9961",TRUE
"NUB1","51667",TRUE
"PGM3","5238",TRUE
"RWDD2A","112611",TRUE
"CLK1","1195",TRUE
"POLR3B","55703",TRUE
"ANGEL1","23357",TRUE
"RNF14","9604",TRUE
"DNASE1L1","1774",TRUE
"DDX11","1663",TRUE
"HEBP1","50865",TRUE
"GPRC5A","9052",TRUE
"MAMLD1","10046",TRUE
"CD6","923",TRUE
"TACC3","10460",TRUE
"UFL1","23376",TRUE
"POLA2","23649",TRUE
"ZC3H3","23144",TRUE
"CAPN1","823",TRUE
"ACP3","55",TRUE
"MDH1","4190",TRUE
"SLC30A9","10463",TRUE
"MTMR11","10903",TRUE
"COX15","1355",TRUE
"CCDC88C","440193",TRUE
"YAF2","10138",TRUE
"ZMYND11","10771",TRUE
"WAS","7454",TRUE
"DPEP1","1800",TRUE
"BID","637",TRUE
"MATR3","9782",TRUE
"NPC1L1","29881",TRUE
"XYLT2","64132",TRUE
"RGPD5","84220",TRUE
"NUDCD3","23386",TRUE
"ISL1","3670",TRUE
"CHDH","55349",TRUE
"IL20RA","53832",TRUE
"CLCA1","1179",TRUE
"CLCA4","22802",TRUE
"GLT8D1","55830",TRUE
"ATP2C1","27032",TRUE
"SLC38A5","92745",TRUE
"RALBP1","10928",TRUE
"RUFY3","22902",TRUE
"CNTN1","1272",TRUE
"SLC11A1","6556",TRUE
"WWTR1","25937",TRUE
"AGPS","8540",TRUE
"STEEP1","63932",TRUE
"ATP1A2","477",TRUE
"TTC27","55622",TRUE
"ZNF582","147948",TRUE
"VSIG2","23584",TRUE
"PHLDB1","23187",TRUE
"MARCO","8685",TRUE
"CYP24A1","1591",TRUE
"PRDM11","56981",TRUE
"SYT13","57586",TRUE
"SNAI2","6591",TRUE
"CD74","972",TRUE
"HGF","3082",TRUE
"ZRANB1","54764",TRUE
"NCDN","23154",TRUE
"ADGRA2","25960",TRUE
"ZFP64","55734",TRUE
"MNAT1","4331",TRUE
"SAMD4A","23034",TRUE
"RUNX3","864",TRUE
"MRE11","4361",TRUE
"PLEKHB1","58473",TRUE
"SERPINB1","1992",TRUE
"SLC7A9","11136",TRUE
"SPAST","6683",TRUE
"NRXN3","9369",TRUE
"OSBPL5","114879",TRUE
"AQR","9716",TRUE
"CPS1","1373",TRUE
"FHL1","2273",TRUE
"RTF2","51507",TRUE
"GABRA1","2554",TRUE
"NLRP2","55655",TRUE
"SLC45A4","57210",TRUE
"RNF10","9921",TRUE
"ZNF839","55778",TRUE
"ZDHHC6","64429",TRUE
"GRAMD1B","57476",TRUE
"RNH1","6050",TRUE
"NDUFS1","4719",TRUE
"RB1CC1","9821",TRUE
"ERP44","23071",TRUE
"ALAS1","211",TRUE
"BIRC3","330",TRUE
"AKAP11","11215",TRUE
"GLRX2","51022",TRUE
"SNAPC1","6617",TRUE
"DERA","51071",TRUE
"STRAP","11171",TRUE
"ABCC2","1244",TRUE
"DEF6","50619",TRUE
"PLEKHO1","51177",TRUE
"GCLM","2730",TRUE
"UBR2","23304",TRUE
"EHD2","30846",TRUE
"DEPDC1","55635",TRUE
"CCDC28A","25901",TRUE
"RRAGD","58528",TRUE
"HSF2","3298",TRUE
"PHF20","51230",TRUE
"HSD17B6","8630",TRUE
"NR1H3","10062",TRUE
"TYMP","1890",TRUE
"NCAPH2","29781",TRUE
"TOMM34","10953",TRUE
"SEC63","11231",TRUE
"KPNA6","23633",TRUE
"VIM","7431",TRUE
"FAS","355",TRUE
"RNASET2","8635",TRUE
"CD44","960",TRUE
"KCNG1","3755",TRUE
"AGPAT4","56895",TRUE
"SLAMF7","57823",TRUE
"BTN3A1","11119",TRUE
"MIPEP","4285",TRUE
"PRKCH","5583",TRUE
"INSRR","3645",TRUE
"IFNGR1","3459",TRUE
"B4GALT7","11285",TRUE
"SH2D2A","9047",TRUE
"VRK2","7444",TRUE
"TNFRSF1B","7133",TRUE
"VEZT","55591",TRUE
"POU2F2","5452",TRUE
"BRD9","65980",TRUE
"SNX1","6642",TRUE
"TBPL1","9519",TRUE
"BMAL2","56938",TRUE
"BCLAF1","9774",TRUE
"SLC39A9","55334",TRUE
"ANK1","286",TRUE
"IBSP","3381",TRUE
"TFB1M","51106",TRUE
"RABEP1","9135",TRUE
"HMGB3","3149",TRUE
"NUP160","23279",TRUE
"BAK1","578",TRUE
"MUSK","4593",TRUE
"IKZF2","22807",TRUE
"GRN","2896",TRUE
"FAM13B","51306",TRUE
"ARHGAP31","57514",TRUE
"CENPQ","55166",TRUE
"SARS1","6301",TRUE
"RANBP3","8498",TRUE
