cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
LIHC,Liver,3,371,20530,0.9517339665585802,0.451896362980989,0.9,100,p = 0.002
LIHC,Liver,4,371,20530,0.9502923039760865,0.25809871441410015,0.0,100,p = 0.002
LIHC,Liver,5,371,20530,0.9201272786536385,0.09235089005814356,0.0,100,p = 0.002
