,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
TCGA-FV-A495-01,0.5442613507067366,0.0,0.4557386492932633,0.0,0.0
TCGA-CC-A3MB-01,0.12765226807085445,0.0982429916511182,0.12962966838133516,0.47470878093265684,0.16976629096403534
TCGA-BC-A3KF-01,0.257241410759058,0.09868196039793177,0.06807668163552474,0.5379544439168609,0.03804550329062466
TCGA-DD-A4NV-01,0.6638049394087658,0.09512970007928627,0.0,0.2410653605119479,0.0
TCGA-CC-A1HT-01,0.0,0.0,0.061116553660513016,0.11983985932580964,0.8190435870136772
TCGA-BD-A3EP-01,0.5272607391093889,0.0,0.033734181573007546,0.1451898260504096,0.293815253267194
TCGA-CC-A3MA-01,0.13405667835084595,0.12147184589476104,0.010379723889798121,0.0,0.7340917518645947
TCGA-ZP-A9CV-01,0.5793477537411432,0.24625861585325137,0.061176393096999765,0.10632136616578027,0.006895871142825368
TCGA-DD-AACY-01,0.4452066182243172,0.10469782907722072,0.1950607617166475,0.25503479098181453,0.0
TCGA-XR-A8TG-01,0.3686073179825644,0.0,0.0,0.4762365109588336,0.1551561710586019
TCGA-CC-A9FW-01,0.0,0.22941731783619398,0.20751911576358997,0.2671863867988117,0.2958771796014042
TCGA-BC-A10Y-01,0.1800018288513702,0.0,0.04041783497217431,0.7097982825647439,0.06978205361171169
TCGA-KR-A7K7-01,0.0,0.1343987040685083,0.5561559502898967,0.20157968428648065,0.10786566135511437
TCGA-ED-A459-01,0.26715757495531145,0.0,0.15037256363132828,0.36034160025896056,0.22212826115439976
TCGA-PD-A5DF-01,0.4848208479266241,0.0,0.08031532428622677,0.27541314115180293,0.15945068663534614
TCGA-ED-A5KG-01,0.27031359632593355,0.0,0.0,0.0,0.7296864036740665
TCGA-DD-AAVX-01,0.368362363229234,0.5231439477020067,0.10849368906875942,0.0,0.0
TCGA-ED-A7PY-01,0.10427138781846859,0.11075540471425459,0.38279042446361317,0.32673731235129655,0.07544547065236724
TCGA-RC-A7SF-01,0.26793083603042883,0.0,0.20790355235540997,0.5241656116141612,0.0
TCGA-DD-AAW0-01,0.727939615414658,0.0,0.00017996095616842065,0.15035503516294516,0.1215253884662284
TCGA-ED-A66X-01,0.32648760730523735,0.0,0.124455061117434,0.06935962208424601,0.4796977094930827
TCGA-DD-AAC8-01,0.0,0.6469985987421254,0.11600864264877007,0.0,0.2369927586091046
TCGA-FV-A3I1-01,0.34745150112719053,0.0,0.05722456563294294,0.36414185851900593,0.23118207472086055
TCGA-RC-A7S9-01,0.074786127955496,0.0,0.36075185318901887,0.4051605338810085,0.1593014849744766
TCGA-ZP-A9D2-01,0.17713003531104965,0.0,0.0,0.174815235037286,0.6480547296516642
TCGA-G3-A5SL-01,0.2236743545860898,0.7763256454139101,0.0,0.0,0.0
TCGA-CC-A3M9-01,0.0,0.0,0.13023164593736575,0.0,0.8697683540626343
TCGA-BC-A216-01,0.11564753731528496,0.0,0.0515259062174708,0.46198640963827176,0.37084014682897243
TCGA-ED-A7XP-01,0.35962703256105494,0.2779677635488269,0.0,0.05715805166787651,0.3052471522222415
TCGA-DD-A11A-01,0.2258756913915159,0.14934747988499433,0.005358088204926057,0.5758320942965027,0.04358664622206107
