,PC1,PC2,PC3,PC4,PC5,PC6
TCGA-FV-A495-01,23.549591507845996,-22.2688848287594,101.7612652485137,24.484934728443445,20.049378629326814,2.460941894253319
TCGA-CC-A3MB-01,-15.810333677595052,-6.769343055633472,-23.94759251514859,27.872792396750814,-17.002005590246927,-10.464491774189087
TCGA-BC-A3KF-01,-42.0650444404053,15.231998498553187,-19.072418784467263,37.91932778976225,-28.47897247448402,-3.0000177070461147
TCGA-DD-A4NV-01,-21.878267518666135,87.82535204600592,6.078153378591617,9.990158783747363,-7.102035822591773,-5.2771961238993175
TCGA-CC-A1HT-01,138.53421021096597,-10.32032669501804,-47.04216925716616,-5.760083686047119,106.69183355881866,-15.562087176953344
TCGA-BD-A3EP-01,57.848356986376416,44.32612788760924,14.712740890865444,14.970899465233966,42.24717748332338,30.931531517797705
TCGA-CC-A3MA-01,115.43298593759516,12.413084039847423,-33.38211839185582,-50.76080407877052,-31.428282499074264,-54.492610949021135
TCGA-ZP-A9CV-01,-22.846045591938942,43.11601216994658,23.31932491275792,-10.145669749696268,2.7280839440978415,1.5190820670760907
TCGA-DD-AACY-01,-32.154369969247526,11.675468464148896,38.206153690475276,16.789633215208408,-28.93562835719897,-25.336916395702367
TCGA-XR-A8TG-01,3.7878416177408427,52.4889332683086,-23.173077897780846,50.14760925865391,14.755860753697197,-13.749422896162162
TCGA-CC-A9FW-01,5.726165368152775,-56.054438835816136,-47.9887203066655,-5.287824764269905,6.699988504650818,59.960881600150174
TCGA-BC-A10Y-01,-33.68234992340777,14.688672262290108,-30.57120087029542,74.33778600990809,26.17654661167175,-8.324724933990002
TCGA-KR-A7K7-01,-2.294451768647138,-98.66273333004675,24.61125700717677,2.4595604474909116,45.05483780972373,46.99145611165537
TCGA-ED-A459-01,19.96110852478523,2.0866675481679793,-2.201015381941817,27.08666715020495,27.92680075016532,-31.346907823766607
TCGA-PD-A5DF-01,24.151990108880533,33.318480865575346,16.013937329547552,31.04347254249595,23.046936182263877,-17.86226280613899
TCGA-ED-A5KG-01,141.88945648713783,29.1285356388193,-15.849180613966736,-18.1378511875409,-3.2214416096843395,72.20908631473688
TCGA-DD-AAVX-01,-59.20098077491435,17.82974831353496,20.526006533307548,-39.89916075625568,18.504199971282375,18.40960629960094
TCGA-ED-A7PY-01,-16.50193651266529,-51.55864201192529,16.06825146681008,16.954341739837073,-97.25811884819689,18.090215573282702
TCGA-RC-A7SF-01,-40.060764984941756,-5.680497169179595,12.112754027803856,48.18853497756331,8.67984994764163,-13.358865784066118
TCGA-DD-AAW0-01,25.117021551342738,66.9458913428462,29.262400358973633,8.01703501732641,-22.77137238380716,19.838867034285848
TCGA-ED-A66X-01,91.39389123720724,10.847792402432152,4.977574264154401,-2.147559436130119,-44.76509050861781,42.41731381214253
TCGA-DD-AAC8-01,-29.234619477907156,-45.78003402175983,-49.171169583657495,-89.74786245249751,44.071225334285536,9.153614949273846
TCGA-FV-A3I1-01,25.518434103384713,25.291885906239564,-5.102357351445253,36.29332321955404,23.53905971747829,13.336319010635176
TCGA-RC-A7S9-01,9.128820347291995,-49.39699424047864,10.791567480913445,40.127427660510406,-29.91653881015602,-8.52780253490105
TCGA-ZP-A9D2-01,104.10776667414963,34.731029686441396,-46.86235343083557,-2.867239573106842,6.121793164093129,-29.635850697143205
TCGA-G3-A5SL-01,-85.36173178327763,28.019126900653237,-21.52798288063065,-64.57078848564429,-1.8288876515038945,7.123771493702733
TCGA-CC-A3M9-01,171.86389722039948,-42.89940163013146,-31.86271473681816,-72.13653283260935,87.76627677237869,-14.55462554870663
TCGA-BC-A216-01,45.80121024901138,7.232038043836502,-28.857827753174693,59.860610777163856,14.732301523904354,-7.5300257355523
TCGA-ED-A7XP-01,22.404405438501666,40.48199430251542,-17.2811998921869,-27.2790373505701,5.276680293208691,5.016336608103202
TCGA-DD-A11A-01,-52.02730278477551,23.011806103544096,-32.894547642444245,38.1524900985819,3.7947892457554007,-16.38720406944026
TCGA-DD-A73B-01,-66.46445719193676,13.802259017853466,-46.19970714820983,54.096280729936595,-31.33984221174859,-15.908230800325248
TCGA-DD-AACA-01,-61.89514168505105,-4.981999705197499,-64.64623165730544,-59.15558108788252,4.783330307524645,23.602139899454276
TCGA-DD-A1EH-01,46.253544784686795,13.285562097098756,-48.86341528271448,-7.45604759654147,-82.93635370083328,28.15063083006848
TCGA-DD-AA3A-01,137.1460264843904,-35.980479414270086,-40.299987694938004,-42.66203679894234,-32.2988793812112,-79.6183819970507
TCGA-RG-A7D4-01,17.50916724223757,-56.34597303075372,-38.14034295604013,1.7659368515282765,50.308134371428785,79.67730806968278
TCGA-DD-A73F-01,-1.7551284918264602,38.12671721829368,-5.4286248458812,66.39771750604014,42.3946525156281,28.22714575247597
TCGA-WX-AA46-01,-62.802872827686244,79.25339085162372,21.18976539790806,-22.58847154484876,-13.108630774662048,13.393193035306577
TCGA-K7-AAU7-01,130.17292365311468,29.094168137585857,-17.96342278532479,5.201877710405067,40.026738031922946,-21.85823020035224
TCGA-DD-A3A2-01,-83.62140336667802,47.79364753621812,6.80670130139811,-6.177573613194111,-21.428748937588743,-15.641809617238732
TCGA-EP-A26S-01,-78.4863247717863,29.797495389350477,-43.55315712829735,-56.37298812032412,0.27114797951047953,3.901225366151763
TCGA-FV-A2QQ-01,-14.899013173684196,5.520190523072243,48.56808645560535,17.366919838653924,19.43197179079027,10.803063991323226
TCGA-3K-AAZ8-01,-78.27964510996757,-8.960948027520379,21.805987463874263,-11.614665570012257,-13.163437745781696,-11.63593734850029
TCGA-DD-A3A5-01,-64.36958196087635,5.8544951039255055,27.237424166681425,49.40270962406016,4.970233028780347,-33.36638794302851
TCGA-DD-AADP-01,-5.833192557168655,26.438752736135992,-2.03004145982717,13.195849662840036,-31.954664401014167,17.702438889007382
TCGA-CC-5259-01,-15.283973692847153,-97.59768594203112,53.710445353132855,18.822821300858664,8.026104457084504,-9.832260351252089
TCGA-DD-AAD2-01,45.50854838613536,38.137680646338495,48.904597561317146,-3.0140362156017164,-4.3196250609487015,14.286051239395599
TCGA-ES-A2HT-01,-29.874227825284333,-9.275495084899829,114.0119820239145,-2.1769357685117408,-1.3356954758054815,-28.012665263238404
TCGA-CC-A8HU-01,7.806245856157123,-62.07885782468666,-28.57907378853919,49.00294773461771,-31.048092024853727,2.5900981289312943
TCGA-ES-A2HS-01,-80.49832891845605,-38.97310125241923,88.1639746455126,-0.6350354060962933,-32.45215441384622,-11.288504208781223
TCGA-2Y-A9H0-01,8.907034454405874,-19.33295778121625,-40.660981379294824,80.85106338689415,52.29050193615839,13.402650391298826
TCGA-2V-A95S-01,64.44768962951076,-41.59562718563767,21.017829048986467,12.27474234816441,44.10972737432009,18.648212319669156
TCGA-2Y-A9GU-01,-12.974050163846579,15.402836367601145,-12.457562917998054,19.982758300552803,-80.99654009593233,-3.6490856274787737
TCGA-RC-A7SB-01,-24.317375677755138,23.61840322506325,-11.795104642110024,44.546873646038215,33.02657014033597,-20.35022932729724
TCGA-FV-A4ZP-01,22.151143141694934,-166.19928348912933,106.40981785865714,-3.275831657635282,24.290684583607455,-48.6019337110555
TCGA-DD-AAD3-01,3.437467365673628,64.62075753968185,18.72784082676591,15.12752469684073,-12.918764158209715,3.9878490175147108
TCGA-DD-AAW2-01,-96.09403805323772,12.87918081317926,-33.89651878670997,-49.725895285326914,-15.700272716480828,-0.5543677954273715
