k,esv,delta_esv
2,0.1422672877412829,
3,0.2626758707604328,0.12040858301914992
4,0.34802313800590906,0.08534726724547625
5,0.41674462439225496,0.0687214863863459
6,0.46875915147474206,0.052014527082487105
7,0.532348343515487,0.06358919204074492
8,0.5738414720677263,0.0414931285522393
9,0.6119548793309657,0.03811340726323942
10,0.6686759669753392,0.05672108764437345
11,0.7007823078710098,0.03210634089567066
12,0.7339396433109888,0.03315733543997901
13,0.7600240188256847,0.02608437551469589
