k,t_ratio,p_value,n_perm,n_init_obs,n_init_null,numIter,n_success,n_fail,n_pcs_fit
3,0.5802366042609108,0.224,500,150,50,50,500,0,12
4,0.2972541259125935,0.238,500,150,50,50,500,0,12
5,0.1022633359038111,0.51,500,150,50,50,500,0,12
6,0.0335498059240226,0.694,500,150,50,50,500,0,12
7,0.0270120225817781,0.068,500,150,50,50,500,0,12
