k,t_ratio,p_value,n_perm,n_init_obs,n_init_null,numIter,n_success,n_fail,n_pcs_fit
3,0.6832809514393448,0.438,500,15,5,5,500,0,8
4,0.35377594366239395,0.082,500,15,5,5,500,0,8
5,0.1620106339153043,0.118,500,15,5,5,500,0,8
6,0.057593992340506966,0.15,500,15,5,5,500,0,8
7,0.015324068472676372,0.318,500,15,5,5,500,0,8
