k,esv,delta_esv
2,0.2500457449306586,
3,0.5240161350086494,0.2739703900779908
4,0.6389878833754552,0.11497174836680579
5,0.6909207042812798,0.05193282090582463
6,0.7431696554813201,0.05224895120004025
7,0.7877612014316228,0.04459154595030268
8,0.8357143884016193,0.04795318696999651
9,0.8678714080285826,0.03215701962696338
