,group_a,group_b,n_a,n_b,median_a,median_b,ks_statistic,p_value,direction,n_E/M
KS-epi,E,E/M,42,10,0.49117375198130264,0.5989080758091165,0.37142857142857144,0.1660475722078256,E <= E/M,10
KS-mes,M,E/M,11,10,0.3867634643608727,0.5989080758091165,0.6090909090909091,0.030324680479479237,M <= E/M,10
