,weight_arc1,weight_arc2,weight_arc3,weight_arc4,generalist_score
ACH-000828,0.0,0.127017647518709,0.8729823524812911,0.0,0.2746009852297207
ACH-000117,0.0,0.1102039231589806,0.7009891544381409,0.18880692240287839,0.5820037589728395
ACH-000017,0.0,0.1250759180198433,0.6069073137108956,0.26801676826926113,0.6607458311127852
ACH-000276,0.39156253097779725,0.0,0.0868472368683571,0.5215902321538457,0.66280459350692
ACH-000554,0.0,0.09716861168003399,0.6371339155923972,0.2656974727275689,0.6246067682875318
ACH-000818,0.01979235726197472,0.010895724574784998,0.9604895734102611,0.008822344752979107,0.14955691507448515
ACH-000856,0.6670129188025977,0.0,0.29870481351320666,0.03428226768419556,0.5386066961890873
ACH-000223,0.08307541674494685,0.0,0.01590186639157261,0.9010227168634805,0.2643419762352804
ACH-000019,0.12300085501514177,0.06505017738806038,0.7767024181578761,0.03524654943892171,0.5407917462909835
ACH-000330,0.06861587760735983,0.07007774977985418,0.7969131678598722,0.06439320475291382,0.524878538536878
ACH-000643,0.17091366612947467,0.24223282797242796,0.0,0.5868535058980973,0.6911721000363057
ACH-000573,0.8129959197671812,0.008372982755010387,0.0,0.1786310974778084,0.3722439845026454
ACH-000711,0.2722473919992661,0.06169525101508086,0.06250013185718047,0.6035572251284727,0.7242998087656138
ACH-000248,0.0,0.05463394980852873,0.5575861447779674,0.3877799054135039,0.6145046876219197
ACH-000783,0.10249476635384856,0.00921479455105533,0.8882904390950962,0.0,0.27547563465277336
ACH-000857,0.0825534262362885,0.2800724643661719,0.0,0.6373741093975396,0.6127387723496972
ACH-002499,0.5356463812587977,0.0,0.03224728086546127,0.43210633787574093,0.5826430370972319
ACH-000759,0.0,0.09018536336641159,0.6655708138483861,0.24424382278520237,0.6003197029222059
ACH-000196,0.3840522308103879,0.07198804581965974,0.37254567468496014,0.1714140486849923,0.8851773135839359
ACH-000910,0.046831079307142566,0.06726878162083842,0.885900139072019,0.0,0.31180233831551113
ACH-000258,0.4328552079520135,0.05420902105054205,0.5129357709974445,0.0,0.6224542256375688
ACH-000691,0.3249892897968901,0.09897606106100887,0.47850605396793733,0.09752859517416369,0.8467929186038525
ACH-000147,0.06808325444194602,0.03826757618903247,0.8587562615798485,0.03489290778917302,0.40082351002638134
ACH-000930,0.5691672762254898,0.0,0.26295344110737995,0.16787928266713026,0.7008623942814487
ACH-000374,0.34358937508841203,0.0,0.0,0.656410624911588,0.4641060726339148
ACH-000148,0.973449237793597,0.026550762206402907,0.0,0.0,0.0883937777877694
ACH-001705,0.05184254309221551,0.19463386734785237,0.0,0.7535235895599321,0.4942805124036219
ACH-001392,0.0,0.4093047981801862,0.5906952018198138,0.0,0.4880669915589833
ACH-000668,0.0,0.0,0.018443078389905686,0.9815569216100943,0.06630365373090746
ACH-000876,0.0,0.12091279903294438,0.605370273323998,0.27371692764305766,0.6592679542841069
ACH-000699,0.7824870264572013,0.0,0.002228547826108468,0.21528442571669018,0.3867634643608727
ACH-000044,0.11144897470856234,0.0,0.8885510252914378,0.0,0.25213554633093066
ACH-002921,0.0,0.0,0.9945095464954943,0.005490453504505691,0.024563153080621892
ACH-001396,0.0,0.2812544310420178,0.7187455689579823,0.0,0.4285772177301292
ACH-000352,0.124420868780577,0.0,0.8192997176483658,0.056279413571057126,0.42165241569984335
ACH-001419,0.0,0.25286005093481984,0.262743136900496,0.48439681216468417,0.7573819692501896
ACH-001390,0.3719143462108255,0.32411975471165266,0.0,0.3039658990775218,0.7898748649746541
ACH-001389,0.9704747200527306,0.029525279947269344,0.0,0.0,0.09600277265307916
ACH-001388,0.0,1.0,0.0,0.0,5.979470570797252e-11
ACH-001395,0.0,0.33009732026406335,0.6699026797359366,0.0,0.4575128867974153
ACH-001683,0.0,0.13757724477659464,0.693542476166081,0.16888027905732442,0.5965944493247131
ACH-000536,0.07687222762366552,0.0,0.2270823342913392,0.6960454380849953,0.5670268121262919
ACH-000568,0.0,0.20456982773286395,0.7954301722671361,0.0,0.3654870654184164
ACH-000111,0.4212388021154781,0.0,0.2133872877694289,0.36537391011509296,0.7658280389191051
