k,esv,delta_esv
2,0.3540491449326308,
3,0.472512505201416,0.11846336026878523
4,0.5813306721722042,0.10881816697078822
5,0.6655361218727053,0.08420544970050103
6,0.7246592394237849,0.059123117551079574
7,0.7732509615990597,0.048591722175274854
8,0.7922117390411298,0.018960777442070142
