,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
TCGA-CA-5256-01,0.02281668942620427,0.0,0.41838639077609485,0.558796919797701,0.0
TCGA-AZ-6599-01,0.0,1.0,0.0,0.0,0.0
TCGA-AA-3655-01,0.14276011024927054,0.0932286492767433,0.40439141429190895,0.19918736790554714,0.16043245827653008
TCGA-A6-6137-01,0.0,0.010128548134520883,0.7343346852401055,0.14372999564981534,0.11180677097555834
TCGA-CK-4952-01,0.5223825246656786,0.4776174753343215,0.0,0.0,0.0
TCGA-A6-5657-01,0.2295438715203124,0.07608681577266722,0.0,0.08723478072722353,0.6071345319797968
TCGA-AD-6963-01,0.22441474250870952,0.0,0.2629461742150882,0.42812612921523335,0.08451295406096908
TCGA-A6-6138-01,0.23401581885569445,0.0,0.22634636182129056,0.19098358055410342,0.34865423876891155
TCGA-A6-A567-01,0.0,0.10365526304329478,0.0,0.5040867559015928,0.3922579810551125
TCGA-D5-6928-01,0.30643548111734903,0.0,0.07360612733062724,0.0,0.6199583915520237
TCGA-AZ-6598-01,0.6720509950992091,0.32247983021770654,0.0,0.0,0.00546917468308435
TCGA-D5-6931-01,0.20973958683437943,0.0535847859601068,0.5833251170930229,0.0,0.15335051011249085
TCGA-G4-6295-01,0.30453119371365744,0.0,0.19393991922941456,0.3467081371548412,0.1548207499020868
TCGA-AA-A01X-01,0.0,0.2521122526955,0.0,0.3467006542205298,0.4011870930839701
TCGA-AZ-4313-01,0.496142817289637,0.3576979437173319,0.0,0.14615923899303107,0.0
TCGA-DM-A0XD-01,0.4650307847968632,0.03971460108124861,0.05537995838657688,0.38977936066191127,0.050095295073400034
TCGA-D5-6535-01,0.18021382490192867,0.05134586618526376,0.466601113269502,0.16107907662437632,0.14076011901892926
TCGA-AA-3509-01,0.0,0.0,0.48156582611081866,0.33465327541775586,0.18378089847142542
TCGA-DM-A28E-01,0.0,0.14079490262313935,0.06178392238414057,0.7974211749927201,0.0
TCGA-G4-6307-01,0.0,0.09610961820748977,0.08455408934623575,0.7368286382089985,0.08250765423727607
TCGA-A6-2682-01,0.02783374759472152,0.0,0.39415425089533285,0.20582786731545585,0.37218413419448976
TCGA-CM-5868-01,0.03191738503284017,0.0,0.1007442638960606,0.5298956231245899,0.33744272794650937
TCGA-CK-4947-01,0.0913327729123958,0.0,0.7470269066039089,0.04517561658705589,0.11646470389663942
TCGA-D5-5540-01,0.1412542906122902,0.0,0.0,0.7622176939420806,0.09652801544562928
TCGA-A6-4105-01,0.15618424085489982,0.0,0.36257936242520067,0.1794285733595458,0.3018078233603538
TCGA-A6-6651-01,0.0,0.0,0.0,0.024666677744430692,0.9753333222555693
