cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
COAD,Colon,3,286,20530,0.9783112232594849,0.4842051870909175,0.14,100,p = 0.009
COAD,Colon,4,286,20530,0.9497043083023793,0.22206660865010955,0.07,100,p = 0.009
COAD,Colon,5,286,20530,0.9097322036051292,0.08436338594361217,0.02,100,p = 0.009
