cell_line,arc1,arc2,arc3,arc4,arc5
ACH-000570,15.910309892193553,12.254945211698942,14.158686992874543,21.51294609717251,17.17318535264212
ACH-000075,15.519524454355002,10.935124841729918,12.274979028857398,25.563907335383536,24.153123283950418
ACH-000376,19.355018502497906,7.889040627935378,9.988610508738997,21.543621197094332,19.689188358999584
ACH-000269,24.623812926134224,10.840137844122118,8.520209470595063,23.166726772662383,20.60148645170624
ACH-001611,10.114224466375937,11.177609680438469,23.22349251734844,19.645633692181253,27.568070685349348
ACH-000098,22.46715129998844,12.662844323191868,5.649165202578622,23.319045343819216,19.540148873621703
ACH-000887,26.930265099163996,18.648216767518015,2.5268985296500044,23.61418997961539,23.830339658982595
ACH-000368,8.428206030862107,10.349882145472863,21.641039227058112,23.136775258136034,29.99604149899923
ACH-000760,21.929547416760727,20.061852933903573,16.338331659269034,20.984082839019962,12.073973127762907
ACH-001610,7.174862112676839,17.286064298118646,22.767763580582322,17.504438116036003,29.270668526298
ACH-002680,2.723946971619875,19.88208320507139,25.92980921371894,24.892699207744283,31.700659623344183
ACH-000231,9.609903363814572,8.962425250122156,19.114373132454,19.404412755832958,26.08664461218514
ACH-003438,14.780284891102204,12.466394898901342,15.335941643497087,26.91426930237314,22.816981095488206
ACH-000738,24.653837806273323,13.702372795185385,11.401456104383723,20.256502605063474,13.273156018597238
ACH-002681,8.390399563891473,14.078711141038188,18.82230962415262,24.288048911412655,31.24389074664729
ACH-000819,17.42046704898283,11.935097706525918,8.545372333720163,18.13565362507072,20.71084005468713
ACH-000571,12.767015178807466,7.387687658954234,14.552596626457058,19.186444320886437,23.018260119037045
ACH-000102,12.165099893154423,7.6795396790823975,17.93174702848259,22.524230386946744,22.828472843709545
ACH-000634,15.12323107013226,6.781752295759993,16.57899116937701,16.659822698144254,22.41101357814314
ACH-000137,14.588175445506396,14.166123222589754,11.955626385964617,22.66192331825725,21.914846322320926
ACH-000445,13.336814671780687,5.051936138818798,18.019045405670266,21.99646665838744,27.221020221015536
ACH-001609,5.291660086963334,13.729257211491406,21.03708664427621,23.76434451504686,30.60053578905334
ACH-001329,9.339494801651346,12.211497934549852,21.387412847670834,22.266528146481374,23.675235354031926
ACH-000027,21.10718393707396,15.534579569334275,20.948106039276638,18.705009968329293,13.07069709586332
ACH-000370,25.042463012428243,16.050530322463562,20.99638535652057,22.08483979351657,10.510923612044333
ACH-000289,24.476399931608714,22.77705031055078,23.389569613705927,2.673771110915334e-15,26.485053340000096
ACH-000543,4.945302044484002,14.746331398073886,23.979659499025907,24.488943377567498,32.62734340176242
ACH-001623,16.150467266964505,4.145123776433437,16.684147834941314,21.973656469574127,21.67452212916352
ACH-001624,27.19115450968088,18.271190625253272,10.729350986677877,23.307197477834606,11.987402613850701
ACH-000244,7.8348843890893844,18.757886506595835,27.93909458849483,20.641247877708906,31.258731251770158
ACH-000215,9.211057494249637,11.881110856657791,19.09994164194618,18.074115326391457,23.67824441109386
ACH-001608,19.727131537995138,13.237495153201065,7.992939680834914,24.449129576398935,20.17105423171679
ACH-000464,11.96962942411415,9.533461818945222,15.939020990004902,20.345802350903963,21.280668190744162
ACH-000622,32.012688094729725,24.874203672661192,22.64769919322144,26.62650165233897,0.24077721142406439
ACH-000558,17.253085867433978,8.783784112532969,16.045633663488164,14.013954737991678,22.464082171549038
ACH-000631,19.285290914394096,18.0117142705118,15.665290711119894,9.487547373070946,21.33782338426535
ACH-000479,20.4979495541723,12.243255720786813,23.68926695729866,21.739487885818296,18.764168647223894
ACH-000863,19.580618199017096,6.341115887064738,12.37594926207953,21.155997285961767,19.195895451620224
ACH-000283,21.113504907194507,3.8061417008940635,15.76800425960566,23.812899517553703,25.363576479915043
ACH-000623,12.104981503853933,11.718440956987157,23.115463553925775,19.221144228561375,24.01914421903657
ACH-000609,12.14989150917278,6.015996198185254,16.841978598478043,21.92243876829884,25.9958307033662
ACH-000504,9.755229638830446,14.133446251220647,20.9118139486982,15.236552595513594,27.811159873025748
ACH-001605,10.65332012993777,9.475243252610248,20.3159284580667,19.56559849833827,24.010319928649466
ACH-000152,9.387475949360036,12.025348608095696,19.35596933522478,16.694823589219286,27.45643451907782
ACH-000328,15.754625979467933,6.099133378267601,14.483925106048204,19.41636899965637,20.269565614279085
ACH-000595,24.191837758995046,19.941018647762064,12.759351184416017,11.748867613010768,22.221575751844423
ACH-000469,2.5047230132224154,17.680755911341947,23.68683540973374,22.297147639654792,30.660624342846575
ACH-002409,13.655694545032445,19.87248211733509,20.036451416057755,27.47491426936986,23.704233943245296
ACH-001622,10.548787111855397,9.152982464231798,15.87504141600553,22.08506856799309,26.739907185371223
ACH-000455,20.912840303993455,18.220786853412385,8.953220866959184,19.469485609539685,18.697736053178637
ACH-000036,12.76299451971076,6.82403078473193,19.15902309200755,24.674633455191316,29.081872345359052
ACH-000673,13.224149346991,7.436704809173445,18.113006377159817,19.52014122163664,21.720155580723823
ACH-000200,21.765461805187545,9.291072985684847,13.766930107415405,25.655001941782704,17.893310928146075
ACH-000323,7.982140872836191,13.753995149901629,22.934422381937253,19.916794858224645,31.599438930378817
