IHC_group,dist_arc1,dist_arc2,dist_arc3,dist_arc4
ER+/HER2+,440.8165327294574,705.5040836108348,430.70928130392133,419.47833632698115
ER+/HER2-,439.6409196421684,704.927846238074,430.26811267228675,419.31257248166264
ER-/HER2+,440.10879667455237,703.8433062977363,433.1613867312761,415.7937114732921
ER-/HER2-,438.08265854358217,706.4257913849814,442.231196364576,419.21016840427313
