n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,12.007543931503747,11.98594738840246,12.007543931503747,11.98594738840246,0.9982014187726913
2,9.736051413226157,9.739424769088826,21.743595344729904,21.725372157491286,0.9991619055197771
3,7.950682129364736,7.95011252377451,29.69427747409464,29.675484681265797,0.9993671240916625
4,3.2678652366496563,3.2613828092554806,32.962142710744295,32.93686749052128,0.9992332045751754
5,2.5119738880404254,2.476603151051602,35.47411659878472,35.41347064157288,0.9982904167030359
6,2.49074040200254,2.493627867736746,37.964857000787255,37.90709850930963,0.9984786327135006
7,1.8929074255573428,1.8577536467240103,39.857764426344595,39.76485215603364,0.9976689041232443
8,1.6438074724512228,1.6154398138837789,41.50157189879582,41.38029196991742,0.997077702763304
9,1.592686210732526,1.5937042552767802,43.09425810952834,42.973996225194206,0.997209329279356
10,1.4014936972681957,1.398878954929527,44.495751806796534,44.372875180123735,0.9972384638604077
11,1.1112934448857712,1.0571333881695524,45.60704525168231,45.43000856829329,0.9961182163323222
12,0.974304419338223,0.9145025161005246,46.58134967102053,46.344511084393815,0.9949155920062561
13,0.8913831452004634,0.8350269142397474,47.472732816221,47.17953799863356,0.9938239321776047
14,0.8419139906282301,0.8576394160671729,48.314646806849225,48.037177414700736,0.9942570336225834
15,0.7712333733175646,0.7609135852243376,49.08588018016679,48.79809099992507,0.9941370272024174
16,0.7545300875254747,0.6766141044973945,49.84041026769226,49.47470510442247,0.9926624768675539
17,0.7008815524316873,0.7353359045905041,50.54129182012395,50.210041009012976,0.99344593699168
18,0.6787160234767474,0.6892026492541221,51.2200078436007,50.899243658267096,0.9937375217451538
19,0.639566312580815,0.6388531478332757,51.859574156181516,51.53809680610037,0.9938010028946058
20,0.5983246736161524,0.5951977322955425,52.45789882979767,52.133294538395916,0.9938120988708498
