PAM50Call_RNAseq,dist_arc1,dist_arc2,dist_arc3,dist_arc4
Basal,438.7587552519545,706.9316961076978,443.4961046398671,419.3345513211459
Her2,442.92272556002933,706.1288020277218,433.61068495681155,418.2140334625346
LumA,440.54208092229607,705.7899095076392,431.17508394860164,419.97185945325083
LumB,441.7674494923288,706.8210348398749,430.4431577633214,421.8524657590262
Normal,438.7135621000103,705.3013054720492,438.00334806697657,417.59331214507483
