IHC_group,1,2,3,4,All
ER+/HER2+,4,20,54,45,123
ER+/HER2-,25,68,187,156,436
ER-/HER2+,12,9,5,14,40
ER-/HER2-,82,28,1,15,126
All,123,125,247,230,725
