,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
ACH-000828,-61.41873903446733,22.414983894601743,-2.4900390911210972,-18.298728969573485,8.123658712784163,5.076469250090472,-22.784695572562857,-21.605485490937827
ACH-000117,-39.577110498026755,17.96982614271816,8.035853845953348,-6.77210478784966,-4.422696935509467,21.01382130613546,-4.615938575150855,-16.559811890294775
ACH-000017,-40.614789261624146,10.727315037187745,22.115557023715958,-0.8685160527687159,-46.19330031202712,44.57999892486786,-26.587498800086617,-5.278011573331794
ACH-000276,67.90648537696187,43.03376226288252,18.25031723251832,34.54270787304995,20.431116865755644,-15.453520033431113,-3.8896050552779897,-10.328725874085046
ACH-000554,-43.239656434895714,19.5517730683055,25.998211748594628,-4.639125339723628,-31.78601311397529,28.807701889655362,-10.10219779535636,0.30999897161616424
ACH-000818,-44.76996795708569,54.06497290236833,-10.396926245015147,11.308503130602983,23.635281686420033,0.9387852296994755,10.293853496717185,-19.893223508451314
ACH-000856,59.082193723369166,36.23926505227423,-35.03571672171048,9.374942480681787,5.037683936039224,-2.880904033464324,5.612386996083623,10.78031101730769
ACH-000223,41.60771948649156,15.636887604706082,62.41285132631509,32.50734687042051,7.27850336029369,17.322630555610953,17.580641467042533,16.07770474985974
ACH-000019,-30.832117018764286,29.630698233952508,-12.975645746181426,-15.033331306666298,-7.494308735583684,11.505425596369374,30.40615900041786,-12.02780941670519
ACH-000330,-36.01682612583769,30.551681385006592,-8.221894120473287,6.906174135115226,7.209908862975884,17.08990081245072,10.079998892361447,-16.44760882797991
ACH-000643,21.023629072365736,-56.61810321880726,33.82702125117818,31.645527300786934,27.91696748303582,18.416413412110447,15.259476061022388,-14.48570696735226
ACH-000573,78.06478639758252,-8.249579779885096,-29.89282809096163,-10.850558028239924,-7.713929812970588,7.18828333510628,1.589722650604934,15.95150509130152
ACH-000711,37.47365868521545,-6.190236131433265,28.614849893456142,5.427242325335654,1.9291037735294319,37.97558540572804,22.173744689193494,17.506409872758915
ACH-000248,-29.401495528639856,26.267498288329207,34.78041023806617,-5.390430707397752,-53.09217522029483,41.280917228298414,-33.0727413905388,-9.037775723921138
ACH-000783,-37.064253141444304,49.92223130328267,-25.009949591237717,-6.806098781405653,-3.278897367440251,-5.093072919496987,-0.07478764054745453,-16.46432422874043
ACH-000857,18.624182189214533,-69.05737598071454,45.3939427237923,8.565625941998507,6.528634335837208,16.56129712615518,8.255385372223632,-19.81519378145895
ACH-002499,70.53181822675965,18.916474080481045,3.8921189016314406,23.156510547551395,15.40009461689834,-34.31407422176579,-19.313494864375205,22.71487267838692
ACH-000759,-47.28537589591031,22.930447712615077,26.945603787567833,10.022354949945182,26.344291216740338,23.28053915260344,6.366589529955242,-3.078343295157118
ACH-000196,15.922247606037432,3.1391303026523865,-12.718560252235095,42.44785571191599,-42.58429204853494,-38.87623490467643,-10.334361246820993,-20.670142451906138
ACH-000910,-45.775735703635185,36.24140754659112,-18.017576370828177,-11.481922295138,-32.63544360736355,-5.257384622383251,-3.3707540554008943,1.3862417055997525
ACH-000258,5.6474808492089155,13.777688094113937,-40.84903912333732,28.058686591890307,-37.45446775931359,-42.851661183341776,92.8504321645106,-23.85746548143871
ACH-000691,0.4755443442674765,2.6728181969171505,-16.61601602052885,53.476706607673165,-40.24359779563212,-24.066409351589083,-26.462549020548572,0.3129300506320415
ACH-000147,-37.1841219467408,41.39342473885672,-10.461285028336773,0.38016396083876697,15.703059626338488,10.81209911232397,8.512462139427555,-12.631967449034047
ACH-000930,44.195298509158405,12.174033594822378,-20.42126981928488,41.478330633513345,-22.27733369243874,-16.81508411959762,-36.897807071101425,0.8316587917453433
ACH-000374,61.56445823306372,16.45316372620442,31.327395452504863,38.58972396649659,13.340391607472396,-13.577481892455392,2.811296482096068,4.3293945601714325
ACH-000148,102.01340697221438,-30.010108441417525,-48.17113229362217,-25.807915798005524,43.26093986193237,38.38502963586275,-45.43557927227907,-16.164756640932058
ACH-001705,18.096235870220088,-40.04771796776598,51.83932019173946,-23.462875067817766,-11.667947067455453,9.402140963795679,32.866338138089816,37.02245735904596
ACH-001392,-85.22287004969098,-59.30594718628106,-16.0665123707211,0.662904857856516,6.0761222662883965,-3.1008503146856667,-10.897399440288243,43.24047147193214
ACH-000668,35.46649876958703,17.04481505966232,74.01892552017166,21.108352126740847,-3.2863583645018,-17.91301614146154,-15.473977923174893,-13.608254126283288
ACH-000876,-40.49985781277706,11.76234590963935,23.207179627872662,-0.6733630624918205,40.57806817595464,15.604727764874859,-30.49624400576956,-5.507003789369783
ACH-000699,79.23925419850211,-1.0365779860385393,-25.42948050736803,4.673244804629778,1.897710966329894,2.7902251961612894,-20.32084124190328,5.813320550500521
ACH-000044,-42.84934229870153,56.82691953715892,-56.65900160170542,6.104697725377305,36.37349285542823,-27.7307683258322,36.44083124216946,-0.3114855204034173
ACH-002921,-47.86549947354611,59.14214815404891,-8.987206361846901,-20.42532015739316,68.52828580092395,-24.86326155367466,10.011027830693715,2.5653777565310483
ACH-001396,-65.70093435839956,-23.50698324225888,-10.396272426549105,-18.453190171693745,-12.81766458653254,-7.7881358232878695,-11.296661057322677,47.83834094377717
ACH-000352,-23.805498322612188,52.13043408108899,-10.648223228491513,-1.5622524131174775,1.4367429633584492,14.506324475956276,11.41342254670184,-23.727369804318997
ACH-001419,-20.691008944310664,-38.12161794736995,31.704541097563443,0.4263804923886643,-18.922584996173494,16.23168288197537,26.021306533150096,62.402948606615354
ACH-001390,17.510743678979466,-79.12834769158066,-1.1561147308022313,-8.515224643210042,-25.15496858478246,-26.40423052537695,22.060985541507616,33.07989777868324
ACH-001389,84.5034082007565,-18.151834632865363,-53.88527569393961,-50.9148639198445,-1.2032895438273732,-6.958502643098454,-10.667590547547787,-5.584726139315495
ACH-001388,-91.3322532977588,-237.38964985033198,-17.36101862345198,5.3632099830363495,8.400418046121839,5.564994403811018,0.7972543912788764,-74.09644414462966
ACH-001395,-82.29882458170232,-35.73257076228807,-16.02959769198722,-27.893813843794405,18.383681238383208,-22.280228629816826,-9.68895798415897,33.866196472394506
ACH-001683,-54.295271337061045,12.221045642574984,18.7627865006965,-31.619861923540505,13.56711002893038,-34.70076083672939,-33.863712028920126,9.913211666427248
ACH-000536,21.574657002033966,21.868053365108715,45.25054589006561,7.318210617599718,-25.843671276931044,27.861253896729462,10.667479337242884,1.3736295259961016
ACH-000568,-66.7485274897312,0.2094892192215576,-23.783582410595294,32.54142110756919,31.11926703268316,31.850788708499167,12.67712219689776,17.241287469639072
ACH-000111,43.08008481628845,17.94140423137968,2.746514468415205,56.25538476929471,-7.151090129723278,-32.55922390289023,-30.611721742273037,-21.16425708413856
ACH-001819,-31.302881341096306,28.13001332947303,-1.6422880916223375,-43.267771197376206,-1.2565195421197108,-17.98610469868721,-4.289478613856108,25.438548686894322
ACH-002401,33.30584329217164,-41.69653464448295,76.11395911863966,-22.752774511250646,32.12286570640954,-38.921985898789835,12.949466390500888,-17.068039330000246
ACH-000212,69.07780039924917,-13.99946763670029,-18.718881929377535,-30.431822582500807,10.081938965153274,22.14802781670456,16.713680111310296,11.373988493706213
ACH-000621,78.70082162259092,4.50266511860701,-56.6988061774261,12.566858903814895,21.37301282778018,6.8199144581412225,-11.735589565515863,3.3278422639865135
ACH-000849,31.9004629945143,17.433193347222918,52.238245163546296,25.82000397416944,-12.015756219282537,1.7942567219156642,-9.07252094083852,3.3967579221865285
ACH-000028,-29.369377548626534,32.87575731592163,-12.409031374419081,-3.133811668077245,-8.738207629055152,13.147950694883825,30.41433329948349,-7.985153013778101
ACH-000277,-53.12866054131717,47.714484449572815,-4.401126299739283,-20.01499334541541,-3.629324852178321,16.8086407942078,-8.587595036988033,-18.761374234462146
ACH-001394,30.43681114209725,-62.104848401842986,26.859189877669817,-15.354302536055902,-2.0439601104006933,-17.855795622495396,19.299853741402302,-4.836269628509338
ACH-000721,36.49898065625069,-41.510536608866595,-56.77931805824295,-30.812349343977246,-45.928638585819414,9.921090178260382,18.34045545957706,-14.402507890733979
ACH-000902,-33.73504305587125,34.52713547494518,-29.031840320844196,6.353814027394108,-32.59648845821165,-23.95177177971548,-5.703962125103747,-0.36600896567663554
ACH-000097,-33.48926080864565,54.138630693902094,-4.483599545023715,0.4787562531388465,6.14280919110562,-4.743563059942471,10.136007836134073,-3.0431996206661984
ACH-000927,-42.60062260925129,32.960799852159035,-10.864168165127461,-13.444084087242302,-16.4527806971304,-0.0005865568865085365,-1.5164533199578238,-15.602644463856459
ACH-002399,42.896069944550256,-19.855140956260573,75.30212243008738,-30.699174381061532,15.60727282926538,-31.38027879163683,11.846561052560716,-17.737882775499074
ACH-001391,60.30276825124811,-54.258934168213486,-30.528711883687752,-60.03589130473079,-16.04217149585337,-13.408846829165276,0.07158148003558695,-2.49172753770698
ACH-000768,73.503371253776,-10.986206780974703,-6.876649883022845,-22.371797271521842,10.284087332403509,30.441068870804205,11.750643120279245,0.07493304133197413
ACH-000288,87.3083051833465,-9.310030398198506,-47.93352438599267,-14.329106197823055,1.9450086492192986,21.31926426576004,-18.090785731855693,10.601212252100817
ACH-001662,-77.51543860828176,-111.33499711947626,-50.96544871298314,102.06781049139802,23.519612481309018,4.032631936070632,-15.348403879544799,38.20366288386987
ACH-000934,0.4633248742249732,54.39748420029253,4.789678661310301,-3.476786290009423,13.476513427643697,16.806826247255973,6.1871998474829795,7.589961004228892
ACH-001393,-52.36699079584502,-11.932954616795751,38.5864170167692,-60.035291175510686,-9.125778189682853,-55.552969032500734,-41.85379349308845,0.07562703184764558
