,arc1,arc2,arc3,arc4
TSPAN6,3.339734762726221,1.8548691608223282,2.8986867634583993,5.677534250116904
DPM1,6.752891325208709,4.391612659092438,6.907579207709425,7.18513754688997
SCYL3,2.3033955773480304,0.44141717079980136,3.758377728111056,3.0704670853727096
FGR,0.049151756088080936,0.3248319159585564,0.13452610788193547,0.27675601319254844
CFH,2.1535672792940894,0.879118454756608,-0.13644246635792245,2.4778066206711187
FUCA2,5.484165176136907,2.864617529821009,5.4985243390750504,6.607508632518526
GCLC,4.780846299347082,2.919419243513739,5.237798683875924,5.6937868713324225
NFYA,4.867833588614194,1.0748992875439671,4.314748586752009,4.131674852226983
NIPAL3,3.1610715001345695,1.6701267607101211,3.8762959525101195,4.32290506071071
LAS1L,5.4705591641678355,2.847318336768111,5.454644691944841,5.311047512511898
ENPP4,2.579630227785423,0.5744350678780603,3.063405608290784,3.1702117748401273
SEMA3F,2.5593090324790246,2.1767207157684525,5.487590473306612,4.392469109225855
CFTR,0.3940845377142578,-0.39880348599916293,0.563746536371325,-0.10185447480039961
ANKIB1,4.723984307091606,1.4037227579744904,4.621028553078324,4.959094026540653
CYP51A1,5.750886323128659,4.0975297431976205,5.694007833978534,6.446101837334073
KRIT1,4.964084698518786,2.506696709006723,5.162067280915794,5.1334897482703425
RAD52,3.741040311477171,1.4888449210402437,3.413421410691607,3.1824043720022765
BAD,5.877767160385396,2.8351224958125822,6.16054730070752,5.394983972052382
LAP3,5.696524339881896,1.6181919330770613,5.616602087246957,5.924082883513505
CD99,6.612388957536622,4.069635166193342,6.148202702356986,6.230381477711868
HS3ST1,0.4302951214778175,0.13084527076167474,0.09139489457931815,1.1975613069286721
WNT16,0.4171607740496431,0.20695565379764733,0.015511936747259175,0.4227315580015828
HECW1,1.4300131296076177,-0.013107537183486062,-0.08086642580031927,0.558345299827704
MAD1L1,4.513825354916051,1.8043200838445166,3.6484484893583886,3.556274148930408
LASP1,6.01039409289672,2.0953381682184506,7.199025917016384,7.697389069364152
SNX11,3.8219697663565295,0.8708113809481497,4.527446489661957,4.1521460860142545
TMEM176A,0.381185941245486,-0.06404656958112731,1.4056561273600068,0.25776224117040125
M6PR,7.022515470870901,3.784849626200303,6.647928559603861,7.46427008087063
KLHL13,0.9071461945287052,-0.02679232436552903,1.7812486825405554,1.4536861582333516
CYP26B1,2.2087855384294848,-0.6413202422509623,1.1968302376480398,1.6733894656726922
ICA1,1.6429220348448248,2.79855139448469,5.834616632527681,4.365918440429551
DBNDD1,2.903285411437073,0.9708235825509508,5.534010054122684,4.496869659641121
ALS2,4.554758790469839,1.923872360640487,4.05298657140442,4.192385595315597
CASP10,0.6993691099705142,0.11789658561995531,0.07676476563992451,2.872871200874418
CFLAR,5.133008893468174,2.387795249834289,4.094880392866748,5.711692603373131
TFPI,5.39543140163579,1.9712484234419851,1.1636398332072648,3.2715811481687367
RBM5,6.684402379468896,3.6656183673951426,6.619151667845657,5.423264131466061
MTMR7,0.8789607552113466,0.037666163231185545,0.8799700756528146,0.42150824615445803
SLC7A2,1.9533147928987142,1.050373737791464,2.5330011348362436,0.7006050726432498
ARF5,7.372468772016682,5.230915071956412,8.032095583526285,7.314304005188201
SARM1,3.0275266826499063,0.6861016193431175,2.382965938184075,1.7718959003693526
POLDIP2,5.472362922101659,3.990839226071852,6.1392811189431065,6.220871631836954
PLXND1,4.974497202697417,2.6211650603237575,5.782937228111416,3.8711869803832455
AK2,8.181417461913805,3.8142366128522376,7.6748866753520435,8.168268265819016
CD38,0.2126833261109175,-0.20822524461617747,0.17377186457299681,0.5741299896713536
FKBP4,6.33012526953234,3.427524851285951,8.23153147842388,6.806485350014529
KDM1A,6.28917940036827,3.289217561755973,5.648318718926494,5.942405674619205
RBM6,5.71986317415234,4.251939521168653,5.677535208292238,4.64150220842215
CAMKK1,1.8183108129508734,2.8058862574967027,2.2362345837551043,1.2937259809615247
RECQL,5.863985498805499,1.8187375585041488,4.166315045992734,5.1971665083045
HSPB6,1.17214620174691,0.1928041634814348,0.2980790096123834,0.2653361767062572
ARHGAP33,3.9914471266289286,-0.9854075591485714,4.612414609408916,2.504242692971779
NDUFAB1,7.246977003454615,4.956540460344834,7.951199591446397,7.415242009424916
PDK4,0.8028937425012161,0.630258324730345,0.733631581895336,1.3166348944226676
SLC22A16,0.14165035208511323,0.23423650552760442,0.06515835119111821,-0.008619396969497983
ZMYND10,1.3322408427357606,0.251847272831067,2.1376241980912347,0.42166805759801884
ABCB5,0.16861916889563028,0.07552391063816177,0.11019409221004817,-0.0019111940360457685
ARX,-0.09503823179049453,0.24765312270400291,0.7299926864396684,0.2487929662447813
SLC25A13,4.557506572782905,2.409628965728778,4.707202320527336,4.702856203002638
ST7,3.7994987346220745,2.1480487025361263,4.107941500081913,4.131899270450509
CDC27,6.250573401623127,1.2536774315803214,5.21399579301957,5.529722588036337
CALCR,0.1673909715158535,0.06340891937011778,0.34135841929448163,0.04304613947835553
HCCS,5.241399191094443,1.1006874601077836,4.9539351436548404,5.197087007174025
DVL2,5.6568139916315525,1.7657594238043868,4.7057973502656045,4.7392937879175
PRSS22,0.0876817717354399,2.5239576167097075,5.4637876505773795,6.361861779084239
UPF1,4.888281780683215,2.6576283899962463,5.286221422141301,5.121308380853662
SKAP2,3.835967462754899,1.4785563892801596,2.1424041843376362,5.094631102227103
SLC25A5,8.992735403089497,6.223599017293234,9.273820076323092,9.62550168021002
HOXA11,1.2607351659021395,0.729082625088157,0.2871528723239294,1.2079547159832489
POLR2J,6.415277071393141,5.258973688482838,6.633697969797694,6.47037176800368
DHX33,4.464715061451614,1.3077231049250129,3.401117463613382,3.7251646967592844
MEOX1,0.5584175510928091,-0.18159149992322982,0.09439649490938853,0.03988670446966534
THSD7A,0.3274018948681906,-0.6396457664074725,0.42995290691709626,1.2059704481506803
LIG3,4.602482739728206,-0.014781637142255555,5.13264957143922,4.256184187814101
RPAP3,4.81096922732788,2.5809965822099787,4.957655843536757,4.776207787656607
ACSM3,2.0970198979453722,1.0408611204489377,2.441138308297379,1.7939155800685909
CIAPIN1,5.455771785995027,2.5436556717057175,5.752764923675195,6.279208898663051
SPPL2B,5.209305816372404,1.9124465890808717,5.417771863786306,4.060429426746497
COPZ2,2.906904434808144,-0.8301060736531622,1.3557424925739838,2.5119907280881932
PRKAR2B,1.7370727864518447,0.0883067701738538,3.486800503363616,2.7756480185328853
MSL3,4.544838160111911,2.234354908171622,4.204435046744628,3.9212035703093693
CREBBP,4.482303050627808,-0.12986489519007804,4.891719341706742,4.504810486767645
MPO,0.2986812985258728,-0.21188774304648114,0.3248501264183551,0.19399254817462278
PON1,0.11253581149947176,0.39615701817962734,0.1551842388280839,0.09865057421024337
WDR54,5.342723087415821,2.8597187651976865,4.618600256928677,4.44332329946516
CROT,3.1361235776736716,1.6660814335324095,3.9448242981624646,3.113836336941729
RHBDD2,5.156949050300101,4.9500320209451,6.000651742481482,5.605653240962786
SOX8,1.1148316766717195,1.281857671331097,0.41911747955431095,-0.30098356834788026
IBTK,4.3561341446504045,3.441269892212778,4.7735266951547,4.595296153625733
ZNF195,3.9320599163496106,2.5937986530697854,4.272053825233444,3.6924529698860793
MYCBP2,3.5516894250088265,1.6314501023444639,3.7164537919800114,4.086094721719503
FBXL3,4.297622079507057,1.8095630957250153,4.589081345964448,4.97032300407302
ITGAL,-0.2400510302312635,-0.16515544694237572,1.9271266394213789,0.7913955999659311
PDK2,3.944117967546028,0.8067998791993722,5.090493053844592,4.48474426723006
ITGA3,6.387014707710341,4.007852232648899,4.706053977294626,8.553888818518113
ZFX,3.7070069649911312,0.849721189699582,3.576945001952298,3.1794624937652247
LAMP2,6.640233299832955,3.0053871858746546,6.217099498990017,7.453206258427117
ITGA2B,1.0389744923864255,-0.8074548160635363,1.22199176018475,0.5693659778761418
GDE1,5.337010635875289,3.0304660317220713,6.443922549450384,7.214821998689455
CRLF1,3.45766298566197,1.1732062194513275,3.258443098463955,2.6509324752973735
OSBPL7,1.6566311661816815,-0.5036463392760542,2.657915465121217,2.9994069542736606
TMEM98,2.1524886903942537,-1.162430855675589,2.269236548775553,2.326901175377989
YBX2,1.4523986681072398,-0.5286878234622634,5.0645898140482535,3.428577903453151
KRT33A,-0.011318054206774383,-0.09340688951633096,0.18569570528598411,0.04431262818638759
MAP3K14,3.2536128519075684,0.40898242051964306,2.0843571744738703,3.185498870563884
ABCC8,0.19697854502516532,-0.3074153649237579,1.867919185737291,-0.16897627750400857
TMEM132A,5.2408380151106355,2.531584244240874,7.142432778285849,6.145663903236258
AP2B1,6.614583486462138,1.8318331170904605,5.9099612433010416,6.1134075350774575
ZNF263,4.593867449481926,2.0847071714897276,5.339884922379653,4.8257209098669245
CX3CL1,1.3342983497798637,-1.107339129268782,1.527279975959501,3.2776268820198755
SPATA20,5.03328146510357,2.32082259571519,5.978995203409843,4.607570596774751
CACNA1G,0.692195959365764,0.044299060567417475,0.21241046226414487,-0.07695890642292494
TNFRSF12A,7.001131650711185,6.5859539029605125,6.539340209537945,8.544976624263068
DLX6,1.784223891176804,0.5052675962698336,0.08553526933883693,0.5476453473698384
MAP3K9,1.781914729895559,0.1117111732328313,2.7870429128136305,3.563966903490396
RALA,4.945221846235536,3.366214959492905,5.3084289379783804,5.421298568004077
BAIAP2L1,4.036772672584387,3.6592796944863304,3.998108184748536,5.344329158595773
ETV1,3.1014735999319685,0.2865943259628907,0.633186831525695,1.960246391855132
AGK,5.3924602741541,2.167198390112689,4.971189259734726,4.7513998996604805
ALDH3B1,3.4308707554858087,1.8327542178045297,2.6645217565571895,4.546334287053734
TTC22,0.3355553336117135,1.5726040476032412,0.2976529403446563,2.4186610349603748
PHTF2,5.00983436747103,1.4002123079927142,4.479625822319841,4.183922813609466
CCL26,0.9767369361353242,0.1606253762937219,-0.034560722364254115,0.5571064164832602
FARP2,4.3897294476780555,0.525349413061651,4.227602886034757,3.8706886397310543
USH1C,0.8022952431002364,-0.029149170289288928,0.4726748288836601,0.001610693911952732
GGCT,6.038762701267821,5.461636182400117,8.208880957047752,7.821604125979039
DBF4,5.540634402284718,1.9574271125118239,4.951221281070312,5.160340947567397
TBXA2R,1.0761819268420605,-0.19968467658295608,0.35376696248692785,0.279719321369589
IFRD1,6.228317786818708,5.514622274943384,4.762393702344709,5.909956513692675
LGALS14,0.06677518939187405,0.3404818792755895,-0.08170000049674925,0.28683165171027736
COX10,3.7788047131162648,1.6198945553415096,3.704878395513625,3.748627023523791
GTF2IRD1,3.98452255074842,3.442974178268643,4.430757726262783,4.083205044074446
PAF1,5.2697276743234776,2.2656943287946762,5.997351385908011,5.740250874220519
VPS41,4.756806791916814,1.4060061538820934,5.036090093252916,5.03911809714276
ELAC2,6.016659872513881,2.995149327739434,5.730450244790128,5.6085002814995
SCIN,0.22724820600356832,-1.3044557455772254,2.2887959105098252,2.066741357872478
ARSD,2.4038160285386923,-0.5048534148877852,3.958659857267092,2.9901955244350966
PNPLA4,2.6395516689206397,0.8584793580209813,4.069384255549101,3.581503346995418
ADIPOR2,5.193712628308294,2.7590138142368588,5.6162779694752905,6.266935573170721
CDKL3,1.679018595961442,0.9555342862926639,1.1938203980092594,0.9897477864036393
PRSS21,1.3677211680508565,3.236608325235463,-0.14350992523191208,1.3161775784349243
MARK4,4.306834532017605,2.1091825818497307,4.763018814445094,4.474239150090442
