tumor,PC1,PC2,PC3
0,1.3078056046796682,1.1403163307883935,1.9822727117548782
1,-0.784079349674093,-0.9153009069977155,-2.7945230115417923
2,-0.19890205061549818,0.9327022980038503,2.1689692524106037
3,1.6030392943636937,1.130586981250795,-0.6361629378135896
4,-2.151810656084805,1.0427770437061292,-1.8420465563225261
5,0.43039105396633703,1.7724397309964266,2.1390717110007267
6,-1.668537096732903,1.9184151791124051,4.611822961003658
7,-3.6055269458341552,1.7084089669695675,0.41336275148388874
8,0.5951363377646155,3.3167133908242694,-2.401335845031133
9,-5.524661616792269,-1.08143820404048,-1.364069984528578
10,-1.743532583709403,3.3933989029120104,0.5529577291999876
11,0.5794886763229422,3.1642500622812673,1.8396948454674562
12,-5.6144464748660425,1.3401778299459175,-2.3609797818402978
13,-0.1961194229558101,1.5652793960920133,0.12224632679812789
14,-0.17464137914274044,3.579532654151776,0.6261773988576979
15,1.1783227957789981,2.3583932602456743,-0.7072984019707024
16,-1.5297643770195422,-1.1693907832663002,-1.096693724886268
17,-4.554147226011375,0.03389035607689875,0.5827029191748564
18,0.9504398307970751,0.8866387729135522,0.8321791232702654
19,0.9214147078272156,2.4925766067321984,-0.4544572611239646
20,0.6944287021336293,3.1128692744396878,0.09993068320737755
21,1.3510126605940067,3.717205550300713,-1.4030434368456082
22,-1.3081563808927874,1.3731080583347581,5.116301504723858
23,-1.1849633177117405,1.9344565462515284,-1.085690888404718
24,0.4624895067097452,1.6779273670685086,1.03826457740279
25,-1.443994415739179,-4.255477207373401,4.1897223041922365
26,-3.5089643827144497,1.7435426133943144,-1.4040649713476119
27,-1.8969287912177923,-1.0982230684286087,0.2622880331431148
28,1.6494645252954132,2.171885249795645,1.4153955388074164
29,-0.008050133953038718,1.4137775940440833,-2.1492250210852784
30,0.8551212449767944,2.5058539481836637,-2.056427768246716
31,1.3876908045037768,3.0533870618843704,-1.7533287565649396
32,0.2973672474683875,2.7174164637552405,-2.0546312469005352
33,-1.8025706780160953,2.179522076052596,-3.325661438144653
34,-3.8695262710069525,5.054257164303875,-4.617872168329126
35,-4.444173278211151,2.956720941742334,1.6151490244851496
36,-0.7734802347398053,4.0976725526397,-3.3828912014868067
37,-2.618042480709202,2.0693197991333863,-2.7615585186553506
38,-4.418871930101309,-1.6022189549810952,0.9823508880994742
39,-0.9393481171119306,3.116909372432037,0.11697732470092313
40,-0.5830872841178291,4.1151884721311305,-2.1217445728271596
41,-2.4033912850344645,-0.2706924436193168,-1.4460808297343557
42,1.3207780338628554,2.8540881040247323,-1.8560678491545444
43,1.0888610317745704,2.9557612696495155,-0.8535297585280744
44,-4.93541802983443,1.2167190672105976,-1.5851252863991523
45,1.6124315394437527,4.341640643192908,-2.6626178183859954
46,1.1495769890990775,3.317725451008094,-2.135371015036956
47,-1.2558649211265211,1.4036030602452825,-4.4423134044238335
48,-1.7379029940910335,2.2530976162238243,-2.5256284043576276
49,-2.0755347985317787,0.2060688009122217,-0.902678761210481
50,1.7628085071548625,0.7147404303862825,2.904219461894143
51,0.9860942657402424,1.6261999632459074,0.9985995476533651
52,1.6013683967300334,2.4206428162315206,-0.4684779648298037
53,3.876595758879709,0.40794740466105345,-0.6999744158909522
54,-3.0092432931549613,1.1687217045177694,2.108293538742277
55,-1.3157166302359877,3.2106497641464387,0.2681594438132134
56,-0.6623049873733637,4.375661777980974,1.8357809006622223
57,-1.4201884154790776,2.23789334173771,1.5536548305709892
58,-0.6129268802042191,3.8440871489321564,1.110515935933566
59,-2.141592399108905,2.940092716878441,0.1411669445230637
60,-5.044802800780436,0.30769785761271334,-2.5657811075577506
61,-0.8151946294396863,1.5150574948795084,-1.2481277672084883
62,-0.2756148530393995,2.671765394722357,2.115049006631797
63,0.4820061669629484,4.742998226363453,-2.4261631884109143
64,-0.2991284612852005,3.383264491601526,-2.8260159562149636
65,0.1387993045056118,3.4913244541610617,-1.3607710514790152
66,-1.0790048960061334,3.4241587608479778,0.08755439775983774
67,-5.842049291497754,0.3992713094387485,-1.3473971799991558
68,-1.7696760288949098,4.958911872100893,-2.676868104955925
69,2.613042090780716,1.3925735508002404,-2.5035651188210313
70,0.2746165348786655,3.3344177349791213,-1.6569587370001497
71,-0.7832678147381286,4.0920619118714505,1.5780769931338092
72,-0.7627765754363172,0.6607635309780707,-1.6025302630999276
73,-1.8884629941440454,2.3851403158893314,-1.4632602182973327
74,-5.950696931764365,1.023253955625731,-3.7450497032340277
75,0.022250067647790056,3.919588139080763,-2.300448872259022
76,-0.1282289533966817,1.6105524645574552,-1.2870723518948652
77,-4.180916574404623,-0.3006110003710689,-0.37364272019443845
78,-2.192368699554782,4.995797885177007,-2.2063456808481687
79,-0.0884364050352909,5.324933908853748,-2.1680405448876194
80,-2.081873068763801,5.870619235703965,-3.5086220855132075
81,-1.3267848162164553,5.956934678130566,-3.768798728300148
82,-1.8254451330463173,3.1443919889462872,-1.2471413723719011
83,-0.303546747521774,4.7036529257393935,-0.6941175004039996
84,-1.1433419184625784,2.587654439300623,-1.1215735696592677
85,-1.0943312707772712,4.0123412816818735,-1.9922803513839036
86,-2.9992464648802803,2.5415029668218936,0.41812012720116803
87,-1.0187310682481592,0.6908726079423267,0.5722670541565757
88,-0.545217776390217,4.067866434663745,-5.697295761043218
89,-1.8113294706522067,3.5121773825099027,-3.8006314346675754
90,2.4051774398976304,3.84510088869458,-2.1592103365669484
91,1.6173887472583623,3.415245823649522,-0.9261446784743719
92,-0.7488030134049979,3.031306214206291,-2.7922840135110105
93,-0.6496879436632254,3.650618276299522,-5.572339242675235
94,-0.9903483547629439,1.2807595792324258,-0.002132236324459637
95,0.30353592460786094,3.111655775959265,-2.883925424408059
96,-1.0973984367417662,1.5136340187884272,2.3140685369895224
97,-4.384354905894434,1.396830757240513,4.136247716913037
98,0.8254009217314237,2.2290163965927476,3.9846642282887097
99,-0.5817905025121941,2.77924798994328,3.4363215106721614
100,0.6803754938807876,5.3037168178452525,-2.242247436518004
101,-0.8070722819677975,3.234374268700738,2.2000205470572953
102,-2.4840251927924895,2.5018173008887894,3.9025884419695567
103,0.8397436292710887,5.555803746871007,-2.8326928270360168
104,2.3100433155704128,4.7566983967769305,-3.047114311006065
105,-3.410172532760725,4.427289672754362,-2.397213450115223
106,0.5739358982116236,3.2351129371419796,-2.6928837968734896
107,-3.023129923620092,1.8378585886111611,-1.8816455243873822
108,-1.3806297871249278,5.484134988679911,-4.944033101761992
109,-4.647062173222168,3.822827717598235,-5.344457984587562
110,-0.528082111666015,4.6972428287132555,-2.7706313638313773
111,1.5920623941366472,4.248131174663517,-2.9817781467357136
112,-1.0363431094456317,5.0917041962032545,-2.383885477215689
113,-1.3110140688495735,5.916578111989039,-2.912319232071261
114,-2.290958992148799,6.01936063362024,-2.675277955199705
115,0.9017418685133469,4.504278940907689,-4.099058123013657
116,0.25324448943247024,2.606025798064338,-0.440755408525866
117,-4.093319350109401,2.469207562570494,-0.7466562704806788
118,-2.778458024601406,5.234951646921946,1.2782964867701017
119,-1.4059967512066958,0.014339436723171898,-0.41782623467701463
120,-0.4867619841888393,4.119374301906533,0.5638572416671265
121,-0.6517301734255653,2.7535250829324758,-2.2852482492244697
122,-2.9000488101916098,0.17061561165239048,-2.8932633789490145
123,-2.6558500402687986,0.5193027114152567,0.2935874417480975
124,0.5958517594996812,0.7229502224493103,1.6629489975497451
125,-3.1946478515124253,2.1128192219386284,-1.1908370282693794
126,-2.212610148450642,3.836631062792261,-0.3610555758688449
127,1.6822097735505392,1.8713889653994185,4.124784579130873
128,1.0583404650679566,0.2996917390575885,-2.118636297417898
129,0.5279706050733405,2.967375899289749,0.6128494428201618
130,-0.7612723711322704,1.700308689152616,-1.6235374227774277
131,1.356143495747352,2.06111961901109,1.7451225082591375
132,0.3104177105857252,4.293554801765243,0.4874187717753918
133,0.8803041998190155,2.147220129252783,4.571845525497242
134,1.6417305537530082,2.723514699636391,-0.24219766862594816
135,-0.44387632340843064,5.285198381964986,-0.5278235550859276
136,-4.694944060007385,2.25240309474889,-0.13868917224451632
137,2.447268956368565,-0.5090584941089321,1.5126280553308897
138,1.3025684255861658,3.4772470752866425,-0.9335112522383219
139,1.3190577301410022,-1.1582735875130405,-0.765122203510831
140,0.6091990928787778,5.192882066360055,-5.435731591762675
141,-0.26234659816088046,5.668523434862199,-6.730907207201828
142,-2.2458069295832677,3.066711090845758,-2.2006361901659552
143,0.44260532226091176,5.240190010570028,-3.293228246446082
144,1.8069965795143916,1.2240284951643485,-1.2708893493374191
145,-1.8773245846079267,3.606850499091787,-3.4213518174758484
146,-2.368484025898222,6.351340999043973,-0.6224729346738529
147,0.6403996574699304,2.080919493394952,0.48308143468152587
148,0.42937472105302865,4.01010362763377,-3.9902747222286776
149,-1.3380490212922709,5.673857922186762,-2.9495407303864636
150,-0.38536490650468413,4.120378730095421,0.5108313034219526
151,1.5732001164679537,3.7192215805275026,-2.8918308697779604
152,1.5695598011625767,3.9011486455309248,-2.9323633220113963
153,-5.760977636582402,1.372364481114947,-2.7169840486206263
154,-1.30572261621867,4.286838950098128,-0.8585931736749954
155,0.6341089003868298,3.8208815832884153,-3.9863167828451034
156,-5.080055814340915,-0.399727659847246,-1.937924922079878
157,-5.401231843649901,-0.0060534107015980665,-0.07101555318315232
158,-2.525034169210173,3.8852609186652405,-4.866389875432071
159,1.1011691388376024,2.883599939016077,-1.57817346857726
160,1.814275625595967,1.746253002192008,-2.5830287357600583
161,0.7107737804065736,2.2756979322449578,0.30602237100129404
162,-6.071014676436126,-1.2668012522641312,0.2071454912096361
163,-0.23849724740679049,1.0741055152361128,2.4146169274151545
