,PC1,PC2,PC50
PT089_P1_A01,0.2569156199804003,2.499448843385158,0.767083790368638
PT089_P1_A03,2.8292958134989696,-2.793784828505084,2.0102205142090845
PT089_P1_A07,0.196907601371347,-0.3187456907054271,0.43442630988092884
PT089_P1_A09,2.4502274269235116,-3.4528470266143034,3.149003648141642
PT089_P1_A10,1.5271960662309307,-1.5040027502697844,2.4062243328208317
PT089_P1_B01,-0.17308265349197138,-0.2236086011915946,0.2035969638285139
PT089_P1_B04,0.33002159990455743,1.203425222005011,2.0605257233922267
PT089_P1_B08,-4.23805709422762,5.526172554554622,-0.08278649667368479
PT089_P1_B12,-0.835601276454417,3.5114921356617828,0.9698959455380344
PT089_P1_D02,1.0015178878962274,-4.1078464127796845,3.010410421759828
PT089_P1_D09,-1.7667033040564608,-0.4458676716672157,-0.3476867979664242
PT089_P7_A03_S3,-2.81352220384312,3.2649584850642737,-3.0513732661217534
PT089_P7_A04_S4,3.075881518296555,5.0942563441605655,0.0027192923858708543
PT089_P7_A06_S6,1.4000160233568306,-0.755759681202082,1.1721473214679614
PT089_P7_A08_S8,5.262982810180797,5.546298137915172,1.2677516880444133
PT089_P7_A09_S9,5.973349916052789,1.2236362085902854,-0.7598799121602584
PT089_P7_A12_S12,5.915363922867156,0.21515403206312403,0.9108169443951833
PT089_P7_B03_S15,5.051977909323197,4.865128981936393,0.6839476781541691
PT089_P7_B06_S18,1.6730759211375335,9.45310271349812,-1.5741408149784906
PT089_P7_B07_S19,5.012053114230347,0.2873354080557876,-1.1458552491732679
PT089_P7_C02_S26,5.700434971856442,0.6742530146426471,-0.9633199252827094
PT089_P7_C03_S27,-0.4326252335239443,2.605274566546501,-2.946904531445076
PT089_P7_D02_S38,-2.4754234425602326,3.0979259259398684,-2.365314177122912
PT089_P7_D03_S39,1.8679099909598647,6.571741880761431,-2.6291990907726057
PT089_P7_D05_S41,2.8225618915156483,5.758158360515543,-0.07794505789335349
PT089_P7_D07_S43,4.955308390401659,-0.10539041904103336,0.7442743643221839
PT089_P7_D08_S44,1.9132311791226648,1.7500743107554197,-2.0595861972049048
PT089_P7_D10_S46,-3.0364866117654845,3.6259142809291935,-3.013307601404643
PT089_P7_E02_S50,1.5249749769752634,0.060230510341105825,-2.6556522661919773
PT089_P7_E05_S53,2.5881309206603538,5.085748158293797,0.6778043637788377
PT089_P7_E06_S54,2.084429375746747,-3.936765703972989,-0.4416300172734543
PT089_P7_E07_S55,7.572626223950108,-3.401002261062952,1.8424708025744931
PT089_P7_E11_S59,7.47720559044676,-5.480433880374123,0.2803501109399443
PT089_P7_F02_S62,2.719354181495021,7.246207487895821,1.3530732216899108
PT089_P7_F03_S63,0.8869146356058901,9.232966047277856,-1.478647545216877
PT089_P7_F04_S64,2.5930041643171835,8.85515631697674,-0.606788327658039
PT089_P7_F06_S66,-1.1935357478800812,3.1076252060118086,-1.5975529724956785
PT089_P7_F08_S68,1.413722264427835,-1.0552545645195133,1.3962544994527595
PT089_P7_F11_S71,5.549092151254019,2.2175194079431275,1.3938441640131285
PT089_P7_G01_S73,3.6353363667542666,6.201308801988819,0.6641740147293033
PT089_P7_G02_S74,3.944958619397686,5.45499462330596,1.506999181477652
PT089_P7_G03_S75,2.388681801785327,4.54971830613333,0.42807801361618647
PT089_P7_G05_S77,1.7791145101939156,-2.283805002937211,-1.4197124872747988
PT089_P7_G09_S81,-1.927135820275169,4.117171319739654,-3.8790785854583354
