cell_id,tumor_id
PT081_P1_C09,PT081
PT081_P1_C12,PT081
PT081_P1_D01,PT081
PT081_P1_D02,PT081
PT081_P1_D04,PT081
PT081_P1_D06,PT081
PT081_P1_D08,PT081
PT081_P1_D09,PT081
PT081_P1_D10,PT081
PT081_P1_D12,PT081
PT081_P1_E01,PT081
PT081_P1_E02,PT081
PT081_P1_E03,PT081
PT081_P1_E05,PT081
PT081_P1_E06,PT081
PT081_P1_E07,PT081
PT081_P1_E10,PT081
PT081_P1_F01,PT081
PT081_P1_F03,PT081
PT081_P1_F04,PT081
PT081_P1_F05,PT081
PT081_P1_F06,PT081
PT081_P1_F07,PT081
PT081_P1_F08,PT081
PT081_P1_F11,PT081
PT081_P1_G01,PT081
PT081_P1_G02,PT081
PT081_P1_G04,PT081
PT081_P1_G06,PT081
PT081_P1_G08,PT081
PT081_P1_G11,PT081
PT081_P1_H01,PT081
PT081_P1_H04,PT081
PT081_P1_H06,PT081
PT081_P3_A03_S195,PT081
PT081_P3_B02_S206,PT081
PT081_P3_B04_S208,PT081
PT081_P3_C03_S219,PT081
PT081_P3_C04_S220,PT081
PT081_P3_C05_S221,PT081
PT081_P3_D05_S233,PT081
PT081_P3_E03_S243,PT081
PT081_P3_E04_S244,PT081
PT081_P3_F06_S258,PT081
PT081_P5_A05_S101,PT081
PT081_P5_A06_S102,PT081
PT081_P5_A07_S103,PT081
PT081_P5_A09_S105,PT081
PT081_P5_A10_S106,PT081
PT081_P5_A12_S108,PT081
PT081_P5_B05_S113,PT081
PT081_P5_B06_S114,PT081
PT081_P5_B08_S116,PT081
PT081_P5_B09_S117,PT081
PT081_P5_B10_S118,PT081
PT081_P5_B12_S120,PT081
PT081_P5_C01_S121,PT081
PT081_P5_C03_S123,PT081
PT081_P5_C04_S124,PT081
PT081_P5_C05_S125,PT081
PT081_P5_C06_S126,PT081
PT081_P5_C07_S127,PT081
PT081_P5_C08_S128,PT081
PT081_P5_C09_S129,PT081
PT081_P5_C10_S130,PT081
PT081_P5_D01_S133,PT081
PT081_P5_D02_S134,PT081
PT081_P5_D03_S135,PT081
PT081_P5_D07_S139,PT081
PT081_P5_D09_S141,PT081
PT081_P5_D10_S142,PT081
PT081_P5_E04_S148,PT081
PT081_P5_E05_S149,PT081
PT081_P5_E08_S152,PT081
PT081_P5_E09_S153,PT081
PT081_P5_F01_S157,PT081
PT081_P5_F03_S159,PT081
PT081_P5_F08_S164,PT081
PT081_P5_F11_S167,PT081
PT081_P5_H01_S181,PT081
PT081_P5_H04_S184,PT081
PT081_P5_H05_S185,PT081
PT081_P5_H06_S186,PT081
PT084_P1_D11,PT084
PT084_P1_D12,PT084
PT084_P1_E01,PT084
PT084_P1_E02,PT084
PT084_P1_E04,PT084
PT084_P8_A10_S202,PT084
PT084_P8_A11_S203,PT084
PT084_P8_B02_S206,PT084
PT084_P8_B05_S209,PT084
PT084_P8_B06_S210,PT084
PT084_P8_B11_S215,PT084
PT084_P8_C03_S219,PT084
PT084_P8_C04_S220,PT084
PT084_P8_C05_S221,PT084
PT084_P8_C06_S222,PT084
PT084_P8_C08_S224,PT084
PT084_P8_C12_S228,PT084
PT084_P8_D01_S229,PT084
PT084_P8_D05_S233,PT084
PT084_P8_D06_S234,PT084
PT084_P8_D07_S235,PT084
PT084_P8_E03_S243,PT084
PT084_P8_E04_S244,PT084
PT084_P8_E08_S248,PT084
PT084_P8_E09_S249,PT084
PT084_P8_E12_S252,PT084
PT084_P8_F02_S254,PT084
PT084_P8_F07_S259,PT084
PT084_P8_G02_S266,PT084
PT084_P8_G05_S269,PT084
PT084_P8_G06_S270,PT084
PT084_P8_G11_S275,PT084
PT084_P8_H01_S277,PT084
PT084_P8_H02_S278,PT084
PT084_P8_H06_S282,PT084
PT084_P8_H11_S287,PT084
PT126_P3_B04_S16,PT126
PT126_P3_B05_S17,PT126
PT126_P3_B06_S18,PT126
PT126_P3_B07_S19,PT126
PT126_P3_B09_S21,PT126
PT126_P3_B10_S22,PT126
PT126_P3_B11_S23,PT126
PT126_P3_B12_S24,PT126
PT126_P3_C01_S25,PT126
PT126_P3_C04_S28,PT126
PT126_P3_C05_S29,PT126
PT126_P3_C07_S31,PT126
PT126_P3_C10_S34,PT126
PT126_P3_C11_S35,PT126
PT126_P3_C12_S36,PT126
PT126_P3_D01_S37,PT126
PT126_P3_D04_S40,PT126
PT126_P3_D05_S41,PT126
PT126_P3_D06_S42,PT126
PT126_P3_D10_S46,PT126
PT126_P3_D12_S48,PT126
PT126_P3_E02_S50,PT126
PT126_P3_E04_S52,PT126
PT126_P3_E06_S54,PT126
PT126_P3_E09_S57,PT126
PT126_P3_E12_S60,PT126
PT126_P3_F01_S61,PT126
PT126_P3_F02_S62,PT126
PT126_P3_F03_S63,PT126
PT126_P3_F04_S64,PT126
PT126_P3_F05_S65,PT126
PT126_P3_F06_S66,PT126
PT126_P3_F07_S67,PT126
PT126_P3_F10_S70,PT126
PT126_P3_G01_S73,PT126
PT126_P3_G03_S75,PT126
PT126_P3_G04_S76,PT126
PT126_P3_G11_S83,PT126
PT126_P3_H02_S86,PT126
PT126_P3_H07_S91,PT126
PT126_P3_H08_S92,PT126
PT126_P3_H11_S95,PT126
PT126_P3_H12_S96,PT126
PT039_P121_A03_S291,PT039
PT039_P121_A04_S292,PT039
PT039_P121_A07_S295,PT039
PT039_P121_A11_S299,PT039
PT039_P121_B01_S301,PT039
PT039_P121_B02_S302,PT039
PT039_P121_B05_S305,PT039
PT039_P121_B06_S306,PT039
PT039_P121_B07_S307,PT039
PT039_P121_B09_S309,PT039
PT039_P121_B11_S311,PT039
PT039_P121_B12_S312,PT039
PT039_P121_C01_S313,PT039
PT039_P121_C04_S316,PT039
PT039_P121_C08_S320,PT039
PT039_P121_C09_S321,PT039
PT039_P121_C10_S322,PT039
PT039_P121_D01_S325,PT039
PT039_P121_D02_S326,PT039
PT039_P121_D05_S329,PT039
PT039_P121_D08_S332,PT039
PT039_P121_D09_S333,PT039
PT039_P121_D11_S335,PT039
PT039_P121_D12_S336,PT039
PT039_P121_E01_S337,PT039
PT039_P121_E02_S338,PT039
PT039_P121_E04_S340,PT039
PT084_P121_E06_S342,PT084
PT084_P121_F02_S350,PT084
PT084_P121_F03_S351,PT084
PT084_P121_F04_S352,PT084
PT084_P121_F05_S353,PT084
PT084_P121_F07_S355,PT084
PT084_P121_F08_S356,PT084
PT084_P121_G01_S361,PT084
PT084_P121_G05_S365,PT084
PT084_P121_G12_S372,PT084
PT084_P121_H01_S373,PT084
PT084_P121_H09_S381,PT084
PT084_P121_H10_S382,PT084
PT084_P121_H12_S384,PT084
PT039_P10_A03_S195,PT039
PT039_P10_A09_S201,PT039
PT039_P10_A12_S204,PT039
PT039_P10_B02_S206,PT039
PT039_P10_B07_S211,PT039
PT039_P10_C03_S219,PT039
PT039_P10_C10_S226,PT039
PT039_P10_C12_S228,PT039
PT039_P10_D03_S231,PT039
PT039_P10_D09_S237,PT039
PT039_P10_G03_S267,PT039
PT039_P10_G06_S270,PT039
