tumor,PC1,PC2,PC3
0,15.171964452416473,12.064936681598452,5.159100583938031
1,-4.299856301644462,-19.350174208820153,-28.90004938307995
2,-3.160795402690854,11.936472793592511,14.019012156053991
3,19.00460328914404,7.783528835147379,-8.917919940673704
4,-10.43643183978572,0.32325933866989826,-16.94937283856912
5,7.4055048616398516,15.121219181082168,9.616594254201859
6,-20.254000596523216,22.661511595924733,38.237295739215654
7,-23.982541287143963,4.969935912933267,3.566905292690928
8,11.367545536814845,12.693225398254821,-16.847733015885613
9,-48.939556931645924,-19.306673550135773,-10.92335755154196
10,-17.174812366710974,21.721026678395706,16.527121930348933
11,2.2574797412668395,24.86117920651173,22.3964786932062
12,-47.57461041657228,-5.460571388348984,-6.761799504579812
13,-0.3166505490018519,12.754525209004123,6.592947805756076
14,2.134125032483337,24.641764648138544,15.386744569532983
15,12.437190924209206,12.078111933241974,-4.591958261540539
16,-17.707695347435266,-10.737389532304764,-13.364293419389549
17,-40.58943808051696,-6.099423308135512,1.395401510812382
18,4.1833357346433235,6.0438924198793185,-0.7813131878010537
19,12.088670646156936,12.507823496553895,-5.367176026022486
20,9.536840341714116,21.324606346490057,4.192871172327535
21,20.121296604419204,17.783048832091144,-3.178442534779442
22,-17.999180305458836,20.55052431704284,41.01697653809365
23,-8.688173110527382,8.95449238022029,-3.6272344290156586
24,2.0598019484171135,9.935053985314868,12.336225098821883
25,-29.621966390098287,-15.141779988494065,19.122314663490744
26,-26.35794336609285,0.1594138620875175,-10.334702330807453
27,-16.41029028352743,-3.136960063557558,-1.878282800238979
28,10.940021037445877,10.57800317506311,4.720777492745828
29,5.05632460779398,-3.801827299409683,-24.214911005383627
30,10.158626168462417,9.173949469183299,-9.787733240107428
31,19.558691802249147,13.158836203944727,-17.84568013879728
32,5.0247519852060165,10.971543953183133,-13.385906832243597
33,-5.460440726915514,-1.5650327928618126,-25.047013931664164
34,-25.497915265288995,13.76292656638592,-15.948960091335366
35,-41.26956200066296,5.172280634401049,14.434740053958217
36,2.622910164948366,16.750515675713558,-10.115086387287235
37,-14.094624403926236,4.048112157685223,-15.386786541842788
38,-41.115729149171415,-9.638512300792218,6.267402156488055
39,-6.191821938892423,19.171174030821415,5.455680100150672
40,3.4672273713736113,13.144287688008221,-11.902829035637966
41,-16.791835515584086,-7.542382061514759,-9.201551421844515
42,16.12286351322179,11.770746335557384,-12.094272523153755
43,18.491442477780517,16.287104553472055,-7.3356188642852675
44,-42.47363937039668,-1.1487441813121377,-4.673942695441635
45,17.65462999230603,20.10294664995281,-13.251057402335944
46,17.03434741200631,15.536573783211955,-12.935787149362017
47,-3.973573782445087,-3.264587898728627,-17.82409118894811
48,-11.073027917616441,9.436053593064909,-6.466012416505852
49,-11.514636807267202,-1.842791170395493,-6.391532643006832
50,13.35924210418386,14.033853070689359,19.662398589502665
