,PC1,PC2,PC3,PC4,PC5,PC6
TCGA-69-7978-01,-3.5763370304532978,-70.38523941169781,-5.498345391557919,-7.354585199254726,-8.664140253934399,9.469820549111386
TCGA-62-8399-01,-15.738926504628486,10.413103709333022,5.910243330208591,-23.60112604797276,-19.73885324409026,-31.432042957536183
TCGA-78-7539-01,2.767838824265561,28.420315738824335,-43.963115951294505,-32.05015227083998,-11.479998957136738,16.54846727821874
TCGA-73-4658-01,14.354701984386676,-48.6006639338635,-42.37783714019895,2.6707628838942754,-34.756292080504025,30.347378015768854
TCGA-44-6775-01,29.644681104822457,-51.92928287855971,15.222163513662721,-18.828674361686787,-0.8994686798378578,-19.480500646998674
TCGA-44-2655-01,35.95696099181697,37.74209360131719,-32.761509344880885,43.048819873402365,-19.682261896324015,19.207284068983054
TCGA-44-3398-01,43.153428968010125,-54.54062151529662,-10.130997396865235,27.722497998875795,-9.851205350469652,41.19103421084281
TCGA-62-8397-01,22.538023327627627,35.7812107273089,-69.89337887293048,-16.62157284814115,4.00503613752051,-4.150317355203541
TCGA-53-A4EZ-01,-60.69677337094804,68.93748189692326,19.897098294490526,-27.93076190235974,22.841082599009493,24.97363587230758
TCGA-50-7109-01,-20.103558674872748,32.769959084038355,27.504419737853386,-15.085842680788009,-36.412713110349856,19.965387181137373
TCGA-38-6178-01,16.60872382510989,-9.325829431568746,-7.777504175365401,-25.38258453999167,-9.038207546426484,-31.591572195324595
TCGA-86-8056-01,58.826408192063504,12.828016552934443,-5.916577502899933,7.503831535539552,-17.40604906970796,-40.17287484435406
TCGA-55-1592-01,7.209461866261166,11.339258809738253,28.64147614599152,-15.328137616784673,-4.268441270508287,-24.077935611775604
TCGA-86-A4JF-01,-15.628342119928694,0.19929268011413967,-46.35467468332594,-20.796962426865292,5.14289131787075,17.70078956894812
TCGA-69-7974-01,28.228584340966897,-30.376786555303262,-11.839535940281479,-1.8675811363872064,4.111862981832807,-10.323501824903687
TCGA-86-A456-01,41.55150238678062,13.55784274274401,-29.164354683041346,-19.9301510763338,20.843737823395212,10.445238860768525
TCGA-97-8547-01,14.327989437180674,-23.023301970872733,-17.669910293230423,-28.16298921677143,34.98730663611103,1.7799503938756882
TCGA-55-1595-01,-1.5219102215413993,2.124439610148495,-10.158231744510642,-46.69024440117796,-23.370633097452416,8.757836263976602
TCGA-NJ-A4YP-01,-23.27576979547841,9.91484972859564,-4.243550171410049,29.061132297395623,0.5084602875830025,23.32614831221605
TCGA-05-4424-01,1.4391780060519404,-12.862788160193261,31.13953344777361,-11.327550798149035,-43.727184766934485,-26.48587827918667
TCGA-97-A4M7-01,87.12496634719818,-1.661253136687733,40.048446993913394,-3.1163824824048563,29.036345253011174,-2.6597930519575868
TCGA-44-2668-01,-45.35143926562089,-89.10740103728152,-18.10578312212662,8.523635488335435,-12.10104131746331,4.893636388419792
TCGA-NJ-A55A-01,111.78380557943737,-0.2995892798430711,49.15597431811783,2.056865716959598,35.632782846333924,-32.41100272305915
TCGA-05-5420-01,-39.788653620608784,-21.730350866804553,1.5863542260146999,70.24546254021178,-32.34801947251805,80.7327983488699
TCGA-55-1594-01,-48.4991434207349,19.245694383977934,60.56649140288082,-26.883374989926637,-32.18069206452163,3.0456593790581286
TCGA-44-2659-01,36.42484725400107,-9.033302102175238,-25.34333076347443,-35.5327960265556,-35.11174291359796,-9.420008255972311
TCGA-78-7162-01,52.364249887550486,35.83486530126537,-10.399125227700459,32.80181508461338,-55.3885749168857,-6.169639101888892
TCGA-38-4632-01,-34.61425748028904,-35.23769425470625,-50.79709973932729,9.470150468959526,22.081175911979848,51.773785215135014
TCGA-49-6761-01,-39.853806452795645,-31.77378479925474,-50.135237634636354,-28.219240035236293,7.50063109092513,21.42128165007727
TCGA-91-6828-01,6.624923389815363,21.65161384032079,8.341703014241174,-18.859272001687298,-74.24997033299103,18.402111891692165
TCGA-05-4418-01,-65.27183718352221,-20.26488525965365,12.983341977616304,79.92652661324475,9.088373779043572,24.740009897930683
TCGA-99-AA5R-01,81.8938533728235,-12.725827613304617,9.545176755673689,-21.165300525040696,-13.23257984606851,24.88182543206778
TCGA-55-7903-01,-16.904912018842182,0.019876500967285306,-64.00761187707364,-36.242757903838,8.294544287997976,-5.103465036066323
TCGA-55-A492-01,11.248553614896618,108.0356064397775,-35.52314738418339,32.83101611097558,30.90881729972512,49.59448182653006
TCGA-55-8616-01,37.89583528881059,20.20249236436479,-10.179198408673424,-21.88277749046218,49.83168899611748,-25.79641530746458
TCGA-86-7954-01,15.922403632133728,-9.890992222116328,30.451471874507234,-22.152710074926077,2.4794810800272282,-4.460414122016361
TCGA-05-4433-01,26.709287586111543,-2.207210902866272,2.5367472215847076,81.76003040166147,-18.68874401981377,-32.79055651130937
TCGA-69-8253-01,13.050353853053183,52.361487473129,-37.8064050509153,33.292565792250116,-11.994896162336742,11.894826409146415
TCGA-86-8674-01,-56.32569213225466,102.31688627341727,-34.328563527717634,30.299604137804486,14.658485562603694,17.470267911908365
TCGA-69-7765-01,10.131578115323498,-32.05072815713712,-21.82062534666507,-26.305523875498352,-43.69673008954154,-1.0194194085828079
TCGA-86-8672-01,-67.13799789214274,-20.236373856064528,-24.328894142489467,30.715896406033707,22.764617304900156,39.91262096680168
TCGA-MP-A4T6-01,43.46481444983201,49.4289000100804,-3.431587420308451,-49.830555431889415,64.49864871293576,-7.161573010876503
TCGA-97-7547-01,36.067344199800864,15.406464893091265,-21.528983882025823,6.674379005265561,-32.31185175604976,-29.034592105315657
TCGA-55-7911-01,-6.865808577335076,-13.166475369987536,-49.02581581896475,-21.473313973739778,0.8491585513492483,7.7429393841213665
TCGA-91-6835-01,59.45828265572064,-44.49365454634936,36.90330891149449,-28.482483772598233,-16.14662643189713,-19.141431988711258
TCGA-55-A48Z-01,-0.6448686244171518,-22.322597720850524,21.569830328135442,-58.382242995241306,29.994609723157787,6.635043428654193
TCGA-50-5045-01,40.82092037643119,-57.55283224234982,-0.6298903104562401,11.757842290434107,17.56841054288828,60.120429009636815
TCGA-55-7913-01,-79.71641742946115,49.71822611070356,13.288327723629127,-1.433545999792845,9.85946912095376,-3.559714991514671
TCGA-86-8075-01,9.309648248524665,-44.406300387303546,20.31490336086035,-25.474364554288016,-10.932483015127177,-26.64337152715809
TCGA-97-8177-01,51.31958831694802,-8.856521276385857,3.0520624802888294,-3.824946576877552,7.650781948666641,36.32132819791243
TCGA-55-7907-01,1.0704207944843804,-15.264134755739876,-4.2892551995023425,-11.192162862357124,17.732942853849565,-12.686587963369869
TCGA-44-8117-01,-25.73012245785384,-3.0969178213624393,-54.63831224525526,-51.93242607992632,-7.50141596795669,-18.054946333856932
TCGA-86-8668-01,71.60516874923827,-1.8380547937122376,-4.419934604475709,-24.67483178879302,-11.411232042726837,-25.201593919178755
TCGA-78-8660-01,-12.374383876804265,-10.90946457486858,-25.379369414357697,-0.0789719528976153,10.099722785429524,25.466648845741663
TCGA-05-4415-01,-112.6871678960096,-13.707351033640112,-7.26987301814322,42.03383303812686,-36.82462062817415,-38.761626876517205
TCGA-75-6212-01,45.41025810012345,3.99203771103764,-48.135529751473065,-1.9676850690099252,-28.116038041807474,10.625042049212764
TCGA-67-6215-01,7.889024935648493,32.988415122995924,-67.61840314346276,2.0869361617001334,-10.933863586068625,-17.825387805449672
TCGA-05-4430-01,41.64413839342293,-33.0455003668945,9.744826569638898,2.9511906648928763,3.6594613342003344,12.03676611172396
TCGA-49-6742-01,-34.49106587745844,37.38292237113352,38.804462984671616,77.30745936332856,15.406321709706633,-27.58308828914063
TCGA-38-4627-01,35.23396973543884,-67.33135188571399,22.409636300135176,22.29519287867966,-24.564228508403396,15.634673273537999
TCGA-69-7979-01,-25.550527072153592,6.486979832881499,3.5621134291956116,-36.64154397543362,48.98166358343254,-29.1777881930998
TCGA-69-7973-01,-19.915870123210716,41.86187140354757,46.326551015115065,-31.587412348292695,-49.54865384915844,23.26813146573134
TCGA-73-7499-01,4.690394400218213,-13.589505026231976,14.213489732595999,-5.397206979869044,55.0500258438535,30.870343138744705
TCGA-44-A47A-01,21.07484254966864,11.458972758726462,-25.079059805397947,-30.31321156547395,12.148072671359584,14.041497375672385
