cell_line,arc1,arc2,arc3,arc4,arc5,arc6,arc7
ACH-000570,112.30326494002868,89.53311482806508,69.52639125133705,82.65597076481387,49.63465684011549,149.90910097176732,121.76093226761927
ACH-000075,60.38422749451716,76.30223518514742,117.25925659521029,86.36064528173243,71.0506295339385,124.57335468830523,120.16139484956557
ACH-000376,71.30168487465708,89.7385255819029,96.5893808893173,80.68233689813354,44.48760690217822,110.9461584543359,110.45320982546615
ACH-000269,12.487922244194749,131.98983291499997,142.1987733311564,109.74328361097926,123.12364996540417,91.092266708689,142.31844835882526
ACH-001611,84.07766913733815,61.177108916894454,130.88258501230197,61.342037173097815,93.24232031732271,127.89255746566997,121.60951528345964
ACH-000098,42.37987308604618,102.82097427585589,109.31680163766647,70.5722917268339,82.59215067374426,95.34614995053472,133.9749193668948
ACH-000887,95.06884256179039,145.75853187326808,153.44675422251103,127.33539313965073,144.95336994098344,2.089246441122558,157.82905292344105
ACH-000368,92.04440672403278,67.61242609728382,111.47006251068107,59.797169451365086,68.84180059424676,135.45656704047502,85.75932149337429
ACH-000760,87.5286240191077,106.25621553910133,85.33541528994961,94.55643004901219,68.41793057861273,90.36490096462539,114.00163455218713
ACH-001610,96.69030570880103,59.13417080636245,116.69988582268981,70.90292628711984,44.537267927522485,124.38173319208877,103.45084793885017
ACH-002680,133.7911109068074,35.345227202064784,125.65294258836501,94.04920155875617,87.62650536189985,167.5299861229219,120.368492753691
ACH-000231,105.15157580729037,89.86335378232033,100.46319593908264,21.63280092178985,90.24257449710885,125.14316384437598,113.72459922568301
ACH-003438,91.37393396645115,63.554816325157546,90.74291153158535,86.93302284365014,96.69014388946064,122.802964839802,137.22488858493668
ACH-000738,61.60183327182756,111.51977724838032,79.62516999082926,86.08986979001527,95.15900941452416,87.38954394872171,118.41682438213323
ACH-002681,143.75933820276424,70.03638181845261,167.09042382280256,132.8205427919355,137.15622005977792,128.93250805466351,121.81809074620966
ACH-000819,90.40267924565607,119.78563541731776,112.48616994235849,87.32888021085896,52.917649045170066,106.56758104259283,132.91786874500175
ACH-000571,107.84616211123024,95.99762956058757,109.68591979458516,88.57011195242296,27.99965193528497,124.81591965588888,103.19445281735635
ACH-000102,100.9223654727514,103.45492253662461,115.56060198445768,7.295588320585112,94.43337756928244,124.7549679933098,134.47845142763805
ACH-000634,99.2969399196964,88.66342224431723,79.60101211490391,84.3251358899492,43.94985566370356,138.62411770842914,91.51470041734481
ACH-000137,115.69558188362072,107.85285024314683,115.71596949027615,49.39010802208168,81.22010986708919,118.30546394635199,151.6724181266522
ACH-000445,86.62510530219372,91.1430967927222,116.5075492814186,24.04853339653088,82.08453264996857,108.99981347884129,116.67805374757869
ACH-001609,102.12243343923012,39.97466534060695,142.54852498068394,100.89759111126067,81.77682286631605,133.43952662602675,121.57187985255965
ACH-001329,101.87307274438955,41.55746394989632,103.20927893499206,69.43320148784134,85.88492786812094,138.06781792835392,108.76910514122281
ACH-000027,135.85834227207047,105.7529604514998,51.71618554272967,95.3224899399103,90.78308975673426,150.1799882338466,93.62638899457683
ACH-000370,144.00411879993288,112.1700654746474,54.00515903218185,86.41936182802584,103.18791886964773,144.9081086036242,121.11839199843273
ACH-000289,139.40064298513647,122.81135326910868,138.4756769028413,132.93844508291272,121.62856141972544,157.39213715330706,6.051984485414957
ACH-000543,120.88214639418757,48.80136175201274,121.38820411900653,73.47714007620858,73.3665009937359,137.2853356385357,93.16579293661162
ACH-001623,90.33636904639413,71.65941118520412,105.78129801651546,83.22636473600866,73.44084743991495,147.65736350893488,136.3971911150029
ACH-001624,120.6774529615039,92.46586136312642,112.89612771714607,139.0671375859902,129.12992203660957,111.29318022258974,107.43593671497085
ACH-000244,120.13645327315132,76.41926130581886,121.8297332719511,83.76044594550915,79.30977232207539,171.58867014276228,94.65985045374579
ACH-000215,112.13426704277467,94.28428959732116,110.56658880729178,90.45932577448541,1.0768591043747958e-14,143.89938320523723,117.0881544743849
ACH-001608,92.02533598538757,64.18342916754355,126.86908805864212,95.42676207981748,85.32763416827977,87.32418120097977,124.79093789672476
ACH-000464,98.83914997849212,45.22646760215178,105.59742683652367,84.65297514347209,55.11847468334477,128.26983165827266,94.51975092999095
ACH-000622,140.73896413451183,136.18388501446964,14.292775490398142,124.46380298244499,116.84592960628305,157.7752356037117,144.00068885580743
ACH-000558,79.05021686273737,92.47157070476746,86.62897328784393,55.19444085562688,73.73509902582713,112.33909059121962,86.20694730977725
ACH-000631,72.9676707404661,107.36341384793823,115.73924162361834,91.00081518122165,89.66756331136702,123.81399610634197,68.6609771600019
