cell_line,S_arc1,S_arc2,w_MES,w_PN,score_Classical,score_Mesenchymal,score_Proneural
ACH-000570,0.18273832264541365,0.8172616773545863,0.8172616773545863,0.18273832264541365,0.15910928494482451,0.19196021818445294,0.20124220481769028
ACH-000075,0.5759704996079813,0.4240295003920187,0.4240295003920187,0.5759704996079813,0.03219589086925028,0.5233550592644822,-0.5721145401122288
ACH-000376,0.5182970731317348,0.4817029268682653,0.4817029268682653,0.5182970731317348,0.028092830418315135,0.5842153976976684,-0.24975453481004029
ACH-000269,0.8738766115556644,0.1261233884443356,0.1261233884443356,0.8738766115556644,-0.2968483933434908,-0.6497538357352342,-0.595117726225041
ACH-001611,0.48745823006669303,0.5125417699333069,0.5125417699333069,0.48745823006669303,-0.24704356376161826,0.3944187753609216,0.34216869557618673
ACH-000098,0.636505692445643,0.3634943075543571,0.3634943075543571,0.636505692445643,-0.12003742067898113,0.2977124383220798,-0.25864936201428484
ACH-000887,1.0,0.0,0.0,1.0,-0.5357277983236499,-0.32169553965399705,-0.25198859129861084
ACH-000368,0.3233111532495785,0.6766888467504215,0.6766888467504215,0.3233111532495785,0.13772885050593478,0.2682071720757969,-0.16859776764326995
ACH-000760,0.5387936630851193,0.4612063369148807,0.4612063369148807,0.5387936630851193,-0.7001754070534627,-0.7912641156239106,0.12679129278944695
ACH-001610,0.45197024931203716,0.5480297506879628,0.5480297506879628,0.45197024931203716,0.44885908225245646,0.13226416940314717,0.03013914029836558
ACH-002680,0.21258080953252273,0.7874191904674773,0.7874191904674773,0.21258080953252273,0.8973273358300287,0.35874924542677883,-0.13294938847407314
ACH-000231,0.24379234111853365,0.7562076588814663,0.7562076588814663,0.24379234111853365,0.11451588759491504,0.07276330797038454,0.03435753446479478
ACH-003438,0.4340784198776799,0.5659215801223201,0.5659215801223201,0.4340784198776799,-0.1849304046857008,0.22775631581563155,-0.14982715314314635
ACH-000738,0.5338776099728407,0.4661223900271592,0.4661223900271592,0.5338776099728407,-0.4686640701346093,-0.48145910878947096,0.6207439029495203
ACH-002681,0.6423750586571731,0.3576249413428268,0.3576249413428268,0.6423750586571731,-0.8641148417942255,-0.814144880290157,-0.4955788092285746
ACH-000819,0.5787511657907514,0.4212488342092487,0.4212488342092487,0.5787511657907514,-0.4685056872762976,0.24727653874960528,-0.06890662355187242
ACH-000571,0.4307878524259386,0.5692121475740614,0.5692121475740614,0.4307878524259386,-0.27246505576861285,0.851124203266604,-0.03478958335988545
ACH-000102,0.32757367163436263,0.6724263283656373,0.6724263283656373,0.32757367163436263,0.2962363934676923,0.4453123550619349,-0.2402127261186305
ACH-000634,0.26618301013769596,0.7338169898623041,0.7338169898623041,0.26618301013769596,0.16369654493794247,-0.030088058779497294,-0.2269260762407195
ACH-000137,0.3997519976966709,0.6002480023033291,0.6002480023033291,0.3997519976966709,-0.4252543983126619,0.28938841175261903,-0.38947171817165754
ACH-000445,0.432928347270847,0.5670716527291529,0.5670716527291529,0.432928347270847,-0.2282648294896986,0.09264298687245201,-0.15337019580098485
ACH-001609,0.602224651697986,0.39777534830201405,0.39777534830201405,0.602224651697986,0.1198862185705731,0.0038016343244431294,-0.003997049987605343
ACH-001329,0.29940127654133536,0.7005987234586647,0.7005987234586647,0.29940127654133536,0.43036139006686724,-0.3838845485674304,0.6292348655152887
ACH-000027,0.009498268444452498,0.9905017315555475,0.9905017315555475,0.009498268444452498,0.5568888001278707,0.794883084350259,-0.07258186746090584
ACH-000370,0.0,1.0,1.0,0.0,0.521048744869166,0.17658278743530836,0.0447824890067666
ACH-000289,0.2649132284057667,0.7350867715942333,0.7350867715942333,0.2649132284057667,-0.10182077464247181,0.035076649804309856,0.8108541964407395
ACH-000543,0.3099970452325494,0.6900029547674505,0.6900029547674505,0.3099970452325494,-0.4553789672327668,0.35574095712596376,-0.47302023273871824
ACH-001623,0.3810198779995702,0.6189801220004298,0.6189801220004298,0.3810198779995702,0.4688152165385399,-0.6596446019657538,0.5310678267650341
ACH-001624,0.5598701034797727,0.4401298965202274,0.4401298965202274,0.5598701034797727,-0.4218970482002651,-1.2081615206032992,0.0564941911943165
ACH-000244,0.14563920580898804,0.854360794191012,0.854360794191012,0.14563920580898804,1.0643241588168928,0.07809174255414096,0.05804852304016126
ACH-000215,0.3665579335752439,0.6334420664247561,0.6334420664247561,0.3665579335752439,0.22355134707482968,0.3727718902165372,-0.00020249401856381466
ACH-001608,0.7094231602834226,0.29057683971657755,0.29057683971657755,0.7094231602834226,-0.6999770509271342,-0.5182720926155965,-0.46183485582364164
ACH-000464,0.4109876225049352,0.5890123774950649,0.5890123774950649,0.4109876225049352,0.4147142249543064,-0.34897786403306474,-0.5363114543189297
ACH-000622,0.04727697311969779,0.9527230268803023,0.9527230268803023,0.04727697311969779,0.29401065672432064,0.5244529149374606,0.14354644733127056
