n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,12.19800912614799,12.122905672663508,12.19800912614799,12.122905672663508,0.9938429744798691
2,8.51231877728676,8.377528039786249,20.710327903434752,20.500433712449755,0.9898652405715804
3,7.133928074721542,6.52805926091144,27.844255978156294,27.028492973361196,0.9707026466990154
4,6.677194230228503,6.995988511320402,34.5214502083848,34.0244814846816,0.9856040600640094
5,4.781802261767674,4.696546971448205,39.30325247015247,38.72102845612981,0.9851863655694955
6,3.2556556975856625,2.8880237199801364,42.55890816773813,41.60905217610994,0.9776813825231487
7,2.94024955390225,2.617880455613759,45.49915772164038,44.2269326317237,0.9720384914002137
8,2.662568774782213,1.7572668497846597,48.161726496422595,45.984199481508355,0.9547871894692981
9,2.2893670730985365,1.7497089603279317,50.451093569521134,47.733908441836284,0.9461421956306935
10,1.8636303723762582,2.0514797404915046,52.31472394189739,49.785388182327786,0.9516515510551337
11,1.753925092892482,1.029727332721704,54.06864903478987,50.81511551504949,0.9398258773277851
12,1.5767452036645055,1.3121240572182713,55.64539423845438,52.12723957226776,0.9367754561840204
13,1.429997063787438,0.9071742097045387,57.07539130224182,53.0344137819723,0.9291993023951323
14,1.3561555534420269,1.0507884440411965,58.43154685568385,54.08520222601349,0.9256164715199976
15,1.2102130911155444,0.9072282175305467,59.64175994679939,54.99243044354404,0.9220457359507405
16,1.0904382583075884,0.9008158807529617,60.732198205106975,55.893246324296996,0.9203231230908571
17,1.0471389445459862,1.0682020046025364,61.77933714965296,56.961448328899536,0.9220145595106877
18,1.0161786656271388,1.0081214864746768,62.7955158152801,57.969569815374214,0.9231482385764306
19,0.9134872879191619,0.8840273343556942,63.70900310319926,58.85359714972991,0.9237877581351523
20,0.8928771009090498,0.6958360482921382,64.60188020410831,59.549433198022044,0.9217910223336664
