cell_line,arc1,arc2
ACH-000570,116.30302720338551,26.005159300415258
ACH-000075,60.34286922490086,81.9653172788999
ACH-000376,68.55026995619579,73.75791654760496
ACH-001611,72.9388897866572,69.36929671714356
ACH-000098,51.72821571251535,90.5799707912854
ACH-000887,0.0,142.30818650380075
ACH-000368,96.29836260840084,46.009823895399926
ACH-000760,65.63343741041761,76.67474909338316
ACH-003438,80.53527377057274,61.77291273322801
ACH-000738,66.33303201358231,75.97515449021844
ACH-002681,50.89295685102581,91.41522965277495
ACH-000819,59.94715766315841,82.36102884064235
ACH-000571,81.00354845719848,61.304638046602285
ACH-000102,95.6917713471231,46.616415156677675
ACH-000137,85.42020466031599,56.88798184348477
ACH-000445,80.69893851759883,61.60924798620193
ACH-001329,99.70093380228039,42.60725270152038
ACH-000027,140.9565045985159,1.3516819052848774
ACH-000289,104.60886538850895,37.69932111529182
ACH-000543,98.19306917521996,44.1151173285808
ACH-001623,88.08593864378251,54.22224786001825
ACH-001624,62.63408739989904,79.67409910390172
ACH-000215,90.14399172812715,52.16419477567362
ACH-001608,41.35146310007173,100.95672340372903
ACH-000622,135.5802861960076,6.7279003077931705
ACH-000631,77.38323070187562,64.92495580192514
ACH-000479,140.29456788907777,2.0136186147230006
ACH-000863,92.91009744280711,49.39808906099364
ACH-000283,54.42152776086577,87.886658742935
ACH-000623,141.3269719431167,0.9812145606840872
ACH-000609,65.67193676206253,76.63624974173824
ACH-000504,126.5364085267688,15.771777977031967
ACH-000152,70.6189245352676,71.68926196853316
ACH-000328,96.94408253567224,45.364103968128525
ACH-000595,87.75067282809712,54.557513675703646
ACH-001622,44.70313497374585,97.60505153005491
ACH-000455,63.38909653168891,78.91908997211185
ACH-000036,88.48366846290405,53.82451804089671
ACH-000673,67.03592260336858,75.2722639004322
ACH-000200,94.90503063640956,47.4031558673912
ACH-000323,57.869688246068385,84.43849825773238
