weight,signature,n,pearson_r,pearson_p,spearman_r,spearman_p
w_MES,score_Classical,54,0.6351959692373123,2.478068969180682e-07,0.6746331236897274,2.2245308212473692e-08
w_MES,score_Mesenchymal,54,0.5405635351889849,2.4479919594905697e-05,0.528797408042691,3.9473537770953344e-05
w_MES,score_Proneural,54,0.24440640896114757,0.07489477588457366,0.2722698684962836,0.046397963166796875
w_PN,score_Classical,54,-0.6351959692373123,2.478068969180682e-07,-0.6746331236897274,2.2245308212473692e-08
w_PN,score_Mesenchymal,54,-0.5405635351889849,2.4479919594905697e-05,-0.528797408042691,3.9473537770953344e-05
w_PN,score_Proneural,54,-0.24440640896114757,0.07489477588457366,-0.2722698684962836,0.046397963166796875
