,arc1,arc2,arc3,arc4
CDH1,6.8144441726147935,1.108147432757459,8.035907546989366,1.3375357255689684
AGR2,9.702100937482113,-1.8636009785579395,4.753401206544517,3.9771044876320656
EPCAM,8.88925978388356,1.599506805948037,9.089729555797037,3.3768817017472252
KRT19,11.899377052021912,2.3639359771544974,10.416958323061003,2.488444648150862
RAB25,8.353684608603755,-0.5226052151085714,7.65787693282049,3.828908979225164
TACSTD2,5.930703346744019,0.30734884671374196,10.11063030070431,4.501539185352832
S100P,6.384912028888826,-1.091530364367669,8.718414848320826,10.359799832843652
CEACAM6,4.331996538041496,-2.083231051282473,3.1110357060176144,2.1859441250580347
FXYD3,8.966712566019226,-1.707499246921027,8.738448598483917,6.250364138439774
SPINT2,9.876880518239291,2.7490361641992838,10.297474659996897,3.596562908572105
TMEM30B,4.514691578986396,-0.31738805580257967,5.0942066221794695,1.080815522313872
SCNN1A,5.544363353762724,0.06081976569315373,7.038816098928361,5.0013170623141
ST14,6.052579389892724,0.3519544245283681,6.95326048778564,1.8200531000435256
ESRP1,7.039913439485223,0.07892837407427589,7.127299807375544,3.642143588131758
S100A14,9.185177524576922,-1.9817146113072388,8.398741109295242,7.774675535403761
CLDN7,7.711065611849962,0.3627029923418412,8.579624570380789,2.7656991122504864
ERBB3,7.7382239110496105,1.2750574547863156,5.841228559304414,2.2961547726803735
RBM47,5.452405748080327,0.917946465866915,4.690201989540099,2.145828876255165
SPINT1,7.737263450762632,0.4529128354129668,7.980914750896368,3.5303022861271516
ELF3,7.29300550021423,1.011395384904997,8.98748963427126,2.5582112297676876
CLDN4,8.645597081551578,0.932697444171847,8.99337095120983,3.3879177067328246
PRSS8,7.11644412233337,-1.0440427591239896,6.903928552540466,4.523667249744496
SH3YL1,5.781476760639647,3.2112046370398115,5.800729243864484,4.657708067358261
EHF,5.288334418028643,0.7401769820695945,5.18383192283955,3.4479269214643007
LCN2,1.246508123569864,1.1324421758883676,9.405329775205608,5.494724752146896
JUP,7.919876550683285,2.430197554497585,7.361733252243156,3.127517058652776
VAMP8,8.09008445389966,2.245545175971131,8.09896068921788,4.399665150604976
KRT8,11.576076423590191,5.161507036369137,11.075787485752906,4.588788094684656
KRT7,8.282930831225803,3.7495071170373926,11.669386894295625,8.092261163538062
DSP,5.712413508898797,2.9935863120636874,6.543598338577405,2.1892517583707156
CDS1,4.527396402806196,0.705958697526381,4.6385880380615765,2.3676164741206494
ITGB4,4.394464125623173,2.3783277206611246,7.149731773173952,4.01252737112275
TMPRSS4,2.302847397776108,-0.9202395032311033,4.028392969529965,0.6265058412672335
LSR,6.881916673663311,3.1445106451870735,8.233962822053527,3.317097463351383
SORL1,3.812343940669937,0.2417717971230675,3.03736710753489,0.9003257591074558
GRHL2,5.453987760710673,-0.10421414111720084,4.970454397799587,1.009542031849239
PPL,3.851543728873465,1.07232124711773,5.108497162393302,2.3433806496038176
C1orf116,1.81750412412367,0.08801774875248558,4.120592110208232,2.4855680625000165
TSPAN1,6.377194450818896,-0.044700239815229637,6.20338063396588,5.479935004732693
MAP7,5.043973323855228,0.5423600703715983,4.592008390604574,2.430290642826945
SLPI,3.9708999390327975,1.234184819880297,10.064524372435102,9.311272677078744
TOX3,3.448491066371032,-0.6915470673445987,0.22136248303940875,1.0795748900044964
ARHGAP8,5.613484406173928,0.46423923859202443,4.651467261761896,1.9637962681321812
F11R,7.143658399867339,2.6483386786147105,7.737160388572428,2.7077477958638987
LAD1,5.503408537656347,-0.3906086590729396,6.164927558400405,4.288852273726017
GPX2,2.8500754138044275,-0.45323926605556597,2.5685372003138665,2.7529471802797936
CTSH,4.420493440200901,2.917817633170553,7.081517353455759,2.000085034407307
FA2H,3.141754197716468,-0.5757032236317161,2.3330732757489177,1.6138962328642363
KLF5,3.2266388253586875,3.256673626186402,5.829319589304937,4.52593865009498
AREG,3.635928227856154,2.273831775514833,4.848133540453311,3.8034245806223153
KRT18,10.824664773804027,5.205319743475523,10.32600143929287,7.071550943623271
SCEL,0.24404408595424032,-0.41984465922657777,2.1241947567931865,1.7145320159564812
CDH3,3.9349066379164253,2.3139526178484533,7.947137109423913,1.6699484838960745
MPZL2,4.11397429379876,-0.12104452674187627,6.659522272341262,2.39871979004673
OVOL2,3.636584233221513,0.1376870009392599,3.2545375001287318,1.8214721621811707
LLGL2,7.400980317795378,2.110431069859197,6.083775461119332,2.2655145042745977
ESRP2,6.7298368325592115,0.5357919376835287,5.459848731183252,1.6992409499498056
MYO5C,4.923486862701006,0.04151187097335196,3.5889098499473606,0.5997990946690921
DDR1,7.836111874971694,4.771896197367594,8.17085355762954,3.3908538581618384
VGLL1,1.7947664403172907,-0.4630945432384208,6.666435092434009,1.589680348009451
IRF6,4.744080908512866,0.1953200052948043,5.498621180727209,2.1205128804950015
SFN,4.904711925815066,2.6859869061463146,7.64420092579604,6.738995859897314
TSPAN13,8.715615654293238,2.4499053531323103,6.532446836205634,4.8083276579809455
KCNK1,4.6773461247602865,1.4554166810635412,5.3420513740584985,2.93204461470898
MYO1D,4.480044802640837,1.0320399339630328,4.450394700828538,1.334650842367627
PKP3,6.2052419022548175,3.276008924442551,5.862084991433054,3.629423576498773
ITGB6,2.7196286330101023,-0.5897100717032759,6.321941856333133,1.1050611224583333
LY75,0.6438192469790325,0.6022200670180435,2.3983092321275103,-0.3847631614304081
MAPK13,4.454982981473183,0.8972218684170121,4.405542891096874,0.4573614282451879
TTC39A,6.915064585185114,-0.24829357737538293,2.8834097304393667,0.5945867910396592
ELMO3,3.594866209462883,0.48770660907379737,4.274376987153607,1.7336309665980327
CEACAM1,1.6595978554161273,0.19467723049991092,3.3085874793811825,0.7479142722625833
