,group_a,group_b,n_a,n_b,median_a,median_b,ks_statistic,p_value,direction,n_Hybrid
KS-PN,PN,Hybrid,18,18,0.5546134294862616,0.5161919836202257,0.16666666666666666,0.9715397823325015,PN > Hybrid,18
KS-MES,MES,Hybrid,18,18,0.5136856592879595,0.5161919836202257,0.2222222222222222,0.7810478607409853,MES <= Hybrid,18
