cell_line,verhaak_subtype,score_Classical,score_Mesenchymal,score_Proneural,pnmes_score,category
ACH-000570,Proneural,0.1591092849448245,0.1919602181844529,0.2012422048176902,-0.009281986633237288,Hybrid
ACH-000075,Mesenchymal,0.0321958908692502,0.5233550592644822,-0.5721145401122288,1.095469599376711,MES
ACH-000376,Mesenchymal,0.0280928304183151,0.5842153976976684,-0.2497545348100402,0.8339699325077086,MES
ACH-000269,Classical,-0.2968483933434908,-0.6497538357352342,-0.595117726225041,-0.054636109510193154,Hybrid
ACH-001611,Mesenchymal,-0.2470435637616182,0.3944187753609216,0.3421686955761867,0.05225007978473495,Hybrid
ACH-000098,Mesenchymal,-0.1200374206789811,0.2977124383220798,-0.2586493620142848,0.5563618003363646,MES
ACH-000887,Proneural,-0.5357277983236499,-0.321695539653997,-0.2519885912986108,-0.06970694835538621,PN
ACH-000368,Mesenchymal,0.1377288505059347,0.2682071720757969,-0.1685977676432699,0.4368049397190668,MES
ACH-000760,Proneural,-0.7001754070534627,-0.7912641156239106,0.1267912927894469,-0.9180554084133575,PN
ACH-001610,Classical,0.4488590822524564,0.1322641694031471,0.0301391402983655,0.1021250291047816,Hybrid
ACH-002680,Classical,0.8973273358300287,0.3587492454267788,-0.1329493884740731,0.4916986339008519,MES
ACH-000231,Classical,0.114515887594915,0.0727633079703845,0.0343575344647947,0.038405773505589796,Hybrid
ACH-003438,Mesenchymal,-0.1849304046857008,0.2277563158156315,-0.1498271531431463,0.3775834689587778,MES
ACH-000738,Proneural,-0.4686640701346093,-0.4814591087894709,0.6207439029495203,-1.1022030117389912,PN
ACH-002681,Proneural,-0.8641148417942255,-0.814144880290157,-0.4955788092285746,-0.31856607106158236,PN
ACH-000819,Mesenchymal,-0.4685056872762976,0.2472765387496052,-0.0689066235518724,0.3161831623014776,Hybrid
ACH-000571,Mesenchymal,-0.2724650557686128,0.851124203266604,-0.0347895833598854,0.8859137866264893,MES
ACH-000102,Mesenchymal,0.2962363934676923,0.4453123550619349,-0.2402127261186305,0.6855250811805654,MES
ACH-000634,Classical,0.1636965449379424,-0.0300880587794972,-0.2269260762407195,0.19683801746122231,Hybrid
ACH-000137,Mesenchymal,-0.4252543983126619,0.289388411752619,-0.3894717181716575,0.6788601299242765,MES
ACH-000445,Mesenchymal,-0.2282648294896986,0.092642986872452,-0.1533701958009848,0.2460131826734368,Hybrid
ACH-001609,Classical,0.1198862185705731,0.0038016343244431,-0.0039970499876053,0.0077986843120484,Hybrid
ACH-001329,Proneural,0.4303613900668672,-0.3838845485674304,0.6292348655152887,-1.013119414082719,PN
ACH-000027,Mesenchymal,0.5568888001278707,0.794883084350259,-0.0725818674609058,0.8674649518111648,MES
ACH-000370,Classical,0.521048744869166,0.1765827874353083,0.0447824890067666,0.1318002984285417,Hybrid
ACH-000289,Proneural,-0.1018207746424718,0.0350766498043098,0.8108541964407395,-0.7757775466364297,PN
ACH-000543,Mesenchymal,-0.4553789672327668,0.3557409571259637,-0.4730202327387182,0.8287611898646818,MES
ACH-001623,Proneural,0.4688152165385399,-0.6596446019657538,0.5310678267650341,-1.1907124287307878,PN
ACH-001624,Proneural,-0.4218970482002651,-1.2081615206032992,0.0564941911943165,-1.2646557117976156,PN
