n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,37.44462985423309,37.43537803472385,37.44462985423309,37.43537803472385,0.999752919990256
2,19.482893292088104,19.4769322298333,56.92752314632119,56.91231026455715,0.99973276754506
3,9.594655736268445,9.588576173107539,66.52217888258964,66.50088643766469,0.9996799196105327
4,5.805125298098493,5.8033251484765875,72.32730418068813,72.30421158614128,0.999680720928169
5,3.2134294578027753,3.210043884818443,75.5407336384909,75.51425547095972,0.9996494849036297
6,3.0012401128794766,3.0015199554678533,78.54197375137038,78.51577542642758,0.9996664417292882
7,2.351087322745471,2.336979714942076,80.89306107411585,80.85275514136966,0.9995017380698542
8,1.689306969161225,1.6997096040725055,82.58236804327707,82.55246474544217,0.9996378973073377
9,1.6206829588320089,1.6154179299416853,84.20305100210908,84.16788267538385,0.9995823390446464
10,1.4419411704487295,1.4416896727680997,85.6449921725578,85.60957234815196,0.9995864343786209
11,1.349830531024088,1.3509743313838882,86.99482270358189,86.96054667953584,0.9996059992654639
12,1.047355383308567,1.0386760589892072,88.04217808689046,87.99922273852505,0.9995121048876935
13,1.0073983687083499,1.0092510954257858,89.04957645559881,89.00847383395083,0.9995384299029375
14,0.7998313886796855,0.7899456773845278,89.8494078442785,89.79841951133535,0.9994325134225535
15,0.743743493736928,0.7439910161965049,90.59315133801543,90.54241052753186,0.9994399045652551
16,0.6691911437232222,0.6535122611481181,91.26234248173866,91.19592278867998,0.9992722113935223
17,0.6223722974813631,0.6255790519042286,91.88471477922002,91.8215018405842,0.9993120407590348
18,0.5678750372376016,0.5561716960519397,92.45258981645762,92.37767353663614,0.9991896789482024
19,0.5535818774866502,0.5557654978565516,93.00617169394427,92.9334390344927,0.9992179802896208
20,0.5202136314501667,0.5303912911921239,93.52638532539443,93.46383032568481,0.9993311513163694
