,PC1,PC2,PC3,PC4,PC5,PC6
TCGA-DJ-A4V5-01,60.09381929928414,23.407180594374044,35.86491174951948,18.2830336768219,-21.68922416042155,16.515684978296093
TCGA-L6-A4EQ-01,10.601327793657722,9.094665194782612,-68.09411264104776,21.445670214987143,-0.578597055878276,8.891196132223747
TCGA-FE-A3PB-01,66.31987236050745,43.2662184436536,14.706544175876367,-11.89555429784462,-2.780898825073248,-14.568129946246646
TCGA-E8-A2EA-01,60.31138613735605,47.146695214110785,23.765456001370104,-38.403726439356454,-7.425426560423619,4.840502700356805
TCGA-ET-A3DS-01,-97.87892851277904,-17.700445298618337,58.513312448202306,-28.377182069758785,-1.6776157725638587,-3.049829610727524
TCGA-E8-A432-01,6.945716568014213,26.796049173454684,22.437708387628913,34.07631645888283,16.982825322450456,-12.76667441812044
TCGA-ET-A39M-01,47.140461541742845,89.16850409798703,-25.040346305286736,-2.2225209345678203,24.122368387015356,-2.5160939439407697
TCGA-EL-A3T8-01,20.966202791709893,-10.183952580979717,-4.189333752671807,49.360783921139074,-10.304834492786293,3.0091444611407745
TCGA-ET-A25K-01,20.66445338617187,-21.996982352275328,-10.19390985762517,52.725385915463974,-24.19629257152462,-18.994110325689437
TCGA-DJ-A13O-01,17.756921918472226,51.92478758999156,23.605572930095214,-20.228763978613813,-22.543045823771152,5.026597345850686
TCGA-DJ-A2PO-01,30.48158885129815,-16.143350444049602,11.840538472917098,9.671794321502817,44.96400789570056,1.307632512296499
TCGA-DJ-A13V-01,30.28660138036955,-10.428548926697816,-26.221597523665498,35.80933370886592,2.9550716855879884,-16.211169547817544
TCGA-EM-A2CT-01,-83.57571154708725,-39.85221922388018,9.411227321542562,-38.52991911425837,12.921731470192542,-17.53301182759848
TCGA-DJ-A3VJ-01,48.73500330453653,12.25230360332713,5.851707283126235,19.413935358009006,-28.589962216435183,4.81712313223404
TCGA-EL-A4K4-01,65.71857797394424,-27.526693354485648,3.595021746508478,-23.220805016285833,-29.439242628006514,-15.412411560899727
TCGA-EL-A3ZP-01,55.64804769788301,47.69005680288939,24.666943543951433,16.977562812026523,-14.448456201675466,33.79576131040469
TCGA-DO-A1K0-01,16.919775686446968,-65.5917631089213,-16.113761347721525,9.95982941195478,14.01021183849114,0.3525749932927133
TCGA-EM-A22N-01,-95.27049624134796,-11.630346968958202,57.00010366835718,-43.75321278372418,12.619354898932777,-27.411289612543875
TCGA-IM-A3U3-01,40.66343874825438,-15.892811813302693,-19.157732001357527,-7.841793476682919,26.136066589531705,-5.127220249977852
TCGA-IM-A3U2-01,57.16032304070487,-0.23475608196871806,-40.6544786710308,-20.28672004149729,-33.89198931601546,-16.027704497301627
TCGA-EL-A3ZM-01,71.52383667359328,31.73936461784108,-55.58912664905963,-62.225174613545455,-30.280619704540587,-11.742329748984078
TCGA-ET-A3DW-01,32.807960003345094,-45.268328231673166,-43.995345994289785,-43.87034896434984,12.830101836407769,38.14942229652432
