cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
THCA,Thyroid,3,505,20530,0.9740533384647522,0.45801034575388266,0.8,100,p < 0.001
THCA,Thyroid,4,505,20530,0.9555186887797694,0.21062787282825102,0.07,100,p < 0.001
THCA,Thyroid,5,505,20530,0.9005772470493948,0.07214247560189528,0.25,100,p < 0.001
