cell_line,arc1,arc2,arc3,arc4,arc5,arc6
ACH-000570,22.113539829357325,14.37633333636761,14.080477548792983,15.47494562182445,15.835465471513874,16.141673649442893
ACH-000075,25.565263904170106,13.02291397643941,10.98500226228936,22.766991793183937,18.11847280995339,15.72032454356001
ACH-000376,21.673045999568725,8.473034766885217,9.351185882740516,17.953796095281348,15.416342464170757,19.40878750335111
ACH-000269,23.82205723227977,8.89287052952523,9.977439436185412,18.503665584833918,20.159828172483557,24.877085590313413
ACH-001611,20.821884134106465,14.817946469809188,23.330687429642833,26.47458189982917,16.492334359737864,11.113714611704413
ACH-000098,23.31954041422671,12.879183389285652,4.6880189939861765,18.06033329997002,18.794987770947753,22.625873817623333
ACH-000887,23.615023477792853,17.819677048328256,3.847540024334312,22.114111775497264,25.35623263960244,27.062531544770977
ACH-000368,23.13879140009847,14.4872999856247,20.540830748356168,29.117261868269974,15.929788806954674,8.9737618225234
ACH-000760,21.02323173074022,22.468736267306852,15.712303846616166,12.517975779013113,17.427268155558753,22.2188296099728
ACH-001610,18.555087651516335,20.271131718016,22.772177371671347,27.974374730942277,21.206539351345565,8.07311700919539
ACH-002680,25.21417389538491,23.197132098693434,25.17155408095925,30.505393003909067,22.409319869484982,3.0330919593836168
ACH-000231,19.562746315716243,14.310471659102708,18.195640404867653,25.891463797958657,12.545116051060182,10.873013097882277
ACH-003438,27.14514047749956,16.72578041052572,14.397258848787294,22.89546901721294,16.28496714198852,15.97185391940483
ACH-000738,21.11442442418456,13.534801892439033,12.62649977019793,11.244249810381463,17.857139307179402,24.93183843303603
ACH-002681,24.33957695484717,17.51743643317475,17.793451226966337,30.294401208718533,20.644540801899694,9.38046383185647
ACH-000819,18.608788741189482,12.70494171083564,8.793114642108783,18.67412521309575,18.689902728588166,17.53781624360102
ACH-000571,19.208507409886913,10.733826798940024,13.517712661007128,21.78976706853722,13.553456531083127,12.918648168337223
ACH-000102,22.948231879407164,14.471872386458326,17.24177082786622,23.547959489138403,10.158890399004699,14.007422115554212
ACH-000634,17.216312452032884,9.354542915777056,16.364553569264412,20.96705160886432,13.355781967419952,15.303586310864873
ACH-000137,22.688910044922448,16.905276120322,10.774928035934884,21.004347483930548,18.086548697827165,15.025579410801909
ACH-000445,21.996555014721604,9.416780582054681,16.996601765872086,26.215976812993855,14.020545870378054,13.668205267822634
ACH-001609,24.019882736119413,16.67932832493131,20.25437489955608,29.09977297943327,20.068071482389474,5.4879116356177
ACH-001329,22.29850039278346,16.250394236107013,20.253944240375613,22.932419790837415,12.419987522450784,9.44518949867919
ACH-000027,18.98256770511749,19.456650296053436,20.4129846294893,15.251885648796305,7.592957504962549,21.864884882479537
ACH-000370,22.107405649647184,17.835471915664247,20.38078319572817,11.04126071228135,10.398244268700289,25.10052442749202
ACH-000289,4.39625888431457e-15,24.309672935901116,23.30080187556603,26.06506334721598,22.099285250920474,24.611420297777865
ACH-000543,24.495891488308835,18.639536672118123,22.875785697258376,31.77657294323677,19.150880042901132,5.908313880976234
ACH-001623,22.265427829843276,7.426077973987361,16.092832874184555,20.274020826646137,12.127600750960429,16.257494212679944
