archetype,PC1,PC2,PC3,PC4
0,129.3248836271541,17.890666608496737,30.54015823899681,-6.445262891340596
1,-60.833822467900475,-97.34070996933171,12.54718337596089,53.49820350070572
2,-120.14878042032163,-57.95128033897692,42.21427332606936,-119.12293556097407
3,-23.074630738976957,-36.86313042002886,-190.31408953480295,-9.00653609010459
4,-54.46804589267555,145.07567262570655,-3.570401663816048,28.4190859219064
