,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
TCGA-DK-AA6S-01,0.0,0.5881726264037282,0.09775223851127635,0.09246173532309057,0.22161339976190497
TCGA-DK-A6B2-01,0.23845976142700262,0.6612144881517815,0.05002178906044448,0.0503039613607713,0.0
TCGA-GU-A763-01,0.875726886515056,0.0,0.1242731134849439,0.0,0.0
TCGA-XF-A9T4-01,0.108368186150173,0.27774004266703467,0.006365124106057542,0.0,0.6075266470767348
TCGA-FD-A5C1-01,0.0,0.08740084478661864,0.5123405219830118,0.0,0.4002586332303695
TCGA-GU-A42Q-01,0.0,0.05164797766893922,0.0,0.23746167296685725,0.7108903493642034
TCGA-DK-A3IL-01,0.4881135350142525,0.35933036258965156,0.04135979394560067,0.11119630845049532,0.0
TCGA-XF-AAMH-01,0.32915996052077284,0.0,0.36724227630371126,0.2595314320137809,0.04406633116173504
TCGA-FT-A61P-01,0.0036459662477000194,0.40755515103482337,0.31963045695326614,0.0,0.2691684257642104
TCGA-G2-A2EF-01,0.0,0.0,0.2740447400670221,0.1999466345735248,0.5260086253594531
TCGA-XF-A9T2-01,0.09990429032501975,0.14351496180416548,0.26543511396663805,0.39032768465267076,0.10081794925150597
TCGA-C4-A0F7-01,0.06064513830471528,0.22140267828673438,0.0,0.28368856340853804,0.4342636200000123
TCGA-G2-A2EK-01,0.47671609107543966,0.5232839089245603,0.0,0.0,0.0
TCGA-FD-A6TB-01,0.0,0.7475685555979186,0.13204960378552788,0.07780810249530881,0.04257373812124477
TCGA-UY-A9PD-01,0.44297635534371105,0.1730235301189329,0.1753510628206223,0.2086490517167337,0.0
TCGA-DK-AA6P-01,0.6448412973850788,0.0008079244353523969,0.0,0.3543507781795688,0.0
TCGA-GV-A3QK-01,0.7217469288365752,0.278074905516554,0.0001781656468708091,0.0,0.0
TCGA-GC-A3I6-01,0.10632366209357329,0.30588575601328716,0.0,0.0,0.5877905818931395
TCGA-UY-A8OC-01,0.03151962523600563,0.1975483101535311,0.3099829311687361,0.0,0.4609491334417272
TCGA-FD-A3B7-01,0.0,0.3468580262227361,0.2758826280267412,0.03843454022324817,0.3388248055272744
TCGA-ZF-A9R1-01,0.472363007394267,0.3923637484550894,0.0,0.015410973996375065,0.11986227015426847
TCGA-ZF-A9RF-01,0.03535387057066948,0.0,0.465503846600789,0.2617319138482447,0.23741036898029688
TCGA-4Z-AA7Q-01,0.16584818518459388,0.4101373068913419,0.09192950393304496,0.02532354170543928,0.30676146228557993
TCGA-E7-A519-01,0.567348796004116,0.0,0.432651203995884,0.0,0.0
TCGA-G2-A3VY-01,0.6105272540682438,0.0,0.0,0.3894727459317563,0.0
TCGA-C4-A0EZ-01,0.11793949327872975,0.0,0.12091265695659663,0.7454057177505712,0.015742132014102548
TCGA-XF-A9SY-01,0.0,0.049767893664330036,0.3924253810184611,0.06678854406434889,0.49101818125286
TCGA-FD-A43U-01,0.2423894283929819,0.2107453925578368,0.5468651790491812,0.0,0.0
TCGA-4Z-AA7S-01,0.7560850783222763,0.13976492844088972,0.0,0.05241180975017147,0.05173818348666255
TCGA-DK-AA75-01,0.5924419704929855,0.0,0.055063489646586763,0.3524945398604278,0.0
TCGA-XF-AAML-01,0.6112064501592916,0.0,0.046068374254756926,0.2909753164867365,0.05174985909921486
TCGA-DK-A6B5-01,0.26163979397303255,0.24130728783206482,0.08788323531361648,0.025241046209464373,0.3839286366718217
TCGA-KQ-A41R-01,0.7246178090846602,0.0,0.1275566816083803,0.14782550930695948,0.0
TCGA-4Z-AA87-01,0.4803147891470858,0.0,0.19780496999261765,0.3218802408602966,0.0
TCGA-FD-A6TE-01,0.5451432090151853,0.03374728609269657,0.006281056588363663,0.20497033134863066,0.2098581169551238
TCGA-YC-A9TC-01,0.14707731911138439,0.0,0.2503069002968685,0.46046301217691044,0.1421527684148367
TCGA-BT-A2LA-01,0.0,0.0,0.02066714497012562,0.9793328550298743,0.0
TCGA-FD-A3NA-01,0.35429968642638193,0.347949301728542,0.061541470251166006,0.0,0.23620954159391
TCGA-BT-A42F-01,0.040320635253413326,0.0,0.38420773608004244,0.0,0.5754716286665443
TCGA-ZF-AA5P-01,0.009435915773620225,0.7933849019389387,0.11576444286838686,0.0814147394190541,0.0
TCGA-2F-A9KW-01,0.23302809045999143,0.22183429251041012,0.17522570046059582,0.34469615160012046,0.025215764968882115
TCGA-4Z-AA80-01,0.6325315768166537,0.0,0.0,0.3674684231833463,0.0
TCGA-XF-A8HD-01,0.24818449424576403,0.09546684063700059,0.40777399644477236,0.04520677747488545,0.20336789119757767
TCGA-2F-A9KT-01,0.38947508670859843,0.04525537736093117,0.09171036587254755,0.12725322739858252,0.3463059426593403
TCGA-E7-A677-01,0.4890252668933929,0.39814532220067134,0.0,0.0,0.11282941090593579
TCGA-SY-A9G0-01,0.0,0.9720558731298082,0.0,0.027944126870191894,0.0
TCGA-YF-AA3M-01,0.41484411985544734,0.0,0.14366832446082992,0.07472393658871344,0.36676361909500943
TCGA-CU-A0YR-01,0.2722789737606987,0.3551356263307488,0.10783231991420317,0.07999988746832495,0.18475319252602432
TCGA-K4-A83P-01,0.0,0.8679810917460529,0.10670657575758484,0.02531233249636242,0.0
TCGA-ZF-A9RL-01,0.9040124959916308,0.0,0.0,0.0959875040083692,0.0
TCGA-FD-A43S-01,0.1506902778637613,0.4530170463737655,0.3962926757624732,0.0,0.0
TCGA-GV-A3QH-01,0.5850970963426476,0.0,0.0,0.4149029036573525,0.0
TCGA-4Z-AA84-01,0.272530039765835,0.0,0.2171315355620947,0.28082928911924904,0.2295091355528213
TCGA-K4-A4AC-01,0.024172415161904517,0.0,0.2662197605300321,0.0,0.7096078243080632
TCGA-K4-A6MB-01,0.36467266503331225,0.4121506182821307,0.0,0.15073809959753146,0.07243861708702555
TCGA-S5-A6DX-01,0.35037767123593994,0.11970634865236959,0.5299159801116903,0.0,0.0
TCGA-GU-A766-01,0.0,0.093195348078828,0.49688297005452,0.0,0.4099216818666519
TCGA-HQ-A5ND-01,0.25736825432104726,0.0002561482485023505,0.0,0.0863217817307364,0.656053815699714
TCGA-E7-A7XN-01,0.10007325401568529,0.0,0.16633164092120434,0.0,0.7335951050631104
TCGA-XF-AAMW-01,0.0,0.3219452155663326,0.03362641874816366,0.0,0.6444283656855038
TCGA-GC-A4ZW-01,0.43524184755206907,0.0,0.039252442053749795,0.3268942006356961,0.19861150975848513
TCGA-G2-AA3B-01,0.8030920225670474,0.0,0.09331246512433684,0.10359551230861569,0.0
TCGA-DK-A2HX-01,0.06099217552403935,0.845586237050127,0.0,0.026176055836457407,0.06724553158937618
TCGA-GC-A3RB-01,0.4371469887483174,0.0010476579198704465,0.0055205084598854105,0.2661314464246617,0.290153398447265
TCGA-GV-A40E-01,0.09450796051273339,0.0,0.33053574417027065,0.12066966117141524,0.4542866341455806
