,PC1,PC2,PC3,PC4,PC5,PC6
TCGA-DK-AA6S-01,-62.64343435810833,-34.13907578984833,-7.126965728606759,25.566987877830698,-24.506472212125672,10.484395365276127
TCGA-DK-A6B2-01,-13.730881426080648,-70.67744142692244,7.639783351903552,25.0424802188124,41.628934334505864,9.38188491663084
TCGA-GU-A763-01,109.25829490185384,31.910722855494715,42.45075655535539,-59.35845808964794,-61.03361658334911,-22.94140555444368
TCGA-XF-A9T4-01,-39.704759339759455,66.04036802201256,41.74706390516163,38.789217140658316,4.831990963744493,-3.797209995109223
TCGA-FD-A5C1-01,-95.69939592696858,22.860342181413802,50.79993327063044,-36.814003470398895,15.254026725359179,26.237834287729168
TCGA-GU-A42Q-01,-43.124866962982004,91.2715458190024,-52.930279881856734,44.21167521959969,-60.85161869617826,25.619071700757075
TCGA-DK-A3IL-01,39.24635740963421,-44.11716854647807,-0.932338613396138,5.497900936319731,8.577048969523508,44.1615607444332
TCGA-XF-AAMH-01,-5.983211191221113,-9.97960866196058,-28.68215939269742,-61.98894793592368,-53.928271730786356,73.81669274468241
TCGA-FT-A61P-01,-77.70012801381175,-18.72302657378019,21.658750283479886,-7.786000131783725,26.48648629994597,-8.393920238183536
TCGA-G2-A2EF-01,-84.95507477394392,59.90605036497978,-37.41051103994615,-23.373414796570756,4.270260592930218,-52.28639690280718
TCGA-XF-A9T2-01,-42.200184332567574,-27.327269510266937,-58.587865472739836,-25.2358647165492,-52.8769875063282,15.213160612715612
TCGA-C4-A0F7-01,-25.878218915774294,34.857431711322846,-58.86389311923521,55.75312722771186,-41.19154962961476,20.101200698879236
TCGA-G2-A2EK-01,44.78877828156904,-53.697868217535685,23.858033975158158,51.5320180949469,-13.042631388164812,-13.646047105409105
TCGA-FD-A6TB-01,-68.4626182205044,-76.99257322836186,-0.8130654275714507,25.69395574214084,-11.832990902481082,-8.355704913792646
TCGA-UY-A9PD-01,32.26033110777161,-50.24393834893665,-18.529490731669007,-25.963267340235735,32.57181121925446,41.87926008496006
TCGA-DK-AA6P-01,91.4220586755967,-15.448366613885696,-55.77922537641351,15.229791784972742,-16.720989551643797,-15.85906409182023
TCGA-GV-A3QK-01,76.23284226100286,-14.42788844414206,33.636138025780404,11.59347707518673,28.950657157129875,-45.61563995734908
TCGA-GC-A3I6-01,-35.38177731425139,61.08898768398592,30.65719581930493,51.911048617272954,1.7526327870957734,-2.1024452321658096
TCGA-UY-A8OC-01,-70.92933261294583,30.965968706569107,22.790370233931764,-11.718058586551457,-28.518196969786864,23.66546154899875
