cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
BLCA,Bladder,3,407,20530,0.9804556919466919,0.5068613768830176,0.01,100,p = 0.001
BLCA,Bladder,4,407,20530,0.9500889794251629,0.23319316054431063,0.12,100,p = 0.001
BLCA,Bladder,5,407,20530,0.9198617706770766,0.09709157590340511,0.05,100,p = 0.001
