,source
TCGA-27-2521-01,tumor
TCGA-14-0871-01,tumor
TCGA-32-2638-01,tumor
TCGA-28-2510-01,tumor
TCGA-26-1442-01,tumor
TCGA-06-5410-01,tumor
TCGA-41-5651-01,tumor
TCGA-06-2564-01,tumor
TCGA-06-0882-01,tumor
TCGA-12-0619-01,tumor
TCGA-14-0781-01,tumor
TCGA-41-2571-01,tumor
TCGA-06-0129-01,tumor
TCGA-19-2625-01,tumor
TCGA-06-2565-01,tumor
TCGA-02-2485-01,tumor
TCGA-06-0210-01,tumor
TCGA-02-0047-01,tumor
TCGA-06-0750-01,tumor
TCGA-32-1982-01,tumor
