,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ACH-000570,-4.537322798605206,-1.5270203106329059,0.07489606631623362,1.4475232238301123,-0.5474264962449663,0.18113193907892727,2.1002120607473707,2.564401869621263,3.885435697892652,4.1856684039811,-0.9855992313491415,-4.756554977785127,-3.4166257908117794,-0.39380847533733526,2.9814397784328768,2.487634429521922,0.7144398033293523,-3.9356237984182068,-1.920353931998585,-4.54580767001058
ACH-000075,0.8204529461520451,0.2605071951550934,-7.656024548013364,-1.0587062999799748,-2.3001938598322536,1.0545404454083185,-0.7441601304369272,-0.8827329947903914,2.300749849837074,5.351670497664174,-5.136444592516208,-2.3485764547289056,-3.020927851330907,-0.8522274993334646,2.895193296301112,-0.5748391308105759,0.7482347450319176,1.8374150380185053,-1.7478014034372182,3.2980343380560404
ACH-000376,-3.5747322516958007,-0.5083620554064024,-4.712366831810741,-1.4628383184590765,-4.047255053476163,-2.161704451804448,-0.8786222712512362,-0.4812776234054253,-3.034920297636538,-1.2971844253593368,0.5040409022105085,-1.2478183472542748,-4.392976530703633,2.7026764064651374,0.328252502651489,-0.9389066952495849,-1.8717845261458006,0.18168615579169436,-1.3315499214727053,-0.07378300445500731
ACH-000269,-7.182126014208593,1.2651323774998788,-2.8517312984455114,-2.233814638823436,-5.592763812861307,-3.8248530078579357,-4.802494313994209,0.20167591616925173,1.731967515541581,-5.901432915131892,-2.9033939790219025,-0.6683496127403074,6.3698655731660985,0.5679465428762066,0.4556189610900296,1.6755554446501073,-0.736733302057889,3.493165210450209,-2.1994306304957,3.5221141983643074
ACH-001611,4.553709092182298,-0.6627368768638009,6.4002486507266285,0.6391336133848082,-2.186948078332618,3.180405622329278,1.4864407034934655,-2.4541257004673898,-3.0082944120842634,2.3603069500424274,-0.20164655712822188,-0.028542744842212028,3.5354695188707956,0.11830522692244398,-3.805748840120066,1.0790994677794994,0.7620358822018461,0.9822523573975662,-1.7067689638288932,1.5738921135566104
ACH-000098,-6.350666957847638,0.4304109111368647,-7.70567541503379,-0.37760641579476645,-1.280381997507745,-3.2235709309320364,-1.6612038061854466,2.046738503395774,2.5816181477633626,-0.020896162136485288,-1.912592248409724,0.8840208358269886,-2.3211291683625146,-0.570138980633899,-0.8817128487089054,-2.8522301300329156,-1.3542947007527883,-2.3145899377646724,-2.2125064731441473,2.0871818845830683
ACH-000887,-7.021123643838293,0.2536292764953923,-6.170805730379284,-5.561849790860758,-0.6348091377486735,-9.077421985514007,-3.738208212582589,0.43238958568718844,6.923819359636973,-4.061929196880632,-1.119856947146277,1.4626810116962479,1.5982616928809474,-2.5823103751103766,-2.4467102481993286,-3.277291921245592,-2.3746466275818663,0.016386160781113924,4.857872743696468,2.5067956383492964
ACH-000368,8.858985506500758,-0.7255040749563295,1.0899475008601127,2.632789354070567,-1.9954459526297328,0.6313994312795445,-0.9403410494784852,-0.13365590452010112,0.09857329838998909,-0.38936237610125535,-1.556863846463069,2.231705887968781,1.5430628362760705,0.9524744426225773,3.4623158642174894,-0.60989605525949,-0.44606593405744177,-1.2657994290931451,-2.525396919215056,-1.789561026133615
ACH-000760,-8.293546065180044,2.3298200851609523,1.6210241756929487,-3.2370225548443146,5.930977808787328,1.6813264661691385,0.35118595617926796,7.098018984376149,1.5658754922521874,-2.1106904738303993,0.039136427434202314,2.8146381515952394,-4.135879446766921,7.468587159753522,4.176940911462786,-4.423568726200862,1.197854253668986,4.753466967532036,-1.3904969511226988,0.00171378272954597
ACH-001610,6.762408790955741,2.976360360776297,7.5892772884014175,-2.22984049319518,1.811660818490792,0.638443213837349,2.6707178372556437,2.2925335838724528,0.1981562067386213,1.04418300258691,0.0787619713552786,-0.8894878961738447,4.370192246949221,-3.7065904518752846,1.8951550559748538,-1.0381129821574937,2.674918961069303,-4.227673243006264,4.257141356808165,-0.34521477208858026
ACH-002680,10.812561665597215,-2.6869264162952784,3.147030260849536,-3.243018535419243,3.305484687607084,2.800589177361558,5.585436107893093,1.4533349232235375,-1.1392546401840442,2.3367275548444266,-0.885573297732149,-6.277356924912714,-0.889542550584688,1.306917616531983,0.4703285811576076,1.3929292549319974,-2.7892738758987363,2.557216066099154,0.9236848845369119,2.7013053994053355
ACH-000231,5.776918959270755,-1.906420924200144,1.6306626967734301,1.0956695212690226,1.853736754271672,0.962233674342236,-3.1657125182345105,-0.3049397780807023,-0.8011046399259202,-0.5720326079034515,-0.0181585338734537,3.520152906659298,-0.02187314177166662,0.8432763481021324,-1.8811822825559819,-2.378824557519533,-0.04780285095912928,-2.347001985970761,0.6502217561919555,-1.9603829579040515
ACH-003438,2.7103534654237604,-0.47634882071073925,-9.631045142977028,1.007243128213691,0.6713628711322135,2.9514184812531954,1.823984134402161,6.415576636494157,-0.3330345301040963,-3.496518186676221,1.4216056864325712,1.3132547055633357,-0.49063999574143563,-1.4386157595859248,3.7687639118529828,0.7241279647083261,-2.954822146132042,-2.078561262898239,0.5539104165600891,2.350723489408635
ACH-000738,-9.924262696657966,0.2616145072422749,-1.4693943572334751,-0.800924773585772,-2.319844341497046,-3.956859806325895,-0.9113904577300447,4.780831546563801,-3.7754766104207573,-2.3243177443922587,0.2218767560040514,0.2136729099584466,-0.6878525841585295,4.721687435684029,-3.2508537468705443,-1.7374246626483278,3.480423346588523,1.4962959842136083,-1.4024464005180455,-1.2190901252822468
ACH-002681,7.183486431360914,-0.16914878018379273,-1.7338161623329196,-4.448716618167363,-0.2645811053456144,1.7498235418775874,1.0613297644949224,-3.5468459100091576,0.22285823454548406,4.289890420659937,-4.917927271028865,1.8580859182804472,4.487699853641474,-1.153612178960904,5.214165336998726,-1.8296957038082082,-1.5578846269762971,-0.14949727603562207,2.9000553352500873,-1.0441951922893766
ACH-000819,-2.3869945383093123,1.555082075459186,-2.528008034070966,-2.444348936862667,-0.6618072601800219,-4.723593243863317,1.629585634628069,2.007880108181154,0.07283841327124874,-2.668704103812763,2.3645143401963082,-1.9552989659307762,-0.09728935142750123,1.137686719839,0.06884055932344116,-2.337723039229195,0.24246521037665908,-1.5376275948366527,2.355047712367113,1.3210405542632906
ACH-000571,0.6953015781680238,-0.24585573129606159,-2.7618090243122038,0.33885848350283776,-1.3624317351154025,-1.0113620472727474,4.225616747169693,-1.477874676508436,-1.3666347880490155,3.0529931041713376,6.305696944198576,0.7588975777938535,-4.910575981197124,-1.894593097466351,1.307935582278954,-2.326301128753491,0.9986737441606954,-0.9682538986627582,3.1047177092589506,-1.4129164520022226
ACH-000102,2.7007622916021212,-2.197924857880374,-2.4921161738313877,3.1559097712799224,1.1638858998826291,3.7196800472047555,-4.001664966355793,-0.8072681847049867,0.42763419854969836,0.9571308803881666,0.3943783292166455,1.9089346286928695,-2.7917828461245007,1.7162158736145965,-3.2922261225888088,-0.16059720464852792,-1.697428544038757,2.032913807760034,4.852789527789029,-2.0210472155555554
ACH-000634,-1.104466747339685,-1.0955393551374735,2.9082016847547587,1.8427241514164283,-2.113201334948115,-2.326437052513145,1.5157676240519051,-3.263268106427948,-0.26895500824287116,3.9530072989033047,1.8758542879614277,1.0081603033287818,-0.998764743161166,0.16184465868903403,-0.5702643658518576,-2.3747267772867633,0.7208905638151814,-0.9193189329095769,-4.921485939679671,1.5892140414566893
ACH-000137,-0.6134469123292371,-0.6834052734680921,-2.6207250188954836,-3.0770525683170087,3.206509412258366,0.969558022403756,-2.8356911203012443,2.190898433496028,5.664492207687943,1.4600517581566237,-0.34811637588287186,-0.5700393268304642,1.9961767986670933,0.9670764402094444,2.1941977133752206,1.5122562730235622,-1.9015806373853281,2.798205767339663,4.153621220652139,-0.10561742804303831
ACH-000445,3.6252591694867005,-0.882042311395092,-0.6742825342913001,3.5579209649727894,-3.450922881275475,0.6527347913624979,-2.062695395539734,-3.404642358440212,1.6738937404264886,5.488668878326059,0.4674633200694929,1.1490718575422505,-0.00320876298444957,1.4582769153947306,-3.4523635132699226,-1.7172255704415473,-1.246657046138097,0.08557841614495591,0.1773838213625799,1.516282127303036
ACH-001609,7.861442903455038,1.5981872131594699,-0.4181028997684748,-1.9903797258644007,-2.116529818750867,2.983729276642884,3.4356220716990404,0.2655060092756245,-1.9006576987556383,5.856720844744708,-1.8710597821452413,0.3065641147030398,0.4600360324922308,-1.0509346033727338,-0.5530472863086914,-2.070351173576403,1.7494672960228976,0.20163884586402478,2.0077864298178176,-0.44541550583257483
ACH-001329,2.8042016478943386,-2.470152418470403,2.6216869218955665,1.2858039550879594,0.7797755038882879,4.356818917132168,0.24224386536536424,1.183695652114138,-2.788289555507603,1.4211922501628567,-4.251395187978041,0.1936184725529182,-1.244130476061729,-1.278638155163617,1.0333876886720976,1.938770666399567,-0.549496872451583,0.26813071488190426,0.5539616662070667,1.972113580198571
ACH-000027,-6.4758484479454745,-3.4301149909653477,0.27163132722422495,5.333560459642136,6.753027081925906,3.1143729201197816,0.7714340223584428,-3.395317146659955,1.9420721599987771,-2.45595393273524,4.824820951807879,0.7136132440434876,0.7970220169526181,1.3992815689775049,0.10203270824303734,1.8360505666882856,3.525298249549296,1.1438603668194995,-0.7022843826871851,1.9310166475704982
ACH-000370,-10.865441891979035,-3.875657490208251,1.1109955297548038,6.081892346370666,2.137951525548459,2.3482480029964146,1.0573966231506444,-0.5099198194917738,-1.7312228320271024,-3.0773212479796532,2.819941218678656,0.18047373235774364,-1.1155425730009119,-1.2527673437963447,-2.618078107569611,0.6811199504360916,1.0174437561771188,0.7051280882957798,0.012803771414425048,2.057924026336326
ACH-000289,-3.052329163958702,7.678467891476218,4.981343789489381,1.5131391960023608,8.347823918852542,-9.066458473913315,2.7809103777959403,-9.144279025438308,-2.761976592503661,0.15337163010505123,3.137064941267201,-2.5111712763107903,-4.227234565846951,-0.33491130628453175,0.47270924878241954,2.9333956278376587,0.5468070080581828,-3.9198307711456097,0.2951072226219699,3.726095217505098
ACH-000543,11.059990463510108,-1.264738855985596,1.2052890327246744,0.3407124316521111,0.42355106236267936,2.7908211877465927,0.6550271643638995,-3.4286048070655073,1.0211822127144807,2.5284192962920673,-2.450599162965324,1.1673065576151975,3.2745552056349907,-1.757159877881389,1.3892945033792166,-0.19280863130603657,-2.48718711495836,-1.3345916667213296,-0.9706170191459119,-2.150027497788182
ACH-001623,-1.8367138831388892,3.328558403580515,-0.827954257865707,3.999398656436764,-4.425397823688449,3.2954953622078142,0.8341375083396099,-2.2624192809967187,0.6515202924614871,1.645223425498239,0.6955560585623083,-1.0618688572186643,0.6322711511822942,-3.2255492346845838,1.8373974567716809,-2.2783941996422614,3.5109416002926066,2.2927996691441845,-2.383014008344481,0.12919812316125834
ACH-001624,-13.98456440702994,-2.4052188175823295,-2.6346433212364873,-8.19757533435416,-1.493204254652919,-2.418814620798577,-1.3104344096589942,3.246701761888766,-4.178343734265608,-0.5831660275603423,-0.5380857387029157,-2.492673357196281,0.5142119887268346,-1.5212752436346673,-1.8402573458164255,1.8721188058380498,2.184498018165586,0.5842575034977604,-5.333817146009949,-2.057625494801506
ACH-000244,10.695687428915877,-0.9428952156829518,8.723491728773492,-0.6893453519733889,2.616156999467388,2.684260791379065,1.2332474582854325,-0.11370610803518832,-2.800884453648526,-2.9708739625613103,-0.5990625190898882,-4.8865223040461485,1.223220841754314,-0.10597597940253382,-3.68247519860251,2.368462947679807,-0.8528693323927887,1.5980897782403758,-0.7414329115349392,3.8319960029356377
ACH-000215,3.218899565717102,0.7231561735320119,2.6342803195621403,-0.019493206655123094,1.424919254538687,0.018132918639914217,3.362438024922163,1.5421160776595464,-3.2245861896922032,-0.7103294278312383,3.2774565078078184,-0.12061177567887242,-3.363578715681788,0.2819269308633375,-2.1957738944712415,-4.052563400948968,-3.539691859780343,0.5134881959376468,-0.5773197284053667,-1.5913620197279605
ACH-001608,-5.802024667898843,-1.8886076734626172,-7.342490089303559,-4.522248772280337,-1.8074917353755653,1.450361799772231,3.855179677416089,-2.1107100300101074,4.985406689835486,2.1156106794215632,2.41559867542363,3.028495759340572,2.972397412906833,3.921481351434996,0.23025384780134112,0.5242390466824324,-3.7144418361736125,1.2615114897996027,-1.681128340043626,0.8304681704758942
ACH-000464,-0.4440821613250987,-1.0373904646318943,1.6545909045388831,-2.0758567447325906,-1.574331857101636,1.6619302672695837,0.4055900316008829,-0.1586181538732059,-1.7484309850919768,1.7843263264559721,-0.7453039812009178,-1.9160462888107141,-0.8590927659617198,0.39513197437863723,-0.8267221030421148,0.23789982891542766,-2.6146279058792032,3.6387636837235324,-1.8979628737324463,-1.408514416188534
ACH-000622,-18.20406478618812,-1.199902148675271,0.411592285238616,2.0233998635542405,4.712340156052804,3.7379071682071823,-1.9849785853684014,5.281049255783548,0.4668219570957347,-5.2325625181985425,0.5899785864116203,-2.4132234259625376,-0.16016193638651657,-1.337838240619996,-0.9461440916635633,2.2129537945371567,5.204576964654394,0.12552505627414776,1.7116490172997263,-3.3740019700419257
