requested_symbol,status,matched_matrix_symbol,match_how
ICA1,present_exact,ICA1,exact
ARHGEF5,present_exact,ARHGEF5,exact
ALOX5,present_exact,ALOX5,exact
RHOD,present_exact,RHOD,exact
TMPRSS2,present_exact,TMPRSS2,exact
MTUS1,present_exact,MTUS1,exact
CYP4F3,present_exact,CYP4F3,exact
PPFIBP2,present_exact,PPFIBP2,exact
RABGAP1L,present_exact,RABGAP1L,exact
PLXNB2,present_exact,PLXNB2,exact
MGST2,present_exact,MGST2,exact
OR7E14P,present_exact,OR7E14P,exact
EVPL,present_exact,EVPL,exact
CD46,present_exact,CD46,exact
KRT15,present_exact,KRT15,exact
CNKSR1,present_exact,CNKSR1,exact
BLNK,present_exact,BLNK,exact
COMT,present_exact,COMT,exact
ANXA4,present_exact,ANXA4,exact
TNFSF13,present_exact,TNFSF13,exact
OCLN,present_exact,OCLN,exact
SLC9A3R1,present_exact,SLC9A3R1,exact
XBP1,present_exact,XBP1,exact
VIM,present_exact,VIM,exact
ZEB1,present_exact,ZEB1,exact
EMP3,present_exact,EMP3,exact
SACS,present_exact,SACS,exact
AXL,present_exact,AXL,exact
LOXL2,present_exact,LOXL2,exact
SPARC,present_exact,SPARC,exact
FHL1,present_exact,FHL1,exact
FERMT2,present_exact,FERMT2,exact
TUBA1A,present_exact,TUBA1A,exact
TMEM158,present_exact,TMEM158,exact
CALD1,present_exact,CALD1,exact
LGALS1,present_exact,LGALS1,exact
PMP22,present_exact,PMP22,exact
MSN,present_exact,MSN,exact
GLYR1,present_exact,GLYR1,exact
MAP1B,present_exact,MAP1B,exact
AP1S2,present_exact,AP1S2,exact
GJA1,present_exact,GJA1,exact
DENND5A,present_exact,DENND5A,exact
C12orf24,missing,,
TPM2,present_exact,TPM2,exact
TUBB6,present_exact,TUBB6,exact
SRPX,present_exact,SRPX,exact
ANK2,present_exact,ANK2,exact
CHN1,present_exact,CHN1,exact
SH2B3,present_exact,SH2B3,exact
LEPRE1,missing,,
ETV1,present_exact,ETV1,exact
SOBP,present_exact,SOBP,exact
AKAP12,present_exact,AKAP12,exact
TGFB1I1,present_exact,TGFB1I1,exact
SERPINE1,present_exact,SERPINE1,exact
SOAT1,present_exact,SOAT1,exact
COL5A2,present_exact,COL5A2,exact
LHFP,present_alias,LHFPL6,alias:LHFP->LHFPL6
CEP170,present_exact,CEP170,exact
POPDC3,present_exact,POPDC3,exact
TRPC1,present_exact,TRPC1,exact
KDELC1,missing,,
MYL9,present_exact,MYL9,exact
BAG2,missing,,
FSTL1,present_exact,FSTL1,exact
MXRA7,present_exact,MXRA7,exact
GFPT2,present_exact,GFPT2,exact
RECK,present_exact,RECK,exact
TMEFF1,present_exact,TMEFF1,exact
PTRF,missing,,
