,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ACH-000828,-15.327582704673253,-1.8537024871878043,4.210961500482545,-0.4390507633549743,-1.4357903060962376,4.328585843077193,0.19197193777221752,-5.566954942100817,0.8179118436205398,1.5975579418350787,2.436841679771226,6.9438679801283945,-2.3338253617692013,2.4738268687740614,0.9641420649335056,0.4551138946377981,3.1159099870607894,0.27625287600813936,0.1788968705722364,-2.218750439667493
ACH-000117,-12.942096070669592,3.0192243005387094,4.515107271252167,-1.468001011370118,-3.862019186070941,4.950758497097358,-0.27326163626632183,-1.6555838651321972,-2.2163813751172774,0.5752320902721704,1.8501692479338268,0.031282599499173586,0.34227002326059125,2.3066518544115415,0.3720183036560961,1.9872465083984696,-0.28174874471892436,-0.9974370341500594,-1.363148312449767,-3.560971521143318
ACH-000017,-13.543308116323155,5.298647183063737,3.30692627134791,-2.04148648328382,0.6132832081354036,5.448873317067256,0.46654755529030306,-2.891105896815122,-0.006243915416297151,2.3499390847872,2.540769267106556,1.2058439557632432,6.589465278154636,3.63912472942562,-1.5069534406625438,0.48590946171069355,-1.0457454477949073,-0.953965183330951,4.013157713395317,-2.2690368448962803
ACH-000276,7.484311484622586,6.1399710113868595,11.28430317690418,0.07075330035978987,0.9133847530567216,-7.107239756479904,1.3418625487369682,-1.7370595892880798,0.9908953453300938,-1.7717019892761077,-0.21158827800869467,-3.29627856320131,-2.0382386850150644,-1.3317011925753544,2.2238991950437805,-1.3530760580485597,0.5122368330543033,-0.7001189260189383,-0.3631989401305356,1.1303581944989867
ACH-000554,-15.104882086132069,6.3342910775479675,4.113353800333127,-0.005730944072472003,-1.0340249430557418,5.96979696717672,-1.6289135325496382,-3.5449995615697514,0.37237516582624364,1.766907363150961,3.0316693641128327,-0.5750565360154374,1.58048156798713,3.599944068850822,1.754763965981238,-0.6910890640414102,1.7159016915273504,-0.6241205028283355,0.3990525831656544,-2.4958408918009756
ACH-000818,-15.434215571630302,1.095025125483879,4.274327562008742,0.3217420673548736,-1.7789587221072207,-1.6618018194855173,1.3433286070483217,-3.179843317257818,4.890236100979852,0.5956484145977207,-0.4077695290506412,-3.1428554572544676,-1.3208816626041147,2.846534875450949,1.8947417081491549,-1.2745580027851362,4.419035876795919,-2.87156543785811,-1.0764020522746032,0.4398040717522753
ACH-000856,12.291329833910712,-12.081407888975935,-2.664078789805088,0.2145852280801744,-0.8000734180881561,-0.7803049117867373,0.30569838899287427,-4.938333655560911,-1.7379170046602215,0.15000511239256206,-0.5482569306831193,0.567764544148732,-0.7619417032083696,-6.281264523380289,-0.4017026830121292,-1.2550469052992,-1.0139739193790076,3.704830983024954,0.3845577668324593,-5.503393968706452
ACH-000223,-1.245439882746608,13.91320418338925,8.747655883606393,1.2484186713981547,5.33063949830258,6.395107530103971,3.152852554772481,7.55841993534369,-0.420476785838172,-1.783742899205456,1.4000452511941552,-3.7049190088081683,-0.6565347386137401,2.692377490036546,0.7378534603615481,-2.3990301015338944,-4.582476091057949,-5.35380747628914,-1.621225273008771,-0.09790745727096009
ACH-000019,-12.299578331751963,-3.1668873909134505,-4.854093284520338,2.7340144506230746,-4.84809402510894,-3.144374452093805,1.5483912571774257,0.6503537765802729,1.0060057470198747,0.9149255116297256,-1.152530550881947,-4.128101308254463,-0.724294613655358,1.3205237160449277,0.29658319587979376,1.80099751147655,2.1013215228865803,-1.672492343138805,-1.794626423589272,1.0708130531872155
ACH-000330,-10.474133764773553,-2.3106669920152876,2.685392236509387,-2.505029997877668,-0.813306682741343,-4.511270894482065,4.592757666468625,-0.7326910949816772,1.253088735621785,1.1463298298959321,0.13336543474221565,-1.4467487638372087,-0.38803356245552867,-0.3842211624988299,-0.34682278340672357,-1.75769141862803,2.148280166099802,-2.8466214571486286,-3.057070495015844,-1.8156119562641646
