group,count,mean,std
Basal,209,12.8255,5.2558
Her2,224,10.2853,4.6517
LumA,700,15.7343,6.1019
LumB,475,12.9995,6.5131
NC,6,17.0352,6.8639
Normal,148,16.0427,5.7503
claudin-low,218,18.511,5.8586
