CLAUDIN_SUBTYPE,False,True,All
Basal,176,33,209
Her2,73,151,224
LumA,263,437,700
LumB,240,235,475
NC,1,5,6
Normal,27,121,148
claudin-low,151,67,218
All,931,1049,1980
