k,esv,delta_esv
2,0.6123090771908472,
3,0.7811975150466551,0.16888843785580798
4,0.8305914403603147,0.049393925313659603
5,0.8749766943417722,0.04438525398145743
6,0.8846306068092494,0.009653912467477266
7,0.8992890439174253,0.014658437108175826
