,archetype_1,archetype_2,archetype_3
TCGA-CR-7383-01,0.1786468505906228,0.18924501240746633,0.6321081370019108
TCGA-CR-7398-01,0.06142039921725888,0.662669023218841,0.2759105775639001
TCGA-CV-A6JT-01,0.4889905467112491,0.0,0.5110094532887509
TCGA-HD-8635-01,0.2531798031647078,0.019864043596623377,0.7269561532386688
TCGA-CR-6481-01,0.06541457788780577,0.5899662972493712,0.344619124862823
TCGA-CR-7395-01,0.4851103639134443,0.028138577372045715,0.48675105871451013
TCGA-BB-7863-01,0.7603196205362657,0.0,0.23968037946373433
TCGA-CV-7427-01,0.5924803433516805,0.039285093825772895,0.3682345628225466
TCGA-CV-6436-01,0.7401143233912579,0.15428459288409235,0.10560108372464962
TCGA-CN-A63V-01,0.3044280753356774,0.2659153063973376,0.4296566182669851
TCGA-BA-A6DE-01,0.47371521475491146,0.32405391950386864,0.20223086574121987
TCGA-CV-7177-01,0.23035051077301963,0.3654537438207768,0.40419574540620357
TCGA-P3-A6T4-01,0.4069995993082709,0.3545305943385769,0.23846980635315213
TCGA-DQ-5631-01,0.37818255194851746,0.11747906608029446,0.5043383819711882
TCGA-CQ-A4CA-01,0.21954520376902742,0.08732666176112172,0.6931281344698509
TCGA-CR-7365-01,0.45152915787919273,0.0,0.5484708421208073
TCGA-F7-A61W-01,0.620443423934074,0.046381744310604225,0.3331748317553217
TCGA-CV-6937-01,0.20943659518214347,0.48661966011704,0.3039437447008165
TCGA-CQ-7069-01,0.5686758134683092,0.0,0.4313241865316908
TCGA-D6-A74Q-01,0.29002961057712,0.6343853941960514,0.07558499522682853
TCGA-KU-A66T-01,0.5470799615864724,0.34960007108966584,0.10331996732386182
TCGA-CN-4728-01,0.0,0.2566329633153082,0.7433670366846918
TCGA-CR-7401-01,0.3502743172991799,0.0,0.6497256827008201
TCGA-CN-A63T-01,0.27393214866430393,0.4547892731829819,0.27127857815271417
TCGA-CV-5976-01,0.4818353020630428,0.0,0.5181646979369573
TCGA-CV-7254-01,0.0,0.5701112839761838,0.42988871602381623
TCGA-BB-A6UO-01,0.6157930902070591,0.09748416902273302,0.28672274077020793
TCGA-CR-6470-01,0.0,0.6284847675278594,0.3715152324721405
TCGA-CV-7437-01,0.2555967120561106,0.6227530549878985,0.12165023295599092
TCGA-CV-7411-01,0.6153540215845574,0.050595822467567435,0.33405015594787524
TCGA-D6-A6EP-01,0.0,0.78490910971908,0.21509089028091993
TCGA-BB-A5HZ-01,0.5910267810473465,0.22962419719691293,0.1793490217557405
TCGA-CR-6480-01,0.1680597455511669,0.786751867729534,0.045188386719299034
TCGA-IQ-A61E-01,0.5751797445094354,0.0286963379618482,0.39612391752871623
TCGA-CV-7415-01,0.3360650067128429,0.23559337957062124,0.42834161371653595
TCGA-CN-6988-01,0.3941719365518563,0.6058280634481437,0.0
TCGA-CV-5444-01,0.13762143280198344,0.02152463175920475,0.8408539354388118
TCGA-CQ-A4C7-01,0.3881370474123169,0.0036544824847890975,0.608208470102894
TCGA-CN-5365-01,0.5984696924063905,0.18787290215129057,0.2136574054423191
TCGA-DQ-5624-01,0.374831677865829,0.0,0.6251683221341711
TCGA-CR-7370-01,0.015925851570452815,0.6972705836254868,0.28680356480406033
TCGA-BA-5559-01,0.0,0.45294552440602553,0.5470544755939745
TCGA-CV-7247-01,0.32920396892760595,0.1020644770716947,0.5687315540006995
TCGA-CR-7391-01,0.1913791367550636,0.12134148442964258,0.6872793788152939
TCGA-CV-A6JU-01,0.2733058753589318,0.4330228373954793,0.2936712872455889
TCGA-DQ-7591-01,0.0,0.8387773490259666,0.1612226509740334
TCGA-T3-A92M-01,0.10987762522591453,0.5477128135109104,0.3424095612631752
TCGA-CN-5374-01,0.08656954030634197,0.6960859070987346,0.21734455259492344
TCGA-CR-7369-01,0.2908999269884147,0.37845693450144113,0.33064313851014404
TCGA-RS-A6TO-01,0.325706960833472,0.3428373511370215,0.33145568802950653
TCGA-BA-6868-01,0.37301117725539634,0.2908548543515455,0.33613396839305826
TCGA-F7-7848-01,0.1479631919098419,0.5906208634034392,0.2614159446867188
TCGA-CR-7376-01,0.032721579491225276,0.097450952233062,0.8698274682757128
TCGA-CV-7421-01,0.13429177416501403,0.5547656770177417,0.31094254881724426
TCGA-CQ-5325-01,0.2545807199023802,0.0,0.7454192800976198
TCGA-CV-7433-01,0.26350933146987837,0.13945773327416458,0.597032935255957
TCGA-CN-6012-01,0.022931134041150034,0.7381581171462276,0.23891074881262225
TCGA-CV-A45Z-01,0.1073583687716752,0.734057249361383,0.15858438186694193
TCGA-BA-A6DG-01,0.2540230833409438,0.0,0.7459769166590562
TCGA-CN-4729-01,0.3759123603493296,0.2580007274991779,0.3660869121514926
TCGA-CV-5979-01,0.6150542134775459,0.00906271489887705,0.3758830716235772
TCGA-CV-A45U-01,0.14719950823633554,0.6501786504856535,0.20262184127801094
TCGA-DQ-7590-01,0.0,0.6077246001243388,0.3922753998756612
TCGA-CR-7388-01,0.04453768985268426,0.5323871031385086,0.42307520700880724
TCGA-BA-A4IG-01,0.27751838746775953,0.7114314181585198,0.01105019437372073
TCGA-P3-A5Q6-01,0.4084988538807236,0.2938390285320707,0.2976621175872056
TCGA-CV-7180-01,0.6927270306455243,0.18133162572621161,0.12594134362826415
TCGA-CR-6492-01,0.3490396946863757,0.3453026293882559,0.30565767592536836
TCGA-CN-6992-01,0.03847630305917265,0.717246487847881,0.2442772090929462
TCGA-CR-7373-01,0.5418113013358276,0.09791176176007865,0.3602769369040937
TCGA-CR-7371-01,0.0066908920925853165,0.5586387277988313,0.4346703801085834
TCGA-BA-4074-01,0.31465645610176624,0.36627269803708945,0.31907084586114437
TCGA-CV-7435-01,0.15578727518916088,0.2060102200545747,0.6382025047562645
TCGA-DQ-7595-01,0.15089082708276627,0.7509776632462788,0.09813150967095492
TCGA-BA-A6DB-01,0.2338346112106814,0.10599376184933011,0.6601716269399884
TCGA-CN-6021-01,0.243686837619344,0.5679375722463209,0.18837559013433502
TCGA-D6-6825-01,0.35186336124562473,0.0,0.6481366387543752
TCGA-CN-6998-01,0.6918662294760548,0.0,0.30813377052394514
TCGA-CV-6948-01,0.016693471399342383,0.8256790479018258,0.15762748069883176
TCGA-UF-A7JC-01,0.7250675337172272,0.03788348345100266,0.23704898283177017
TCGA-MT-A7BN-01,0.12031094281802461,0.7117472947277932,0.1679417624541822
TCGA-BA-A6DA-01,0.7767096080026616,0.19575061057266988,0.027539781424668393
TCGA-CV-A468-01,0.21024347674485402,0.20832194089602213,0.5814345823591239
TCGA-UF-A71E-01,0.34136503573072846,0.635550308477013,0.02308465579225852
TCGA-HD-7754-01,0.07323418841729569,0.7050909298822606,0.2216748817004436
TCGA-D6-A6ES-01,0.772184924579472,0.22781507542052817,0.0
TCGA-CV-7434-01,0.6390939790756056,0.09682716956945331,0.264078851354941
TCGA-IQ-A61I-01,0.13450414928906598,0.865495850710934,0.0
TCGA-CN-4736-01,0.19394812207668152,0.0,0.8060518779233184
TCGA-BA-7269-01,0.3489358490271257,0.4082437030684293,0.24282044790444493
TCGA-CV-6433-01,0.12012525599989507,0.8791980651851053,0.0006766788149994688
TCGA-CR-7385-01,0.13346615583700183,0.8024988220973889,0.06403502206560918
TCGA-CV-6441-01,0.30098575220119317,0.5105481664708964,0.18846608132791046
TCGA-CV-5978-01,0.08986681028794807,0.45517920358451763,0.45495398612753435
TCGA-CN-6017-01,0.014656237722108901,0.0,0.9853437622778912
TCGA-CN-5367-01,0.35392257933778615,0.15608520440624352,0.4899922162559705
TCGA-CV-7252-01,0.5430881108854884,0.05773681813910294,0.39917507097540866
TCGA-QK-A6IG-01,0.4647867420102731,0.20910349094085964,0.3261097670488673
TCGA-CV-A45R-01,0.34849661831928935,0.10649753067644885,0.5450058510042619
TCGA-UF-A7JV-01,0.38904839419896275,0.234223408758353,0.37672819704268423
TCGA-CX-7219-01,0.3022575283202526,0.23493143206723943,0.46281103961250797
TCGA-BA-A6D8-01,0.26127563881188803,0.7136386917915009,0.025085669396611197
TCGA-CR-7382-01,0.11340093123070856,0.06567992014448656,0.8209191486248048
TCGA-CV-6953-01,0.6893590831377434,0.13648043333841473,0.17416048352384195
TCGA-CN-6022-01,0.10835187824147298,0.1387031903370464,0.7529449314214807
TCGA-CQ-6221-01,0.062139185606660666,0.38769424857273566,0.5501665658206037
TCGA-HD-7753-01,0.3924790636084262,0.09939875333405347,0.5081221830575204
TCGA-H7-8502-01,0.5556262041618296,0.11878304304900318,0.32559075278916727
TCGA-CN-6020-01,0.39255162260056137,0.16510039528832485,0.44234798211111387
TCGA-P3-A5QA-01,0.28801486158513856,0.06276177746872404,0.6492233609461375
TCGA-CQ-7072-01,0.006080558587562203,0.40625216378694884,0.587667277625489
TCGA-CN-6016-01,0.10460192490924292,0.0,0.8953980750907571
TCGA-CR-5248-01,0.10351546336706711,0.7898262819897012,0.10665825464323175
TCGA-D6-6823-01,0.40067051937949855,0.3645211605468451,0.23480832007365648
TCGA-MT-A67F-01,0.5640736302171071,0.12078212918723853,0.3151442405956544
TCGA-CN-4725-01,0.49679485023456094,0.0,0.5032051497654391
TCGA-CV-A463-01,0.7264067030119489,0.11713021969206074,0.15646307729599038
TCGA-BA-4078-01,0.0,0.6825524007586343,0.3174475992413656
TCGA-CV-7245-01,0.3992194312247089,0.33566445824818153,0.2651161105271096
TCGA-QK-A8ZB-01,0.29146796222260185,0.34880093270708434,0.35973110507031375
TCGA-CN-5363-01,0.37757665903050724,0.0024823107388732713,0.6199410302306194
TCGA-CV-A45P-01,0.6551924914186031,0.04605792035549179,0.298749588225905
TCGA-CV-7568-01,0.30509463646123575,0.03879331649275559,0.6561120470460087
TCGA-CN-4722-01,0.37940972279472207,0.19030202221510478,0.43028825499017326
TCGA-BB-4224-01,0.437307816840551,0.4098746721441486,0.15281751101530047
TCGA-CQ-5326-01,0.5453478192004514,0.0700995228634886,0.38455265793605986
TCGA-BB-7861-01,0.0,0.7529964746972208,0.24700352530277925
TCGA-CR-6487-01,0.0,0.6987272732352893,0.3012727267647107
TCGA-BA-A6DI-01,0.2931185365408378,0.517880547233641,0.18900091622552126
TCGA-CN-6994-01,0.2932857341650226,0.32248694092281016,0.3842273249121672
TCGA-P3-A6T6-01,0.2906767637391848,0.7093232362608152,0.0
TCGA-CN-4739-01,0.13063978849034133,0.6518543009546499,0.21750591055500879
TCGA-DQ-7594-01,0.0,0.5887737581100688,0.4112262418899312
TCGA-CV-A45W-01,0.0,0.7923266716804963,0.20767332831950366
TCGA-BA-5556-01,0.49814967389683007,0.14149503040144418,0.3603552957017257
TCGA-QK-AA3K-01,0.04694905418284725,0.5128995161295026,0.44015142968765014
TCGA-CN-4727-01,0.44718633178242123,0.4369910211785748,0.11582264703900404
TCGA-BB-7864-01,0.372694124912172,0.6210211166594658,0.006284758428362261
TCGA-CV-5966-01,0.5274674124940685,0.09067011354238232,0.3818624739635491
TCGA-CR-6482-01,0.0,0.6112636711786031,0.3887363288213969
TCGA-CV-6936-01,0.36864228381700076,0.4258394981975504,0.20551821798544886
TCGA-CQ-5332-01,0.22976026160943142,0.5091498946500139,0.2610898437405547
TCGA-CN-4734-01,0.5522886923831195,0.04978820887614575,0.3979230987407347
TCGA-CQ-5327-01,0.5361348209764978,0.024076067267539927,0.43978911175596236
TCGA-CV-A460-01,0.09109931834889333,0.6353295663188698,0.27357111533223677
TCGA-UF-A71A-01,0.1448593348157163,0.3990240586520459,0.45611660653223784
