,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
TCGA-CR-7383-01,0.06795197847884728,0.04763710247492244,0.1250556725164523,0.6068283004872127,0.15252694604256536
TCGA-CR-7398-01,0.8037965367926226,0.0,0.047036486836125435,0.09093425692510163,0.05823271944615036
TCGA-CV-A6JT-01,0.0,0.10041157288179386,0.0,0.45005986040221335,0.4495285667159928
TCGA-HD-8635-01,0.09610777480272902,0.220747362897075,0.0,0.6590869882206332,0.024057874079562853
TCGA-CR-6481-01,0.0,0.14898368537208306,0.7372313256451704,0.11378498898274654,0.0
TCGA-CR-7395-01,0.0,0.5929415262690761,0.11379473472265333,0.29326373900827063,0.0
TCGA-BB-7863-01,0.0,0.8107124934285492,0.0,0.04341340267291688,0.1458741038985338
TCGA-CV-7427-01,0.0,0.737454847721412,0.13252072443237695,0.13002442784621096,0.0
TCGA-CV-6436-01,0.0,0.4967290463303476,0.08464212648424926,0.0,0.41862882718540323
TCGA-CN-A63V-01,0.2821081452109539,0.08968387407331653,0.0,0.3495454287037989,0.2786625520119306
TCGA-BA-A6DE-01,0.39431948698870034,0.34810586413873545,0.0,0.017318474302751855,0.24025617456981246
TCGA-CV-7177-01,0.5927190123865179,0.23437712592869694,0.0,0.1729038616847851,0.0
TCGA-P3-A6T4-01,0.46752317204763233,0.3813691906813514,0.0,0.03882834045789797,0.11227929681311839
TCGA-DQ-5631-01,0.15465162725635007,0.13438761183834125,0.0,0.41569385314946095,0.2952669077558477
TCGA-CQ-A4CA-01,0.0,0.0,0.04699583556852441,0.6960898996860307,0.25691426474544476
TCGA-CR-7365-01,0.004312119983068179,0.513853863056593,0.0,0.46194692629479467,0.01988709066554415
TCGA-F7-A61W-01,0.03428256541051104,0.2732835922211505,0.0,0.21107508307908382,0.4813587592892546
TCGA-CV-6937-01,0.4889745006747486,0.0,0.0,0.20275973238202658,0.30826576694322494
TCGA-CQ-7069-01,0.014199427576996907,0.5163918016184073,0.0,0.3017904385183183,0.1676183322862775
TCGA-D6-A74Q-01,0.43411363588398433,0.05203378856730764,0.18300137050262094,0.0,0.3308512050460872
TCGA-KU-A66T-01,0.35023388727905147,0.3247628060725688,0.0,0.0,0.32500330664837973
TCGA-CN-4728-01,0.29240534961090414,0.0,0.06942108840653696,0.6381735619825588,0.0
TCGA-CR-7401-01,0.03258177782022447,0.4053399274307582,0.0,0.5620782947490174,0.0
TCGA-CN-A63T-01,0.3672258455520869,0.21321145955388887,0.16553154051721294,0.11946551711155225,0.1345656372652591
TCGA-CV-5976-01,0.0,0.29903595724831206,0.0,0.4361832811631624,0.2647807615885254
TCGA-CV-7254-01,0.38298543700398535,0.0,0.3470621432838578,0.2699524197121569,0.0
TCGA-BB-A6UO-01,0.0,0.3487918144905929,0.0,0.20053943577424316,0.4506687497351639
TCGA-CR-6470-01,0.07693543768108377,0.0,0.7238663173055545,0.1991982450133619,0.0
TCGA-CV-7437-01,0.6706657775941489,0.05137459944355115,0.012342782421054648,0.0,0.2656168405412453
TCGA-CV-7411-01,0.10029214953214544,0.7800108193105978,0.0,0.11969703115725672,0.0
TCGA-D6-A6EP-01,0.2243264345905619,0.0,0.1247656965821182,0.23128712342046498,0.419620745406855
TCGA-BB-A5HZ-01,0.2552755310128893,0.4534200867759799,0.0,0.0,0.2913043822111307
TCGA-CR-6480-01,0.23593421765228792,0.25132482501699127,0.5127409573307208,0.0,0.0
TCGA-IQ-A61E-01,0.0,0.3530904425445913,0.0,0.29574183924556696,0.35116771820984183
TCGA-CV-7415-01,0.19125110121634512,0.10017126149737812,0.004442518312848494,0.3761549205498467,0.32798019842358156
TCGA-CN-6988-01,0.5630093976944692,0.3472250213774388,0.0,0.0,0.08976558092809198
TCGA-CV-5444-01,0.05668093875342249,0.10957758233322573,0.0,0.8337414789133517,0.0
TCGA-CQ-A4C7-01,0.0,0.17824007292484265,0.0,0.5579646770366911,0.2637952500384664
TCGA-CN-5365-01,0.0,0.45478806709155795,0.10052982100724943,0.10056709844259606,0.34411501345859663
TCGA-DQ-5624-01,0.03512533613187034,0.3606785351543431,0.0,0.5460972029421065,0.058098925771679945
TCGA-CR-7370-01,0.8864175757955197,0.0,0.059788621683596506,0.053793802520883706,0.0
TCGA-BA-5559-01,0.0,0.0,0.5816327928103302,0.4183672071896698,0.0
TCGA-CV-7247-01,0.20117956484358113,0.15707834289672046,0.0,0.45873310418069385,0.18300898807900454
TCGA-CR-7391-01,0.07637195533313319,0.3244665952639267,0.10938390795052859,0.48977754145241154,0.0
TCGA-CV-A6JU-01,0.15492019370043625,0.0,0.0,0.29246231126456207,0.5526174950350016
TCGA-DQ-7591-01,0.2064792023508349,0.0,0.7927170776657071,0.0008037199834580805,0.0
TCGA-T3-A92M-01,0.30270046855845084,0.0,0.23891711397705048,0.25078416457774766,0.20759825288675104
TCGA-CN-5374-01,0.16491166477058372,0.07919070343852093,0.6544811136755592,0.050665032585722164,0.05075148552961401
TCGA-CR-7369-01,0.35329136831645785,0.3904382209011884,0.13702072407400356,0.11924968670835004,0.0
TCGA-RS-A6TO-01,0.2776546064692104,0.041907691980543116,0.03584479524376912,0.2613576031817359,0.3832353031247413
TCGA-BA-6868-01,0.37421570735543563,0.09247452431478977,0.0,0.19564290271773285,0.3376668656120417
TCGA-F7-7848-01,0.5385979584500707,0.2306913514435704,0.23071069010635892,0.0,0.0
TCGA-CR-7376-01,0.0,0.08638224885498129,0.18571967710871093,0.7278980740363077,0.0
TCGA-CV-7421-01,0.5941686765865317,0.0,0.0678036390578702,0.17215503011207683,0.16587265424352116
TCGA-CQ-5325-01,0.0,0.28024757159378705,0.04534633910296997,0.674406089303243,0.0
TCGA-CV-7433-01,0.03742589528436146,0.28310719174179155,0.12595257082216368,0.5287207314228038,0.024793610728879516
TCGA-CN-6012-01,0.671466005836668,0.043140351804022724,0.2853936423593092,0.0,0.0
TCGA-CV-A45Z-01,0.652295764713149,0.03102737133326501,0.22939889375282352,0.0,0.08727797020076261
TCGA-BA-A6DG-01,0.0,0.09368744705756488,0.0,0.7380664911519677,0.1682460617904674
TCGA-CN-4729-01,0.35587420495238875,0.47859412315111066,0.0,0.16553167189650045,0.0
TCGA-CV-5979-01,0.0,0.33486000634370805,0.0,0.25720862085501456,0.40793137280127745
TCGA-CV-A45U-01,0.697702688139523,0.0,0.06798389099712829,0.036153789886557985,0.1981596309767907
TCGA-DQ-7590-01,0.0,0.0,0.7353783205336664,0.2646216794663336,0.0
TCGA-CR-7388-01,0.5480201458311464,0.09316942000332207,0.17412280198216923,0.1846876321833622,0.0
TCGA-BA-A4IG-01,0.2930262804828696,0.33209895207586554,0.37066402375467833,0.0,0.004210743686586407
TCGA-P3-A5Q6-01,0.24208324761276687,0.0,0.0,0.22881722838086904,0.5290995240063641
TCGA-CV-7180-01,0.09601651142496162,0.6623460135256589,0.0,0.0,0.24163747504937946
TCGA-CR-6492-01,0.18614752018792224,0.47049675366771176,0.2358938018298782,0.10746192431448777,0.0
TCGA-CN-6992-01,0.9117189453030594,0.020833678634876607,0.060074802135095896,0.007372573926968131,0.0
TCGA-CR-7373-01,0.0,0.4967594722203379,0.12891696729464705,0.21134015833719383,0.16298340214782134
TCGA-CR-7371-01,0.6392442238511961,0.05037695559612985,0.13149995366431733,0.1788788668883568,0.0
TCGA-BA-4074-01,0.31222634304001823,0.0,0.0,0.2502172812529717,0.43755637570701006
TCGA-CV-7435-01,0.36533837452177925,0.15491527574550254,0.0,0.47974634973271824,0.0
TCGA-DQ-7595-01,0.7501830767038806,0.1609239768444377,0.0888929464516817,0.0,0.0
TCGA-BA-A6DB-01,0.0,0.251264558245237,0.15519652795750827,0.5935389137972548,0.0
TCGA-CN-6021-01,0.6059487854795618,0.3197778296811822,0.07427338483925608,0.0,0.0
TCGA-D6-6825-01,0.0,0.46430307914402896,0.01867449614160883,0.5170224247143622,0.0
TCGA-CN-6998-01,0.0,0.7190588110845715,0.0,0.15798594681018424,0.12295524210524424
TCGA-CV-6948-01,0.6873128793244025,0.0,0.23217094145219208,0.0,0.08051617922340534
TCGA-UF-A7JC-01,0.09345498035771999,0.6668839726423225,0.0,0.020432665982590165,0.21922838101736744
TCGA-MT-A7BN-01,0.0,0.0,0.4253370812291603,0.12625908430709684,0.4484038344637429
TCGA-BA-A6DA-01,0.0,0.4227920190487328,0.0,0.0,0.5772079809512671
TCGA-CV-A468-01,0.0,0.22184171141515738,0.26153318206752646,0.5024668890032221,0.014158217514094101
TCGA-UF-A71E-01,0.5988276406172047,0.12433763508094686,0.0,0.0,0.27683472430184836
TCGA-HD-7754-01,0.6137071582463556,0.11588324802498194,0.2704095937286625,0.0,0.0
TCGA-D6-A6ES-01,0.0,0.12038777031066222,0.0,0.0,0.8796122296893378
TCGA-CV-7434-01,0.0,0.46472431708744405,0.0019316329156883565,0.16206726630441057,0.37127678369245715
TCGA-IQ-A61I-01,0.0,0.0,0.7261137418846149,0.0,0.2738862581153852
TCGA-CN-4736-01,0.0,0.210881955934573,0.0,0.7891180440654271,0.0
TCGA-BA-7269-01,0.23467883800379033,0.0,0.0,0.19561597173811743,0.5697051902580923
TCGA-CV-6433-01,0.0,0.0,0.78987078814436,0.0,0.21012921185564004
TCGA-CR-7385-01,0.09547268605681147,0.22026188672033664,0.6842654272228519,0.0,0.0
TCGA-CV-6441-01,0.3364706236541779,0.0,0.12023846785416148,0.09745275340695231,0.4458381550847083
TCGA-CV-5978-01,0.5189012864459592,0.08644494338504043,0.0961222157409508,0.2985315544280496,0.0
TCGA-CN-6017-01,0.0,0.0,0.06669528157248306,0.9333047184275169,0.0
TCGA-CN-5367-01,0.1640766720876242,0.22959274305552255,0.0,0.4100076290552014,0.19632295580165188
TCGA-CV-7252-01,0.023945982621943217,0.5206315933155735,0.0,0.28825980645459515,0.16716261760788817
TCGA-QK-A6IG-01,0.0,0.0,0.050944102153806084,0.3056993499692598,0.6433565478769341
TCGA-CV-A45R-01,0.08893283351259343,0.3543915323597449,0.024150823712195704,0.4659119725546357,0.0666128378608303
TCGA-UF-A7JV-01,0.0,0.20429545161041093,0.20796571192561056,0.2947652854735134,0.292973550990465
TCGA-CX-7219-01,0.20104169627713575,0.3879318106441839,0.10242909878960446,0.3085973942890759,0.0
TCGA-BA-A6D8-01,0.20743466491158788,0.0,0.1563832392144102,0.0,0.636182095874002
TCGA-CR-7382-01,0.0,0.10660740791049546,0.15467945505387995,0.7387131370356246,0.0
TCGA-CV-6953-01,0.0,0.827858444090605,0.09113061903370169,0.0,0.0810109368756932
TCGA-CN-6022-01,0.23945954856987312,0.0,0.0,0.6999217348068799,0.060618716623246915
TCGA-CQ-6221-01,0.1261765684794904,0.0,0.1279499450590472,0.5406150680582894,0.20525841840317305
TCGA-HD-7753-01,0.1377405158281691,0.31360694480324064,0.0,0.40435290736863966,0.1442996319999505
TCGA-H7-8502-01,0.0244191236643296,0.37760088572241407,0.0,0.24608455150210445,0.35189543911115184
TCGA-CN-6020-01,0.1999293156531269,0.4904468710863306,0.013513789526882368,0.29611002373366013,0.0
TCGA-P3-A5QA-01,0.04999144685750086,0.0,0.0,0.602533250117195,0.3474753030253041
TCGA-CQ-7072-01,0.48127741592903295,0.0,0.0,0.47079172673426134,0.04793085733670579
TCGA-CN-6016-01,0.0,0.021650758644141226,0.0,0.9360473278845024,0.042301913471356305
TCGA-CR-5248-01,0.0,0.1306937588283115,0.8693062411716885,0.0,0.0
TCGA-D6-6823-01,0.4475113485321178,0.2867875622114313,0.0,0.059367735476758686,0.20633335377969222
TCGA-MT-A67F-01,0.0,0.6030015432773584,0.27538125718292533,0.08157850098409312,0.040038698555623135
TCGA-CN-4725-01,0.0,0.4937472677577078,0.0,0.4098629704116059,0.09638976183068633
TCGA-CV-A463-01,0.0,0.744404925013493,0.031621116674180806,0.0,0.22397395831232622
TCGA-BA-4078-01,0.6371703519370018,0.0,0.21198590297854297,0.15084374508445522,0.0
TCGA-CV-7245-01,0.5347508406977727,0.32155268755798405,0.0,0.026766181358244382,0.11693029038599896
TCGA-QK-A8ZB-01,0.5124459382648282,0.34021204718388137,0.0,0.14734201455129045,0.0
TCGA-CN-5363-01,0.0,0.1511670948574917,0.0,0.576768174410047,0.2720647307324612
TCGA-CV-A45P-01,0.03730646785083222,0.7440233870586629,0.0,0.12924347160571062,0.08942667348479438
TCGA-CV-7568-01,0.16335201654352538,0.24753067339432633,0.0,0.5420433394132517,0.04707397064889659
