sample,score_Classical,score_Mesenchymal,score_Proneural
TCGA-27-1832-01,0.15032031628183415,0.9265420822446545,-1.516336331601762
TCGA-27-1831-01,-0.4697206464831174,-0.23347549931040193,-0.725819659956707
TCGA-28-5216-01,-0.629156870612678,-0.11756871603185345,0.9259640282343898
TCGA-16-0846-01,-0.34741035460212366,0.2228299839264949,1.4325406971891932
TCGA-28-5218-01,0.9209621102424878,0.9568523219169643,-1.4788471298712367
TCGA-06-0178-01,-1.4051117140652243,-0.6198266739493921,1.0536406526502586
TCGA-06-0238-01,-1.424821396950967,-1.0212606340984125,1.4495804578043445
TCGA-06-0125-01,0.8578962929046643,0.040866708345737676,-0.23736543441211477
TCGA-06-0219-01,-0.9994193415074852,-0.31086290022800916,0.00556394491261103
TCGA-06-0174-01,-0.3064550579074841,-0.6398567544834358,1.5173678008139175
TCGA-28-1747-01,0.4528171860555795,-0.006952051284752102,0.18397148635122562
TCGA-12-0616-01,-0.9526442958068939,-0.6273937430896576,0.6699827902967915
TCGA-06-5415-01,0.6989318316020006,-0.3350838173008817,0.3893669177031542
TCGA-28-2499-01,0.9340109944278614,-0.23881915351490304,-1.222985232223912
TCGA-06-5411-01,-1.562767649761087,-1.1180756751497167,0.5521646331747856
TCGA-06-0211-01,0.6046976410217295,0.3596667052938588,0.03189228425386029
TCGA-19-1787-01,0.10429981542655091,0.38286825000318697,-0.6672033129220841
TCGA-27-1835-01,0.08821611160333362,-1.0942144236464895,-1.1724512829993452
TCGA-28-5213-01,-0.9540227176930547,0.8288576061090415,-0.8667848477977538
TCGA-06-2561-01,-0.20577975498564025,0.6734381472573846,-0.2844091450815073
TCGA-14-2554-01,0.16176387406885787,0.6648813187557755,-0.6888873949828381
TCGA-06-2563-01,0.6237347197751593,-0.3318133463492417,-0.8360749520970304
TCGA-41-3915-01,-0.37220852589677295,0.5918472058230607,0.5822458079420719
TCGA-76-4932-01,0.7285593543822719,0.23444097096799774,-0.3437031751927049
TCGA-06-5412-01,-0.35923279748040027,0.7372763211771352,-0.9133884477958877
TCGA-26-5135-01,-0.17215300374100675,0.28810126634963323,0.9129020737833248
TCGA-16-1045-01,0.1191377734419374,0.5510724113495045,-0.34651246870545993
TCGA-06-0141-01,-0.805572994861419,0.27655650130980747,-0.37329325975411926
TCGA-06-2557-01,0.2962617712700238,-0.41663808669409447,0.13224549148917095
TCGA-06-0157-01,0.3579550499993709,-0.35528836875749403,-0.12562893828474306
TCGA-28-1753-01,0.35093851973436047,-0.2806837271399799,0.5482861145770781
TCGA-26-5139-01,0.7462407468861644,0.703787275675319,-0.45359721831115146
TCGA-26-5136-01,0.06240989307826834,-0.07077454375716527,-0.09446329412997019
TCGA-28-2509-01,-0.45941319046821666,0.7238348942182297,-0.8712340734576441
TCGA-06-0168-01,0.24475925962260806,1.0473795824570844,-0.3427513373472178
TCGA-76-4928-01,-0.18134572214186978,0.6114933934705488,0.11600522774557238
TCGA-32-5222-01,-0.18980294844464726,-0.6343320732968126,-0.15983176097854657
TCGA-12-1597-01,-0.43900799683430647,-1.4694966868262629,1.0982335885207741
TCGA-06-2567-01,0.12933840031621638,0.5936315676299068,-0.20211355384998062
TCGA-27-2526-01,-0.04454434054137631,0.24188498212482004,-0.4305686764640955
TCGA-28-2513-01,0.41225881834544115,1.3465473929483107,-0.58532620966743
TCGA-32-2615-01,0.5490221382009127,1.1927539081115672,-0.46245669727390926
TCGA-27-1834-01,-0.27831396429018734,-0.07798334849587607,0.33119160317096
TCGA-14-0787-01,0.5464030798698566,0.682737389675964,-0.05467074658238972
TCGA-06-5418-01,0.03304033923951983,0.8285503073979753,-0.42895994009937904
TCGA-12-5295-01,-0.6112059038284502,-0.22797805391053536,-0.4758304317179487
TCGA-12-3650-01,-0.07594855961305022,-0.9963501280716717,0.43281419043475605
TCGA-28-5220-01,-0.6156275945523285,-0.8687744310485276,-0.27431460345701847
TCGA-06-0190-01,0.2816149538089065,1.131247136843293,-0.06494219294754584
TCGA-02-2483-01,-0.7679023110101906,-0.9750794013474858,1.2872579345793889
TCGA-06-5417-01,-0.5285018971336867,-2.311551696463592,-0.1718986220956814
TCGA-14-1825-01,-0.745945519174393,-1.7501602828162997,0.9905171331268342
TCGA-12-0618-01,-0.5151326464033213,-1.4611463854363862,1.11786485961051
TCGA-06-5413-01,0.07352867990241728,-0.34693561936528017,0.4751648162576238
TCGA-32-2616-01,-0.04427063409282318,0.5481722354803357,-0.24669951502174656
TCGA-12-0821-01,0.019557802324111712,-0.18518438175635618,-0.7137516209118612
TCGA-06-0158-01,0.41227544755399803,0.4670804094354689,0.27783483690942695
TCGA-12-3653-01,0.8786141476147193,-0.784714471714633,-0.8172477644852449
TCGA-27-2523-01,-0.2908277978058141,-0.41095435049896656,0.5066049150086652
TCGA-27-2524-01,0.6107034688656181,1.107626528753152,0.0654259924481324
TCGA-76-4929-01,-0.519206062985559,0.029980408813218933,0.4998053955757303
TCGA-14-0817-01,-0.13022061315711644,0.23487933266361108,0.4797287279682662
TCGA-26-5134-01,-0.6796503444434174,-1.187818547617081,1.37374349321063
TCGA-19-5960-01,0.5067001282318812,-1.0551645537759704,-0.11746676107505054
TCGA-28-5215-01,-0.4417776638258273,-0.07998467065847856,1.043635767737771
TCGA-19-2619-01,0.9925444077359374,0.5311668153584073,0.1510553743546081
TCGA-14-1034-01,0.11169328104865528,0.6181735401514562,-1.2209386932830837
TCGA-15-1444-01,-0.21331092522809328,-0.873618257658092,0.5382872439713311
TCGA-06-5856-01,0.07441496349118382,-0.055393127959483486,0.18540689082922038
TCGA-32-4213-01,-0.12805018435560409,0.6416279742130998,0.004304937523973392
