matrix,weight,signature,n,pearson_r,pearson_p,spearman_r,spearman_p
tcga_uncorrected,w_MES,score_Classical,154,0.20515668342495794,0.010698540108347422,0.2644208416504432,0.0009202872909675778
tcga_uncorrected,w_MES,score_Mesenchymal,154,0.25936985425452846,0.0011611976758589008,0.16938975003491133,0.03571597155067568
tcga_uncorrected,w_MES,score_Proneural,154,0.14995993533132698,0.06341036453378024,0.09397143021431448,0.24636617307396033
tcga_uncorrected,w_PN,score_Classical,154,-0.2051566834249579,0.010698540108347422,-0.2644208416504432,0.0009202872909675778
tcga_uncorrected,w_PN,score_Mesenchymal,154,-0.25936985425452846,0.0011611976758589008,-0.16938975003491133,0.03571597155067568
tcga_uncorrected,w_PN,score_Proneural,154,-0.14995993533132693,0.06341036453378024,-0.09397143021431448,0.24636617307396033
combat_tumors,w_MES,score_Classical,154,0.20515668342495774,0.010698540108347553,0.2644208416504432,0.0009202872909675778
combat_tumors,w_MES,score_Mesenchymal,154,0.25936985425452835,0.0011611976758589008,0.16938975003491133,0.03571597155067568
combat_tumors,w_MES,score_Proneural,154,0.14995993533132707,0.06341036453378024,0.09397143021431448,0.24636617307396033
combat_tumors,w_PN,score_Classical,154,-0.20515668342495771,0.010698540108347553,-0.2644208416504432,0.0009202872909675778
combat_tumors,w_PN,score_Mesenchymal,154,-0.25936985425452835,0.0011611976758589008,-0.16938975003491133,0.03571597155067568
combat_tumors,w_PN,score_Proneural,154,-0.14995993533132704,0.06341036453378024,-0.09397143021431448,0.24636617307396033
