cell_line,pam50_subtype,confidence_score
ACH-001392,LumA,0.501821089100115
ACH-001388,Normal,0.528644210680644
ACH-001395,LumA,0.661619486504279
ACH-002401,LumA,0.409928696354097
ACH-001393,LumA,0.596937046825236
