cell_line,arc1,arc2,arc3
ACH-000828,29.492954264506658,21.089722099984538,2.583167470094511
ACH-000117,29.60867583106635,17.20476024933033,4.205958518086213
ACH-000017,29.987493697192555,16.122496247593986,5.200079960375529
ACH-000276,27.676423599095276,3.812297807071922,17.731120050778596
ACH-000554,28.520211914087298,17.556242116330893,4.379998609219584
ACH-000818,28.330576344520917,19.94460621137028,3.6125881709829377
ACH-000856,31.186397849397643,8.819716081864788,13.124512449574894
ACH-000223,27.35876744793849,4.09986822741389,17.552517533581078
ACH-000019,28.501303521690254,16.862084626455147,4.896923824180229
ACH-000330,28.955082209112057,17.23737642664067,4.396895852376277
ACH-000643,20.203138888718,10.509104928873795,17.255394496252226
ACH-000573,27.87289973457108,7.791363169520487,13.588562056175482
ACH-000711,28.66499037791567,5.9655845076210525,15.357035182472181
ACH-000248,30.812586056285454,16.086227356011936,5.3317139163204095
ACH-000783,31.304045329861793,18.254966091288562,3.1464418068484163
ACH-000857,22.316351508874646,7.8446275627338045,18.076346340393997
ACH-002499,25.1658995078766,5.483222672037916,23.800443287283414
ACH-000759,26.58485331781064,19.06043735723428,5.38507968385223
ACH-000196,27.415139181464763,2.136971816298447,20.44843370724051
ACH-000910,33.142368246921656,18.81030882809299,3.632397644596799
ACH-000258,25.645098512845095,9.68899122486353,12.507690443120753
ACH-000691,26.832169443068285,5.679407171758216,16.05748479133343
ACH-000147,30.93326835637409,18.345492057411725,2.985801504354903
ACH-000930,30.724917184061137,3.4775814472567084,18.450159479478717
ACH-000374,28.074747118511127,4.153171202621054,17.245079056249594
ACH-000148,24.4156001211757,5.564262823084572,18.624251748845815
ACH-001705,25.811202813888535,10.661635070056734,11.487233937354663
ACH-000668,26.167300342270075,3.744310091510632,19.156197544902213
ACH-000876,24.383104179381785,16.65818305198221,8.101315251402054
ACH-000699,29.09327361505026,1.4363343238439172,22.558707048380622
ACH-000044,29.74766404321169,20.52457362938994,2.197156961855257
ACH-002921,30.02304105516555,20.43509567683155,1.9235381956807314
ACH-001396,24.94422827584379,20.178510979178952,7.076537414917494
ACH-000352,31.540102231975464,16.697928201452815,4.9092703810465945
ACH-001419,28.046275596126122,10.76721267658554,10.616068176674894
ACH-001390,21.10386921984658,8.434788335093879,21.659164166364036
ACH-001389,28.69767446397881,6.346955310715655,14.9761231243814
ACH-001683,30.158702308775634,19.59851668807685,2.0954256006302066
ACH-000536,27.891093172606134,4.826579633945676,16.58859068424679
ACH-000568,28.614171528306944,20.560594860612873,3.37369511026463
ACH-000111,26.927258208339815,2.8822668660534783,19.606617197687445
ACH-001819,29.06942253928862,15.92571854541401,5.497075722581225
ACH-000212,28.306265775064976,3.8572219824981224,17.50616383280164
ACH-000621,31.160421804462192,6.4916628392551115,15.54562418180201
ACH-000849,27.52130992193603,1.985823870872593,20.72321991236621
ACH-000028,29.275834250817397,17.310927266081283,4.21152946558349
ACH-000277,31.942926860109107,21.322562956756425,1.790180836524724e-15
ACH-001394,22.121962980277175,7.401861945393028,20.246180781896836
ACH-000721,27.45581028282617,6.824838633412057,14.644637675556094
ACH-000902,29.593944549144386,15.240384457227607,6.084999651091664
ACH-000097,32.348264837881075,18.10990216984972,3.786287844248486
ACH-000927,31.96903650459844,19.515442953671464,2.0199603153566525
ACH-002399,22.52164710370385,9.827851981424677,14.92599180992519
ACH-001391,25.791509180546978,6.604467533863612,15.629703252094037
ACH-000768,29.88468248497815,7.268781446244266,14.221238800773543
ACH-000288,29.7929387511427,3.6357477841075325,17.839224506254347
ACH-001662,15.542738487150816,14.488716400315917,20.028445501629317
ACH-000934,30.872373972084226,15.645725022411627,5.812130186815599
