cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
BRCA_METABRIC,Breast,3,1980,20374,0.9782924524892792,0.46073494796564884,0.68,100,p = 0.001
BRCA_METABRIC,Breast,4,1980,20374,0.955082574764676,0.1747511676055989,0.56,100,p = 0.001
BRCA_METABRIC,Breast,5,1980,20374,0.9332825725380267,0.07023456766823956,0.21,100,p = 0.001
