,PC1,PC2,PC3,PC4,PC5,PC6
MB-0362,13.784937562839199,15.58335555667021,3.1284564379625808,-29.5216642023314,8.290771363659111,8.918638208289643
MB-0346,-4.53790632994842,-15.931065027667012,-32.36380341206677,-25.872949315877865,2.7426629750506635,17.629504037066955
MB-0386,-4.396006308992981,13.380051780250186,12.862781421683268,-25.07494050694376,2.5033025692462187,3.7784862181063126
MB-0574,17.705645385715947,12.33042367828001,-10.864452378249291,-22.25498667247807,6.323642447392787,3.6603313572668816
MB-0185,-12.067856469158102,2.4404161255463985,-19.05581076524513,-20.551547528053355,12.291500526313476,8.22029579561636
MB-0503,5.849036630298533,17.16705327287731,8.85677856914548,-21.94592976123657,9.537389469115169,-4.683929619780799
MB-0641,-22.32131341345019,21.665552409550347,39.37256374038148,-18.35073722880928,5.85341333698783,-8.984209405445975
MB-0201,-26.009873903476628,7.017460473155977,1.1871513712976445,-31.88111694553484,-15.291610829562641,15.51797048352688
MB-0218,9.791581756399209,15.674014009679391,-18.11541922863479,-10.600339979912443,3.113141515756217,6.925046956984793
MB-0316,-48.99033794500759,-21.512314479870124,-12.244494875116644,-2.4632870760151873,5.355748288148777,-5.799435513683446
MB-0189,-18.94517728247342,21.164339394011662,17.54042997472896,-2.9991755942796803,-2.4727410145780038,3.0154616476960205
MB-0891,1.112654318137988,24.783689655204977,23.86456312020569,0.14651304254461062,-4.171527419403239,4.434774833078722
MB-0658,-47.57493417118102,-9.087175037588478,-6.365287851035535,-1.413678149241258,-5.051162885821587,-11.307811953478353
MB-0899,-1.0191136511554761,12.649917328990846,7.479312512325916,-1.3075364470687043,0.9532423992239968,8.848714811528998
MB-0605,1.1496643779081168,23.767581811951292,17.294824895872235,-0.5107178156115805,-2.6749736857131587,-1.1812008568183219
MB-0258,11.806946240022134,13.303822140642454,-4.27559946658276,-3.64472940672639,14.517578305951776,-8.439152720610183
MB-0506,-18.61155438113722,-8.69480859509318,-15.787239924126398,-21.896214829721018,7.445580302164873,14.308189297303246
MB-0420,-40.139711159900116,-8.406972233842044,0.3276529747283631,-18.02560741864138,-19.23330225543558,-6.880490421446359
MB-0223,3.5192953888140193,7.316720037915866,-1.8391008631202952,-8.805038804211552,18.47621628469986,-0.9733591733929214
MB-0445,10.919658489078458,14.716907564025583,-6.062523844106908,-12.506666910213175,5.8806506720945455,-4.299532213377993
MB-0199,8.130572062919615,22.94092753419251,4.779667407472693,-8.586436644790243,10.364226848957497,6.010271863923141
MB-0517,19.8183256833792,19.83028492084241,-2.9951223439408894,-9.352571554795803,-6.359284127269304,-7.416761853738732
MB-0155,-19.047300730175323,17.892353556265945,42.8363104277174,-1.6608022652758565,4.830634043822914,-7.18399268238921
MB-0428,-10.187135614256592,9.238846133265259,-2.916759495817752,-1.184084993981001,27.20354923773982,-0.653921975481814
MB-0117,2.002135695708519,8.74326421996736,13.319110070030819,-2.1150417302073867,6.362167018750672,-5.278441717490902
MB-0906,-30.678973897937464,-16.010535504024475,18.047466073464246,-8.902034275263595,23.50679742337751,18.77407429922778
MB-0249,-27.438873835756937,1.0546063437728042,-11.741436677122472,-21.20563685711327,-2.8028367371327394,23.53291342568302
MB-0660,-17.051463822124735,-2.425693016558274,-2.9401122484918365,-18.323641699073065,1.8942279080989177,25.448081467978163
MB-0497,10.817178778784337,11.35239366494006,5.000154776095119,-9.304037554713219,16.412455516922346,-9.636160168091886
MB-0434,4.451355503585819,-0.4455303214718845,-26.302423878452704,-20.965982295443403,-0.019653320699680232,17.674275804113673
MB-0143,8.553872462184898,13.07211867493106,-11.050290968623576,-12.52347190486531,1.001630754634171,6.36016557336525
MB-0513,16.8931637976449,19.02284639213008,-20.52217504385637,-16.098716618563067,12.651968540696378,-22.506433650324755
MB-0541,3.186256079187842,13.495869206658668,-14.157170557864802,-9.086577771576993,21.863330894575384,-9.915446616044976
MB-0653,-5.9929143414357435,0.22943100072705877,-25.966905740613466,-12.305823059516717,4.483293201835353,14.284032827617864
MB-0455,-27.65023030641586,12.699597159917687,-14.518628631925013,18.958526601336125,26.986601218101193,-3.687475514003113
MB-0540,-41.202559507867164,-2.022652978410987,18.84955106840167,38.40971731162003,39.83930909612302,-39.148843007515175
MB-0384,1.7407477155843871,17.789399581863215,-9.629255636189207,3.710592893202481,-4.0952124676935435,9.823790222811265
MB-0637,-15.638835351723053,5.510801250473051,-16.87655523534463,-8.092662399983071,19.871207956027835,-2.1262957610075586
MB-0157,-41.08126302285136,-12.76325308122776,5.735322492318982,-4.107435906959669,5.243159377436624,-0.9327131910829997
MB-0443,-8.4057616576521,19.385532631782475,6.4488179422141965,8.706244676489977,33.68330095520864,-4.3380298949393525
MB-0584,1.9380575615981168,14.77461495628962,-12.091013709903871,-2.0019232342720255,17.795680238429554,-4.536749240412217
MB-0292,-16.01949155684572,-8.540402576496662,-9.541193691662167,-12.534903494436179,-12.240383343682767,28.60112469873377
