archetype,PC1,PC2,PC3
0,-24.476403133979165,30.429448425389012,38.773956393877626
1,56.818199714028346,-73.21179661964604,36.02129611447931
2,-50.61778546199685,-21.372611915642928,-20.626055747467273
3,25.291870966521216,26.588541626373413,-39.659092051665006
