sample,source,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,dist_arc1,dist_arc2,dist_arc3,dist_arc4,dist_arc5,nearest_archetype,inside_simplex,w_arc1,w_arc2,w_arc3,w_arc4,w_arc5
t.S00022,Tumor,40.85520050728859,-15.831184457153936,-3.8054547204119062,-6.281472647352905,10.648409759996559,-11.394512800227524,-14.688014830803697,-16.710411854920697,117.4289956242458,35.39821240005347,84.45307460707514,154.79734109980342,78.05265733204438,2,False,0.005047843658428085,0.5354067091919263,0.32386089911673266,-0.2357539716197456,0.37143851965265856
t.S00035,Tumor,12.128362208840535,26.142739227707235,-19.8890594370228,-14.982827825989473,-15.184558154421785,-5.430499010609198,2.5767894808367404,5.5052170792209,88.59358483079751,66.88572160835022,40.122061308011766,129.41371563393724,98.14249643688225,3,False,0.2878587234391444,0.07388779309328553,0.6540464972290113,-0.2063031723080565,0.19051015854661527
t.S00050,Tumor,36.03950696889197,-14.973630387380013,39.70445247868914,-5.693309407328279,6.094213781096329,-10.931500137832458,-22.387377344338212,2.1886953239410145,132.8461631088697,48.20355569450738,94.61106899050012,146.16822299785633,80.15222315799313,2,False,-0.6655374632707032,0.7259817718753027,0.27716649022489076,0.29043547371963857,0.37195372745087085
t.S00213,Tumor,-13.211057052791151,17.31594366223069,-23.53941961793783,-10.316765387860105,-3.258485229975818,10.39471131763184,11.12541878374328,2.538453394700993,61.72919815888722,72.07930556138575,57.79677718917834,107.95104893856515,89.21303520557896,3,False,0.4709102254467992,0.014384609743108068,0.45651628458246557,-0.1296143372277288,0.1878032174553562
t.S00356,Tumor,17.961469967205797,3.514102299889696,15.228147392526838,3.829057128511692,5.980259734539515,11.035077081908376,-1.9404983694498241,16.352543209006207,101.61469815089211,34.567467871073625,68.10832289698311,125.27661456137373,82.57521747885514,2,False,-0.21037794600974566,0.6048643856355057,0.3043188132349693,0.16859542555594292,0.13259932158332804
t.S00472,Tumor,27.500663961913975,20.404374485477202,7.640750240077841,-15.250677520519687,-0.20267466637840145,1.9409734670976155,-1.3767127945281645,1.8246551490216534,110.23436282707753,55.980113743205166,47.3228168734276,136.0930603931758,93.81192737084395,3,False,-0.20123310906656583,0.2974865058174522,0.6424244140589178,0.019192532484811734,0.2421296567053847
t.S00501,Tumor,-1.6366814755120664,43.1063769070292,4.7194275441999105,-17.414341465441403,-9.77323035194269,-8.200185997947324,2.719641867188235,5.698320779604567,92.15311048283407,80.7816476379209,29.3344291956421,111.28748821898088,106.89459589566263,3,False,-0.07978762891317762,0.04158699028486925,0.7479689516627295,0.17590298290901094,0.11432870405656727
t.S00825,Tumor,-5.716463010147496,29.858994068741197,2.482404454387615,-3.3270434144847925,-14.624362603580604,6.9978794107108016,8.10487745260612,15.01596449396121,79.70196088749422,66.04719354954275,44.01067020032557,104.14334189526772,97.49824947463564,3,True,0.02721301883241425,0.24828449619858986,0.5080445591516543,0.17990185453734814,0.03655607127999399
t.S00827,Tumor,25.978493120196315,-9.595889578086009,15.901844185114046,-12.417896889149775,8.553630046387198,2.39578642354056,-23.21966523710379,19.568341870136884,112.1213049203837,41.4940364287711,77.72456259811425,136.40408997383958,69.51618082450905,2,False,-0.2734731837442463,0.4473121207122054,0.3603261474916383,0.06080297904440231,0.40503193649600033
t.S00829,Tumor,-28.351316712799456,9.433073439583447,-5.041982563052682,24.5382596408141,18.59180975953171,2.030737498305943,-1.1648164342702885,12.088227854626098,53.6827109397861,65.04484292921543,82.37287593794683,87.95127175956358,95.52915328581878,1,False,0.336736733184192,0.5513294153507484,0.03250031172590273,0.23766978044154904,-0.15823624070239162
t.S00830,Tumor,1.9423262680556632,-2.849206218744142,36.25131752444606,-8.371307250051276,-11.051100541099132,-14.055819350156051,-20.79890927212476,-1.8522994389482978,104.63109205972722,56.932591338702736,81.17898093088772,110.44797199611716,71.64674105405746,2,False,-0.5012765873607017,0.461218833444757,0.28306277051478645,0.439986847232922,0.3170081361682365
t.S00831,Tumor,-12.972654226902899,35.81127992921871,18.445728794886527,-5.0106742841735725,-3.418502684449734,-1.5264569757640043,10.050384672445006,3.5256730825668687,86.33177859753026,76.33509719887861,49.34986341207851,94.72594107289363,102.39459232801363,3,False,-0.210467966419894,0.24746460927778002,0.5341196420517572,0.4076927268578725,0.02119098823248495
t.S00832,Tumor,28.44065708662769,-21.548449661739227,-12.449926621914587,13.030442426624722,-2.382651843416156,4.725997439864485,8.860098120705791,-8.788751020573399,103.39040993458276,22.23982026481488,92.14533213880645,146.91645539869415,79.00715484283364,2,False,0.2481779433353144,0.7244118534592504,0.07768134989478218,-0.2319461138941201,0.181674967204773
t.S00836,Tumor,17.06101259410837,15.881874206276983,15.939328890855531,-9.649890947519149,2.474520673555151,-3.368153657823343,-21.54628168651908,0.778499015281314,103.59709661580618,51.74996528136369,53.82172839618567,123.99941340422713,87.37782878382725,2,False,-0.270659374183185,0.37590230632732125,0.5156468970864165,0.17148862888543454,0.2076215418840127
t.S00837,Tumor,-57.09535165546777,16.655456522367484,4.088023178412924,3.7124082539637597,17.604964963309662,-11.348050732606385,-16.78945432030648,12.102253609363192,46.16419297285805,96.42442857477465,90.25412375697583,55.23463406049251,98.01374428924558,1,True,0.24237783771965837,0.12374399813296641,0.15986951742135408,0.4425448143841965,0.03146383234182548
t.S00838,Tumor,-8.384735188205838,-4.086157765232415,22.038754296589204,11.345572155635258,-15.377507591929021,0.8214473092617114,16.21093990302977,10.870917917729448,85.5562459655693,47.02970523723409,83.26026569702933,100.49613642399017,75.54754863184262,2,False,-0.1839170368632862,0.628750471225739,0.08173606387641055,0.38101770561256326,0.09241279614857385
t.S01242,Tumor,2.1107870496560572,-21.15694954917249,18.19066228070756,8.628040816409557,-10.365589860374847,11.540797919811343,15.312689844312267,10.013494700448161,94.0923363660775,36.611465624393276,93.69155646598804,115.86693523310697,62.68382608343803,2,False,-0.1452100145436674,0.6692713536532046,0.0034938667373999705,0.23820388612042287,0.23424090803264025
t.S01248,Tumor,8.067324206166136,33.1846259206884,6.771209122317929,-6.711865400925802,8.40764998935156,4.511182000682954,13.264722890660765,2.598418297612554,94.37992797350584,63.95106560107826,36.42671307140161,116.98610320235322,101.3561200337118,3,False,-0.10874901794656582,0.28320355305863487,0.6087626606124262,0.15882188121867397,0.057960923056831475
t.S01297,Tumor,-7.1416081968774545,20.300754638216112,-31.30025926673135,-11.238864410987714,1.2359257279322382,2.1151799122188035,5.233533135520895,-6.375593933011675,66.72461279930783,73.99134861966685,55.34113027615125,117.18044895699373,94.90413808023118,3,False,0.5631263857903774,-0.012303384650394544,0.5157071519309154,-0.244417157875176,0.17788700480427824
t.S01366,Tumor,20.772598953052977,17.078301584016018,-37.917370939514726,-29.592079089491513,11.8315963749347,5.709774445921501,-3.2537485275748748,-10.4752294736645,98.1799181842606,78.51982723765165,57.23969690387198,147.53586924591752,98.1511691608676,3,False,0.5167235036013907,-0.1569316482877084,0.745547005444729,-0.5176955401304338,0.4123566793720221
t.S01453,Tumor,30.463085303000607,1.074484683745966,10.8269996506645,-8.703973191684968,12.89470139859258,10.30084615081053,-5.998537799646193,8.553793554388019,111.93338982015747,39.9538568371857,67.53454912965975,139.07932354418085,81.09988061511048,2,False,-0.21765614155566143,0.47300148658914226,0.4363356841913578,0.015287223334555386,0.29303174744060606
t.S01494,Tumor,-19.67672143235893,-50.94733949589659,-0.158181258888412,-33.806707792534496,5.739512516836999,1.7730113783954986,-17.55655540585618,-25.705135523882188,95.07488691608079,85.82409536222116,121.06968761296747,121.78989095568353,15.8000981794142,5,False,0.1707520091979542,-0.07363958806247911,0.05218354516659993,-0.05192231313702211,0.9026263468349469
t.S01512,Tumor,31.06950322542211,16.043925104808217,-41.58935257583207,-19.60281509978423,-11.624459627380098,-1.7681471775764552,-13.441601040720089,2.8908088662561044,104.09624409118335,72.83099011743857,60.954493803671596,156.26366746865963,104.28690295078286,3,False,0.5608602482309011,0.027106666015637382,0.6917585548911965,-0.585006402677671,0.3052809335399362
t.S01524,Tumor,13.94359730546175,-1.2628017156147284,-50.47465241693772,4.53972126660281,-30.248082321984448,-24.497946634476914,0.9512156658836072,-15.307818695090043,83.09027243539768,63.23415926860829,81.74432905493407,145.9557654953013,98.14898491960919,2,False,0.8561358740809291,0.29026260665839787,0.29336726075382386,-0.5734975619145491,0.13373182042139875
t.S01542,Tumor,-33.712395459424734,1.09350893144185,-64.96489289194028,25.507652436825605,-2.9744435057217253,-21.617547615704527,-10.291847882209504,6.181013032339559,45.46132308091369,96.1256572401262,108.25659527510275,123.09573624719624,116.95819081018621,1,False,1.3229907580910394,0.2704101254143926,-0.01888494449001472,-0.43893669204730457,-0.13557924696811258
t.S01556,Tumor,-16.317134039395782,-32.70510667885228,-43.77791041623849,6.211438640614432,37.128495230722876,-11.046306008631593,2.5544012549219364,7.711284351920622,64.54893308322598,71.99542121686025,110.98996946440553,127.77709873705149,74.01273118731113,1,False,0.9214788756156198,0.2692151291755402,-0.08993403486459736,-0.41398701779950076,0.31322704787293737
t.S01563,Tumor,-5.740785438986963,11.170755538848121,10.645769072174463,4.3487371838481685,0.7212357978852632,-5.622771388477634,-11.979290681431012,4.631804798757576,79.80327829171186,51.135904965172685,63.808031428152674,101.90424830194466,83.40088068267151,2,False,-0.05446586897379033,0.4469205403956143,0.2836751422733942,0.2524943053122776,0.071375880992505
t.S01578,Tumor,20.123462408036897,-7.679247870884414,-68.32205566089807,5.171645620654223,-36.534481794522065,10.383314376049757,-5.3918474567872545,15.001969007567801,93.85644349709185,76.97517308524196,97.36293128391046,162.36815383040224,108.61911118774368,2,False,1.126008323006396,0.2622874566690211,0.269936543208492,-0.8215771058734345,0.16334478298952562
t.S01698,Tumor,7.707103812865751,6.247417686581252,3.352726672698811,-4.028750078821637,-16.477401327762458,-11.639706981110072,-11.289727318243445,5.823582325311925,87.7809137380799,44.45271134536347,60.78049051317633,117.36294504756466,78.0135898154774,2,False,-0.005451458004518525,0.3728744513057048,0.3657792008352124,0.06738707357817497,0.19941073228542658
t.S01728,Tumor,10.256485344204261,24.381032762315495,11.027957033288358,-4.625327626665594,-0.7338914487497233,-8.319934885644196,-8.194087988187958,-13.973999792484207,95.77126841514003,55.69897064717041,45.860861931317814,117.51969728737794,94.36588837201153,3,False,-0.1662655435414493,0.3680138099068298,0.5232839629077571,0.18251514873130856,0.09245262199555374
t.S01792,Tumor,15.36382853283215,8.149105648185571,31.31694162749368,3.239026373097839,0.9782900821070312,5.229962734112052,20.909963595228277,-0.5190974118502001,109.06446307764533,45.93823133682022,70.99262543331405,121.14291540924872,87.60749620368229,2,False,-0.46370429250452455,0.6482647665483449,0.32652371765106686,0.3748118438462566,0.11410396445885665
t.S01861,Tumor,-1.7954393107917515,31.457978503223902,-4.572901470085518,-11.777607633396965,-17.4399897435954,-4.881362982978733,10.832103980118879,3.800155742532853,81.97541403841441,69.98061542411507,37.45468651743526,111.0193067469729,97.70222044905061,3,True,0.0999822264846819,0.10783963545072545,0.6110416576579897,0.05943573749965822,0.121700742906945
t.S01864,Tumor,-5.719212303998367,-5.656557012340803,12.743690292935858,1.8690986696581866,-7.432112839598169,6.025144275610566,-5.544019941189708,5.345860929696938,81.97936011959285,45.94247875770869,78.03698799395376,104.45561741212923,67.91271048000881,2,False,-0.06843184383979188,0.46416606595450516,0.16453205499020773,0.2309601672649714,0.20877355563010735
t.S01873,Tumor,-26.347978152052857,-31.662911166746667,2.3473960721101763,-1.3990957075550587,-24.43428294824553,-1.6400058666906139,2.509707072884127,18.87625809038126,70.42246150232408,65.16132526791488,106.09642261004922,98.93202240998602,48.012245791786505,5,False,0.20921395252930608,0.3254326257595811,-0.08636929844932172,0.14532753813787416,0.40639518202256014
t.S02065,Tumor,25.048792481120834,-42.43866254519414,-78.46805488423321,-9.080238333376071,-7.977498330981604,15.72302117873343,8.930437926317264,-7.013577854589229,113.63308685506419,93.96427207378443,128.77049143812965,181.8956666837426,101.69963424565336,2,False,1.2845674812212033,0.12097083217830651,0.12817953337499097,-1.0819493037896306,0.5482314570151292
t.S02093,Tumor,-22.50570431968714,17.6094186772527,16.535219421984475,-1.2726998788136652,-18.002558315675834,-5.0332923455144245,3.181150595394456,14.524718237003432,73.55014842540713,69.99780799382017,66.67048038556575,84.13170067451478,87.0444862312042,3,False,-0.10549158213091857,0.2894335952586528,0.32107132461461224,0.40194527592446694,0.09304138633318729
t.S02120,Tumor,9.219705387487572,-12.458324912223505,-25.747824034518615,-19.49925031504393,22.61605518244131,23.621667828048285,26.518648223930626,-10.229083028973687,85.84969730586354,59.13718231866092,78.73797392200107,133.99832730191716,66.61046827737026,2,False,0.43961326170278914,0.06367880179108887,0.368432197041516,-0.3600536057549156,0.4883293452195212
t.S02139,Tumor,5.968372122930042,-19.867103359832107,26.111336646370333,19.611809838284383,5.52340628540221,-8.67893774799673,15.647528984331462,3.523783497038133,101.82127565761448,33.68492283520265,98.27994825929547,119.32306581299949,73.95609722320043,2,False,-0.2604671115690714,0.883961093413097,-0.07050667797710924,0.34379392632179195,0.10321876981129131
t.S02163,Tumor,20.756449303548745,-35.468317089606984,12.252975161993328,-7.334288914636248,-6.242053792317815,-15.151418859716598,-1.609119411968324,4.408413787643261,111.69717771922211,40.79665679943142,101.8009058326393,139.54348692846213,51.70268773733254,2,False,-0.1429297148763333,0.5426521906074112,0.08915901278564298,2.145411332842568e-05,0.5110970573699507
t.S02194,Tumor,-25.59619301546109,-14.369596050607083,-13.665800107552405,10.960200817556702,-34.84565507367889,0.9942205044543312,11.855099386400632,-2.020290301401594,53.00124159860104,60.98797922377196,93.51323612192867,97.93016622370051,71.51587400809012,1,False,0.4647616509030922,0.38773696390068146,-0.033424436642181775,0.03245496766492169,0.14847085417348693
t.S02209,Tumor,-46.826635116735595,-10.200602106471187,-78.65953678117705,22.384427908637846,-29.301840400810196,-9.072191603880153,-1.4725528234715193,14.53228362673183,49.00356205642075,113.70020274509103,127.43305232237165,129.2741125313743,122.29940453415462,1,False,1.601240028266014,0.11949624225426791,-0.12127648187723268,-0.5655559414740392,-0.03390384716900965
t.S02234,Tumor,18.622159776239833,-4.479672414929961,13.162839733377004,-10.854447365556508,-2.977400894233288,12.617642269907382,-2.7884588701402393,9.811657502790899,103.69545988313013,42.00583127121025,71.59365521267529,128.41330952286572,70.08839897507914,2,False,-0.204862902132388,0.40532806663410764,0.36566328300912576,0.08196828337474929,0.3519032691144056
t.S02241,Tumor,20.616382526123694,-28.052563274258397,-96.33028858492929,-0.13901215943179385,-55.9721091283196,-18.636373302813176,9.060569249513357,-3.976929587439012,111.28925728731183,105.25947466215307,129.64019485346998,185.52831817740545,121.67263133674427,2,False,1.5857631445223648,0.10503176650555912,0.16918051024332428,-1.206613010023427,0.3466375887521784
t.S02242,Tumor,4.4971427137608195,-20.970832661912052,-49.1475984861584,5.0851334021337635,-40.46121598028971,-3.708473709486216,-8.539612787798372,2.6122191446205534,77.93514564305788,63.39556763691495,98.31183624191978,142.04089688189902,84.32736291364486,2,False,0.9037393354571976,0.30569627353697437,0.09265347536893949,-0.5550112102199889,0.2529221258568774
