k,t_ratio,p_value,n_perm,n_init_obs,n_init_null,n_success,n_fail,paper_p,paper_t_ratio
3,0.5202792729433893,0.55,100,150,15,100,0,0.508,0.52
4,0.2473157080587177,0.07,100,150,15,100,0,0.059,0.247
5,0.1075017628051073,0.02,100,150,15,100,0,0.034,0.107
6,0.0426158361376934,0.0,100,150,15,100,0,0.016,0.043
