cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
LGG,Glioma,3,516,20530,0.9938991490791753,0.6563473661091531,0.0,100,p < 0.001
LGG,Glioma,4,516,20530,0.9687741804067378,0.29084503568796305,0.0,100,p < 0.001
LGG,Glioma,5,516,20530,0.9372965192599856,0.10815595468359424,0.0,100,p < 0.001
