,archetype_1,archetype_2,archetype_3
TCGA-E1-5319-01,0.3018690300772714,0.519696747797892,0.17843422212483664
TCGA-HT-7693-01,0.013103309485253187,0.6035265990590577,0.38337009145568923
TCGA-CS-6665-01,0.11107992605181893,0.32291490309301685,0.5660051708551642
TCGA-S9-A7J2-01,0.21452098007805967,0.7661676399890326,0.01931137993290776
TCGA-FG-A6J3-01,0.0,0.26487812845127484,0.7351218715487252
TCGA-FG-6688-01,0.2564416004678683,0.0,0.7435583995321317
TCGA-S9-A6TX-01,0.20789707266386576,0.6619995101025135,0.1301034172336208
TCGA-VM-A8C8-01,0.12225686603464798,0.586762693009229,0.29098044095612313
TCGA-HT-A74L-01,0.16864183037748365,0.7239108589502466,0.10744731067226967
TCGA-S9-A7QY-01,0.42431718329955,0.4597678133271601,0.11591500337328994
TCGA-DB-A4XA-01,0.3181782773380125,0.48788703223315366,0.1939346904288339
TCGA-HT-A4DV-01,0.510112966456979,0.3066088723600534,0.18327816118296747
TCGA-WY-A85A-01,0.25687934887346253,0.5619808801187968,0.1811397710077408
TCGA-E1-5311-01,0.5184406324927618,0.47557686566035684,0.005982501846881337
TCGA-E1-A7YI-01,0.05732074533679685,0.5144036255676887,0.42827562909551437
TCGA-E1-5305-01,0.3656987252644319,0.4197048834612519,0.2145963912743161
TCGA-F6-A8O4-01,0.49130484804640856,0.36118707209534445,0.147508079858247
TCGA-HT-8113-01,0.9013312877554076,0.0439674262551844,0.05470128598940797
TCGA-DH-A66G-01,0.5245062738993603,0.17432205052736144,0.3011716755732782
TCGA-HT-7620-01,0.31588390095270025,0.44823274246982703,0.23588335657747275
TCGA-P5-A731-01,0.4534473509103646,0.1553800827830839,0.3911725663065517
TCGA-HT-7480-01,0.5073955157615938,0.47462369522408626,0.017980789014319935
TCGA-HT-7689-01,0.22329860146563135,0.47029118984552076,0.30641020868884794
TCGA-HT-8109-01,0.6573391933284843,0.23389817388544165,0.10876263278607398
TCGA-E1-A7YE-01,0.07729273377540394,0.4244493963664752,0.4982578698581208
TCGA-S9-A7R1-01,0.4934040527325903,0.4797635632516399,0.026832384015769855
TCGA-FG-A710-01,0.392390392762926,0.3684950039611158,0.2391146032759582
TCGA-S9-A7J0-01,0.05730451737693381,0.6835741685313846,0.25912131409168154
TCGA-DU-A6S6-01,0.6834654397632394,0.31653456023676063,0.0
TCGA-HT-7877-01,0.568057557405282,0.3507649112694858,0.08117753132523223
TCGA-QH-A6CU-01,0.18338058724278394,0.40667194552854363,0.4099474672286724
TCGA-HW-7486-01,0.3438108450056004,0.45618230614154265,0.20000684885285697
TCGA-FG-7634-01,0.15007157596062318,0.493343402420584,0.35658502161879274
TCGA-DU-6407-01,0.07640139932935898,0.6431110444667129,0.2804875562039283
TCGA-P5-A735-01,0.18181419890547879,0.6803995638521076,0.13778623724241368
TCGA-HT-8010-01,0.6639180029315915,0.13491866886623177,0.2011633282021767
TCGA-P5-A5F1-01,0.08613081642166716,0.4205221934971873,0.49334699008114563
TCGA-VM-A8CF-01,0.038204143979394145,0.3036642507561959,0.6581316052644097
TCGA-DU-6542-01,0.2712632883360634,0.43127363410769515,0.29746307755624146
TCGA-FG-7638-01,0.49170363329406963,0.398808632545796,0.10948773416013438
TCGA-VW-A8FI-01,0.05183637639280671,0.21559132804221237,0.732572295564981
TCGA-DH-5143-01,0.421205345008719,0.3365329841335626,0.2422616708577184
TCGA-DU-A7TI-01,0.40185782484352817,0.3209374259906574,0.2772047491658144
TCGA-DU-8165-01,0.1180403204488809,0.0,0.8819596795511192
TCGA-DU-7013-01,0.19172322456627047,0.18472103157854325,0.6235557438551862
TCGA-DU-7011-01,0.3806262248144283,0.245763233922609,0.3736105412629627
TCGA-TM-A84Q-01,0.04281382608560261,0.6161405399320299,0.34104563398236754
TCGA-DB-5281-01,0.47398321073904376,0.2971394435533755,0.22887734570758084
TCGA-S9-A6WI-01,0.9039260989815026,0.010078244009361872,0.08599565700913563
TCGA-HT-7605-01,0.6457172209032396,0.2363884739316398,0.11789430516512063
TCGA-DB-5270-01,0.6748642917581498,0.06069189102791937,0.2644438172139309
TCGA-S9-A6WQ-01,0.23950838446510433,0.41379864167844893,0.3466929738564469
TCGA-HT-8106-01,0.13712048747943947,0.09106235952590211,0.7718171529946584
TCGA-HT-7608-01,0.3387320283823088,0.40680826511163565,0.2544597065060555
TCGA-E1-A7YU-01,0.36741784143700756,0.401440505388113,0.23114165317487942
TCGA-W9-A837-01,0.6099177991060759,0.37566591562685336,0.014416285267070684
TCGA-TM-A7C5-01,0.2613992689792215,0.7386007310207786,0.0
TCGA-DU-6394-01,0.1368962354813984,0.7501592828003762,0.11294448171822528
TCGA-DU-A5TS-01,0.19316615737948092,0.47203911212245464,0.33479473049806446
TCGA-QH-A6CW-01,0.025836746855327906,0.6574786328015157,0.3166846203431564
TCGA-S9-A6WO-01,0.08549315992273948,0.6586081581320063,0.25589868194525417
TCGA-IK-7675-01,0.0,0.6747930969999136,0.3252069030000864
TCGA-HT-7601-01,0.2265456501244402,0.2758135826237099,0.49764076725184986
TCGA-P5-A5ET-01,0.4313254008524024,0.5056922672106267,0.06298233193697095
TCGA-HT-7472-01,0.12621958975227396,0.5614931127244684,0.3122872975232576
TCGA-HT-7880-01,0.7405240622947417,0.06901362798871756,0.19046230971654074
TCGA-E1-A7Z3-01,0.5974655628122495,0.12888538677121206,0.2736490504165384
TCGA-P5-A77X-01,0.5507788602087431,0.4103284485137608,0.03889269127749616
TCGA-FG-A6IZ-01,0.14389029209117377,0.7570806314498818,0.09902907645894451
TCGA-HT-7873-01,0.09712349021884324,0.5919104351075924,0.31096607467356424
TCGA-CS-4938-01,0.11443010015287107,0.5098649239150979,0.375704975932031
TCGA-KT-A74X-01,0.20566473131980326,0.6876634665923077,0.1066718020878891
TCGA-P5-A5EX-01,0.0650490493130696,0.24767695444279478,0.6872739962441355
TCGA-VM-A8CH-01,0.03034227217343944,0.6453129583648526,0.3243447694617079
TCGA-HT-7476-01,0.5638495649632357,0.1762082222958123,0.259942212740952
TCGA-DB-A75L-01,0.3710457806104312,0.4166022343136058,0.21235198507596303
TCGA-P5-A5EZ-01,0.0837546907831661,0.4613063757942757,0.45493893342255814
TCGA-FG-A70Y-01,0.21483886855249731,0.46828565765397906,0.31687547379352365
TCGA-RY-A843-01,0.4504234747675198,0.3744753655093133,0.17510115972316687
TCGA-S9-A7IS-01,0.013904631716118797,0.5849443065071117,0.4011510617767695
TCGA-VV-A86M-01,0.0,0.7359211063636072,0.26407889363639275
TCGA-S9-A6U0-01,0.030620727910023505,0.09643100914684029,0.8729482629431362
TCGA-FG-7643-01,0.7292408034559215,0.0,0.27075919654407854
TCGA-DB-5274-01,0.15126309653737685,0.5693927446909742,0.27934415877164886
TCGA-TQ-A7RG-01,0.23208289390138678,0.6346621710540749,0.13325493504453842
TCGA-QH-A6X5-01,0.350197263678004,0.48488794757764986,0.16491478874434623
TCGA-DU-6403-01,0.33203121166716054,0.18714708889174714,0.4808216994410923
TCGA-HW-7493-01,0.5492043060073205,0.15519533476778224,0.2956003592248973
TCGA-RY-A847-01,0.5160427040782128,0.3528818629273822,0.13107543299440494
TCGA-DB-A4XG-01,0.3995542626255831,0.6004457373744169,0.0
TCGA-VM-A8CA-01,0.5037657394763154,0.1624837699947966,0.333750490528888
TCGA-HT-7855-01,0.007089568895059613,0.8111764892368974,0.1817339418680429
TCGA-S9-A89Z-01,0.0,0.4323865283881241,0.5676134716118759
TCGA-DU-8166-01,0.39610534356930094,0.42027814822417514,0.183616508206524
TCGA-DH-A7UT-01,0.23446517021365246,0.38487412746787864,0.38066070231846905
TCGA-CS-5395-01,0.3614228914866926,0.14670078039144432,0.4918763281218632
TCGA-HT-A616-01,0.6672579682379822,0.2035891803297466,0.1291528514322711
TCGA-FG-8181-01,0.8986694539383979,0.0,0.10133054606160208
TCGA-HT-7611-01,0.0633820491174114,0.5305564714880295,0.40606147939455906
TCGA-HT-8018-01,0.6614004337898496,0.0,0.33859956621015047
TCGA-FG-A60K-01,0.24139443887272022,0.6648966073399352,0.09370895378734458
TCGA-HT-7856-01,0.7732897761670835,0.11609341339018557,0.11061681044273095
TCGA-FG-5963-01,0.25276866382059165,0.1022985330097106,0.6449328031696978
TCGA-DU-5851-01,0.656242338369361,0.15454722771108673,0.1892104339195523
TCGA-DU-A7T6-01,0.3691019087472081,0.4330431945999224,0.19785489665286948
TCGA-S9-A6TY-01,0.48810934396395533,0.5118906560360448,0.0
TCGA-DU-7015-01,0.1068698273628661,0.5608503499206164,0.3322798227165175
TCGA-DU-7292-01,0.6800430341131614,0.0,0.31995696588683864
TCGA-HT-A5RC-01,0.02557575966308556,0.18830000565244956,0.7861242346844649
TCGA-WY-A85C-01,0.09307960208617028,0.6217408607713983,0.2851795371424315
TCGA-FG-8188-01,0.06303241261884847,0.5973725805188722,0.3395950068622794
TCGA-TM-A84O-01,0.3623056539368107,0.38388031438820175,0.25381403167498756
TCGA-TM-A84F-01,0.24767199436553794,0.2596987715305345,0.49262923410392756
TCGA-S9-A6TU-01,0.05097297591761085,0.6027971543475708,0.3462298697348183
TCGA-HT-A61A-01,0.8506061031289551,0.007105246615438065,0.14228865025560686
TCGA-DU-5855-01,0.1852974886031881,0.4737805906276877,0.34092192076912414
TCGA-HT-7884-01,0.31991158408762355,0.52506089660065,0.1550275193117265
TCGA-TQ-A7RQ-01,0.44720850084079156,0.5527914991592084,0.0
TCGA-TM-A84C-01,0.08379139258629235,0.2664335348171347,0.6497750725965727
TCGA-FG-A4MW-01,0.28282838285004996,0.16970666065326812,0.547464956496682
TCGA-IK-8125-01,0.5236407971679503,0.38643938970503006,0.08991981312701967
TCGA-HT-A74K-01,0.13231029356759255,0.5406444817070265,0.3270452247253811
TCGA-WH-A86K-01,0.04166099993338653,0.6175743937282813,0.3407646063383323
TCGA-DB-A75P-01,0.5781697509291398,0.0,0.4218302490708602
TCGA-QH-A6X8-01,0.22187036029682322,0.6411709884285296,0.13695865127464718
TCGA-S9-A89V-01,0.32214824022461913,0.2889836680365467,0.3888680917388341
TCGA-WY-A85E-01,0.3734994124959921,0.4803134376438628,0.14618714986014508
TCGA-HT-A5R5-01,0.4058925111414664,0.2130434901220386,0.38106399873649505
TCGA-HT-A618-01,0.25395198582285333,0.2444238360237724,0.5016241781533742
TCGA-FG-6691-01,0.043438932337230896,0.5691456514763182,0.387415416186451
TCGA-HT-7467-01,0.6345746003758148,0.22111213512475245,0.1443132644994327
TCGA-S9-A7R3-01,0.1231668391006586,0.48999438335937645,0.3868387775399649
TCGA-QH-A6CX-01,0.12618154126625664,0.12045847462251737,0.753359984111226
TCGA-FG-A4MX-01,0.03520563894768654,0.6605531291493935,0.30424123190292
TCGA-HT-7681-01,0.6165588333721954,0.22120592004065343,0.16223524658715122
TCGA-P5-A737-01,0.25128739138542644,0.7035325753008932,0.04518003331368038
TCGA-DU-A6S7-01,0.01834163767386899,0.6798522283600167,0.3018061339661143
TCGA-P5-A72Z-01,0.0,1.0,0.0
TCGA-HT-8114-01,0.1731006769219073,0.42534095575296405,0.4015583673251286
TCGA-HW-8321-01,0.2756746924221119,0.48017329448240664,0.24415201309548135
TCGA-TQ-A7RN-01,0.2762051794941872,0.655803295205062,0.06799152530075074
TCGA-DH-5141-01,0.20327471273432943,0.6143254314725112,0.18239985579315945
TCGA-CS-6186-01,0.037276385484024316,0.33650415884630364,0.6262194556696721
TCGA-EZ-7264-01,0.27805658369626457,0.7219434163037354,0.0
TCGA-P5-A5F4-01,0.6295643880653462,0.240735935958359,0.12969967597629486
TCGA-HT-8012-01,0.38615092889932756,0.6009512093360199,0.012897861764652572
TCGA-FG-8191-01,0.18503849315917764,0.4410551776420583,0.3739063291987639
TCGA-DH-5142-01,0.0,0.5081313351308177,0.4918686648691823
TCGA-DU-A6S8-01,0.2946914180667406,0.6684275932996122,0.0368809886336473
TCGA-E1-A7YW-01,0.14853768492682623,0.5887487624659441,0.26271355260722973
TCGA-CS-6666-01,0.0,0.6534748892722351,0.34652511072776493
TCGA-DU-7298-01,0.3210470289320896,0.4137309724931701,0.26522199857474027
TCGA-DB-A64R-01,0.3986501653221047,0.6013498346778954,0.0
TCGA-DU-6406-01,0.05873535086054123,0.2260328800853155,0.7152317690541434
TCGA-S9-A6UA-01,0.05952226618431919,0.16705148356806834,0.7734262502476125
TCGA-FG-A60L-01,0.09764845637276476,0.4385363757814071,0.46381516784582827
TCGA-CS-5390-01,0.37755052618773455,0.6063494307469226,0.01610004306534284
TCGA-S9-A6WP-01,0.24124572012488965,0.548379845958208,0.21037443391690247
TCGA-DU-A7TB-01,0.38459587564717895,0.32878384320221216,0.28662028115060884
TCGA-DB-5280-01,0.12522734409411596,0.6423948087104926,0.23237784719539162
TCGA-TM-A84T-01,0.03586152920836378,0.7251398254500651,0.2389986453415711
TCGA-DU-6392-01,0.2687126667333399,0.2863924798276461,0.44489485343901414
TCGA-DH-A66D-01,0.12853573421150266,0.5566617899025473,0.31480247588595006
TCGA-RY-A83Z-01,0.08936491531917211,0.5296135724306049,0.38102151225022296
TCGA-DB-5278-01,0.5501003380403963,0.3848774516512399,0.0650222103083639
TCGA-S9-A6WN-01,0.09436885085685309,0.32284240247700813,0.5827887466661388
TCGA-TQ-A7RR-01,0.3449942859852121,0.3292291227924001,0.32577659122238783
TCGA-DB-A4XC-01,0.3976995992114353,0.3452284066233769,0.2570719941651878
TCGA-TQ-A7RH-01,0.21595175455687537,0.46034883363097373,0.32369941181215095
TCGA-E1-A7YS-01,0.16007874813792022,0.8399212518620798,0.0
TCGA-S9-A7IX-01,0.43866378462376143,0.0,0.5613362153762386
TCGA-DU-A7TD-01,0.0,0.20944118617341437,0.7905588138265857
TCGA-E1-A7YQ-01,0.025183204731960177,0.12066027686870638,0.8541565183993335
TCGA-HT-7881-01,0.7350045081115664,0.16324021549306772,0.10175527639536586
TCGA-QH-A6CS-01,0.24250085854593695,0.05989976953705261,0.6975993719170105
TCGA-HT-7695-01,0.7000563485980122,0.27520543549026494,0.0247382159117229
TCGA-P5-A5EU-01,0.0,0.4011630416204933,0.5988369583795067
TCGA-DB-A64X-01,0.25081982801319647,0.5161828727650797,0.23299729922172396
TCGA-FG-7637-01,0.14821226222044656,0.7733896004520083,0.07839813732754508
TCGA-S9-A6U8-01,0.23561585348766081,0.44575539874982506,0.31862874776251404
TCGA-S9-A6U5-01,0.2552099296441077,0.5010242557325097,0.2437658146233826
TCGA-HT-7609-01,0.10663635354136133,0.6030550910469097,0.2903085554117291
TCGA-E1-A7YO-01,0.48484880331707486,0.4886088332520874,0.02654236343083766
TCGA-HW-7487-01,0.6952421476079051,0.28096154925179573,0.023796303140299114
TCGA-HW-7491-01,0.20205431279449457,0.7979456872055055,0.0
TCGA-HT-7691-01,0.12775193105335206,0.2399018847476818,0.6323461841989662
TCGA-CS-4944-01,0.24486875026874944,0.38566912693404276,0.36946212279720786
TCGA-FG-A6J1-01,0.2990725047779502,0.5237514392013872,0.17717605602066253
TCGA-S9-A7R7-01,0.05008327309542954,0.21558604933121772,0.7343306775733528
TCGA-TM-A84R-01,0.8719054727508443,0.06599215330375521,0.06210237394540052
TCGA-DB-A75M-01,0.03982160435090022,0.6245502503321976,0.33562814531690216
TCGA-DU-7302-01,0.6472524328628984,0.34242773519439534,0.010319831942706394
TCGA-HW-A5KM-01,0.0,0.5188597651040734,0.4811402348959266
TCGA-HT-7477-01,0.13925288493818175,0.4620665880075781,0.3986805270542402
TCGA-QH-A65V-01,0.34555378555067673,0.4297761966505357,0.22467001779878762
TCGA-S9-A6U1-01,0.09887808719989749,0.6278867764076285,0.27323513639247415
TCGA-FG-5965-01,0.29493234352510816,0.3736236917712351,0.3314439647036566
TCGA-HT-A614-01,0.27946531206423236,0.4263161969641297,0.29421849097163794
TCGA-S9-A7QZ-01,0.49887379624649103,0.48553226331051835,0.015593940442990692
TCGA-QH-A6X4-01,0.26356330781073256,0.7123240434587953,0.024112648730472246
TCGA-P5-A77W-01,0.19777535873715,0.80222464126285,0.0
TCGA-DU-8163-01,0.22005795735821276,0.4417032144370001,0.3382388282047871
TCGA-DU-7012-01,0.19092820036716623,0.0,0.8090717996328337
TCGA-DU-7309-01,0.6492198019474346,0.19773231904084887,0.15304787901171665
TCGA-E1-5307-01,0.41096678091210104,0.48842206841630514,0.10061115067159397
TCGA-S9-A7QW-01,0.24131718418117235,0.6741730681476206,0.08450974767120706
TCGA-DU-6402-01,0.024430420448450202,0.0403445948133709,0.9352249847381788
